,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-02,4532.52085,1974.9601523553185,4886.114977312566,4532.52085,4532.52085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1062.7355693635268,-1062.7355693635268,-1062.7355693635268,-683.9840160712748,-683.9840160712748,-683.9840160712748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-683.9840160712748,-683.9840160712748,-683.9840160712748,586.7925622639191,586.7925622639191,586.7925622639191,-965.544115556171,-965.544115556171,-965.544115556171,0.0,0.0,0.0,3469.785280636473
1,2019-01-03,4527.511106890411,3325.3264780519658,6181.22987706494,4527.511106890411,4527.511106890411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.91307891352847,181.91307891352847,181.91307891352847,503.5390350043433,503.5390350043433,503.5390350043433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.5390350043433,503.5390350043433,503.5390350043433,580.8959142800271,580.8959142800271,580.8959142800271,-902.521870370842,-902.521870370842,-902.521870370842,0.0,0.0,0.0,4709.4241858039395
2,2019-01-04,4522.501363780822,3226.672321394534,6196.107408925824,4522.501363780822,4522.501363780822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.89746768442726,164.89746768442726,164.89746768442726,503.5390350043433,503.5390350043433,503.5390350043433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.5390350043433,503.5390350043433,503.5390350043433,494.15549940748303,494.15549940748303,494.15549940748303,-832.797066727399,-832.797066727399,-832.797066727399,0.0,0.0,0.0,4687.39883146525
3,2019-01-05,4517.491620671233,2705.104937284795,5643.54700373519,4517.491620671233,4517.491620671233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-336.92733876656285,-336.92733876656285,-336.92733876656285,503.5390350043433,503.5390350043433,503.5390350043433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.5390350043433,503.5390350043433,503.5390350043433,-83.20286194151757,-83.20286194151757,-83.20286194151757,-757.2635118293886,-757.2635118293886,-757.2635118293886,0.0,0.0,0.0,4180.564281904671
4,2019-01-06,4512.481877561644,693.8151452378887,3733.5524493565936,4512.481877561644,4512.481877561644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2292.10111551281,-2292.10111551281,-2292.10111551281,-683.9840160712748,-683.9840160712748,-683.9840160712748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-683.9840160712748,-683.9840160712748,-683.9840160712748,-931.2035869502544,-931.2035869502544,-931.2035869502544,-676.9135124912806,-676.9135124912806,-676.9135124912806,0.0,0.0,0.0,2220.380762048834
5,2019-01-07,4507.472134452055,718.7257380051977,3740.778511152578,4507.472134452055,4507.472134452055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2234.3149466900145,-2234.3149466900145,-2234.3149466900145,-683.9840160712748,-683.9840160712748,-683.9840160712748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-683.9840160712748,-683.9840160712748,-683.9840160712748,-957.5115880788095,-957.5115880788095,-957.5115880788095,-592.8193425399301,-592.8193425399301,-592.8193425399301,0.0,0.0,0.0,2273.1571877620404
6,2019-01-08,4502.462391342466,3293.9396258585894,6217.449628029536,4502.462391342466,4502.462391342466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.500296745477,307.500296745477,307.500296745477,503.5390350043433,503.5390350043433,503.5390350043433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.5390350043433,503.5390350043433,503.5390350043433,310.0740610199211,310.0740610199211,310.0740610199211,-506.1127992787874,-506.1127992787874,-506.1127992787874,0.0,0.0,0.0,4809.962688087942
7,2019-01-09,4497.4526482328765,3665.2230271346807,6649.502065872608,4497.4526482328765,4497.4526482328765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.3682937540467,672.3682937540467,672.3682937540467,503.5390350043433,503.5390350043433,503.5390350043433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.5390350043433,503.5390350043433,503.5390350043433,586.7925622639974,586.7925622639974,586.7925622639974,-417.9633035142941,-417.9633035142941,-417.9633035142941,0.0,0.0,0.0,5169.820941986924
8,2019-01-10,4492.442905123287,3729.604809469588,6778.433956775998,4492.442905123287,4492.442905123287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.8799119208651,754.8799119208651,754.8799119208651,503.5390350043433,503.5390350043433,503.5390350043433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.5390350043433,503.5390350043433,503.5390350043433,580.8959142799961,580.8959142799961,580.8959142799961,-329.55503736347424,-329.55503736347424,-329.55503736347424,0.0,0.0,0.0,5247.3228170441525
9,2019-01-11,4487.433162013699,3788.4838332802624,6734.265492488931,4487.433162013699,4487.433162013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.6308927680716,755.6308927680716,755.6308927680716,503.5390350043433,503.5390350043433,503.5390350043433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.5390350043433,503.5390350043433,503.5390350043433,494.1554994075396,494.1554994075396,494.1554994075396,-242.06364164381137,-242.06364164381137,-242.06364164381137,0.0,0.0,0.0,5243.064054781771
10,2019-01-12,4482.42341890411,3243.9441712806843,6176.619988535576,4482.42341890411,4482.42341890411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.70316373579885,263.70316373579885,263.70316373579885,503.5390350043433,503.5390350043433,503.5390350043433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.5390350043433,503.5390350043433,503.5390350043433,-83.20286194302732,-83.20286194302732,-83.20286194302732,-156.6330093255171,-156.6330093255171,-156.6330093255171,0.0,0.0,0.0,4746.1265826399085
11,2019-01-13,4477.413675794521,1373.8636215069491,4289.177942792359,4477.413675794521,4477.413675794521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1689.5403158125341,-1689.5403158125341,-1689.5403158125341,-683.9840160712748,-683.9840160712748,-683.9840160712748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-683.9840160712748,-683.9840160712748,-683.9840160712748,-931.2035869498238,-931.2035869498238,-931.2035869498238,-74.35271279143572,-74.35271279143572,-74.35271279143572,0.0,0.0,0.0,2787.8733599819866
12,2019-01-14,4472.4039326849315,1398.516789073993,4316.870861792795,4472.4039326849315,4472.4039326849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1637.7321945924764,-1637.7321945924764,-1637.7321945924764,-683.9840160712748,-683.9840160712748,-683.9840160712748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-683.9840160712748,-683.9840160712748,-683.9840160712748,-957.5115880784278,-957.5115880784278,-957.5115880784278,3.7634095572264017,3.7634095572264017,3.7634095572264017,0.0,0.0,0.0,2834.671738092455
13,2019-01-15,4467.394189575342,3938.946601998341,6841.796531737818,4467.394189575342,4467.394189575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.4101033254602,890.4101033254602,890.4101033254602,503.5390350043433,503.5390350043433,503.5390350043433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.5390350043433,503.5390350043433,503.5390350043433,310.07406101876853,310.07406101876853,310.07406101876853,76.7970073023484,76.7970073023484,76.7970073023484,0.0,0.0,0.0,5357.8042929008025
14,2019-01-16,4462.384446465753,4315.819500043421,7147.770573002079,4462.384446465753,4462.384446465753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2744479770997,1234.2744479770997,1234.2744479770997,503.5390350043433,503.5390350043433,503.5390350043433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.5390350043433,503.5390350043433,503.5390350043433,586.7925622641085,586.7925622641085,586.7925622641085,143.94285070864794,143.94285070864794,143.94285070864794,0.0,0.0,0.0,5696.658894442853
