,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-02,435.194095,330.3881953597364,571.6276199395282,435.194095,435.194095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.072333646760185,19.072333646760185,19.072333646760185,127.27582962016928,127.27582962016928,127.27582962016928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.27582962016928,127.27582962016928,127.27582962016928,-29.26662805004675,-29.26662805004675,-29.26662805004675,-78.93686792336234,-78.93686792336234,-78.93686792336234,0.0,0.0,0.0,454.2664286467602
1,2019-01-03,434.9840153342466,286.7501874431611,515.4234892405141,434.9840153342466,434.9840153342466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.22562807035883,-36.22562807035883,-36.22562807035883,57.48788175938214,57.48788175938214,57.48788175938214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.48788175938214,57.48788175938214,57.48788175938214,-14.593527690007138,-14.593527690007138,-14.593527690007138,-79.11998213973384,-79.11998213973384,-79.11998213973384,0.0,0.0,0.0,398.75838726388776
2,2019-01-04,434.7739356684932,299.754787134278,541.2651840271601,434.7739356684932,434.7739356684932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.190932766428656,-21.190932766428656,-21.190932766428656,57.48788175938214,57.48788175938214,57.48788175938214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.48788175938214,57.48788175938214,57.48788175938214,0.7008811480010264,0.7008811480010264,0.7008811480010264,-79.37969567381182,-79.37969567381182,-79.37969567381182,0.0,0.0,0.0,413.58300290206455
3,2019-01-05,434.5638560027397,320.3188884878437,549.1124585606873,434.5638560027397,434.5638560027397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.068876345272561,-2.068876345272561,-2.068876345272561,57.48788175938214,57.48788175938214,57.48788175938214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.48788175938214,57.48788175938214,57.48788175938214,20.10281261544716,20.10281261544716,20.10281261544716,-79.65957072010187,-79.65957072010187,-79.65957072010187,0.0,0.0,0.0,432.4949796574672
4,2019-01-06,434.3537763369863,432.3514626325628,664.4973266171176,434.3537763369863,434.3537763369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.38947670542642,115.38947670542642,115.38947670542642,127.27582962016928,127.27582962016928,127.27582962016928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.27582962016928,127.27582962016928,127.27582962016928,68.01618439557535,68.01618439557535,68.01618439557535,-79.90253731031821,-79.90253731031821,-79.90253731031821,0.0,0.0,0.0,549.7432530424127
5,2019-01-07,434.1436966712329,344.4274588529374,584.1812399008651,434.1436966712329,434.1436966712329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.47528065408553,33.47528065408553,33.47528065408553,127.27582962016928,127.27582962016928,127.27582962016928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.27582962016928,127.27582962016928,127.27582962016928,-13.747779406989272,-13.747779406989272,-13.747779406989272,-80.05276955909446,-80.05276955909446,-80.05276955909446,0.0,0.0,0.0,467.6189773253184
6,2019-01-08,433.9336170054795,235.38211998136816,467.33606183254363,433.9336170054795,433.9336170054795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.67552394405618,-88.67552394405618,-88.67552394405618,22.59390782898857,22.59390782898857,22.59390782898857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.59390782898857,22.59390782898857,22.59390782898857,-31.211943012028396,-31.211943012028396,-31.211943012028396,-80.05748876101636,-80.05748876101636,-80.05748876101636,0.0,0.0,0.0,345.2580930614233
7,2019-01-09,433.723537339726,271.1913445300685,490.3617177982306,433.723537339726,433.723537339726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.64738699115882,-51.64738699115882,-51.64738699115882,57.48788175938214,57.48788175938214,57.48788175938214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.48788175938214,57.48788175938214,57.48788175938214,-29.266628050003632,-29.266628050003632,-29.266628050003632,-79.86864070053733,-79.86864070053733,-79.86864070053733,0.0,0.0,0.0,382.0761503485672
8,2019-01-10,433.5134576739726,245.12528070499542,479.1221648672652,433.5134576739726,433.5134576739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.44401871791358,-71.44401871791358,-71.44401871791358,22.59390782898857,22.59390782898857,22.59390782898857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.59390782898857,22.59390782898857,22.59390782898857,-14.593527690030367,-14.593527690030367,-14.593527690030367,-79.44439885687181,-79.44439885687181,-79.44439885687181,0.0,0.0,0.0,362.069438956059
9,2019-01-11,433.30337800821917,291.56294156906563,529.0668003616953,433.30337800821917,433.30337800821917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.561687980033433,-20.561687980033433,-20.561687980033433,57.48788175938214,57.48788175938214,57.48788175938214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.48788175938214,57.48788175938214,57.48788175938214,0.7008811480379682,0.7008811480379682,0.7008811480379682,-78.75045088745354,-78.75045088745354,-78.75045088745354,0.0,0.0,0.0,412.74169002818576
