,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-02,5343.295824,2980.69842487608,6439.498350541885,5343.295824,5343.295824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-588.7762621654631,-588.7762621654631,-588.7762621654631,-101.77251688740542,-101.77251688740542,-101.77251688740542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.77251688740542,-101.77251688740542,-101.77251688740542,665.1445584912818,665.1445584912818,665.1445584912818,-1152.1483037693395,-1152.1483037693395,-1152.1483037693395,0.0,0.0,0.0,4754.519561834537
1,2019-01-03,5337.322208487671,3958.287845932491,7516.489137065503,5337.322208487671,5337.322208487671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.4149645026606,430.4149645026606,430.4149645026606,826.57075370052,826.57075370052,826.57075370052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.57075370052,826.57075370052,826.57075370052,692.2937280000086,692.2937280000086,692.2937280000086,-1088.4495171978679,-1088.4495171978679,-1088.4495171978679,0.0,0.0,0.0,5767.737172990332
2,2019-01-04,5331.3485929753415,3947.404892890966,7567.834389380538,5331.3485929753415,5331.3485929753415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0553124755555,442.0553124755555,442.0553124755555,826.57075370052,826.57075370052,826.57075370052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.57075370052,826.57075370052,826.57075370052,634.2045402150051,634.2045402150051,634.2045402150051,-1018.7199814399695,-1018.7199814399695,-1018.7199814399695,0.0,0.0,0.0,5773.403905450897
3,2019-01-05,5325.374977463013,3532.8565266079554,7038.56447652869,5325.374977463013,5325.374977463013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.06656547312811,-12.06656547312811,-12.06656547312811,826.57075370052,826.57075370052,826.57075370052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.57075370052,826.57075370052,826.57075370052,104.96151752293102,104.96151752293102,104.96151752293102,-943.5988366965792,-943.5988366965792,-943.5988366965792,0.0,0.0,0.0,5313.308411989885
4,2019-01-06,5319.401361950685,1379.2726058344429,5067.249683613196,5319.401361950685,5319.401361950685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2131.5022660518785,-2131.5022660518785,-2131.5022660518785,-101.77251688740542,-101.77251688740542,-101.77251688740542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.77251688740542,-101.77251688740542,-101.77251688740542,-1165.9152143218025,-1165.9152143218025,-1165.9152143218025,-863.8145348426705,-863.8145348426705,-863.8145348426705,0.0,0.0,0.0,3187.8990958988065
5,2019-01-07,5313.427746438356,1331.2027943420962,4803.849403566538,5313.427746438356,5313.427746438356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2141.505350490287,-2141.505350490287,-2141.505350490287,-101.77251688740542,-101.77251688740542,-101.77251688740542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.77251688740542,-101.77251688740542,-101.77251688740542,-1259.557562086041,-1259.557562086041,-1259.557562086041,-780.1752715168407,-780.1752715168407,-780.1752715168407,0.0,0.0,0.0,3171.9223959480687
6,2019-01-08,5307.454130926027,4032.268895173151,7435.628413948102,5307.454130926027,5307.454130926027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.1579962191167,307.1579962191167,307.1579962191167,671.846875269199,671.846875269199,671.846875269199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.846875269199,671.846875269199,671.846875269199,328.8684321796383,328.8684321796383,328.8684321796383,-693.5573112297207,-693.5573112297207,-693.5573112297207,0.0,0.0,0.0,5614.612127145143
7,2019-01-09,5301.480515413698,4538.579546111232,7917.401521683178,5301.480515413698,5301.480515413698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.8239068308867,886.8239068308867,886.8239068308867,826.57075370052,826.57075370052,826.57075370052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.57075370052,826.57075370052,826.57075370052,665.1445584912761,665.1445584912761,665.1445584912761,-604.8914053609095,-604.8914053609095,-604.8914053609095,0.0,0.0,0.0,6188.304422244585
8,2019-01-10,5295.506899901369,4419.923186825672,7913.1145931957635,5295.506899901369,5295.506899901369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.9930437538798,848.9930437538798,848.9930437538798,671.846875269199,671.846875269199,671.846875269199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.846875269199,671.846875269199,671.846875269199,692.2937279999596,692.2937279999596,692.2937279999596,-515.147559515279,-515.147559515279,-515.147559515279,0.0,0.0,0.0,6144.499943655249
9,2019-01-11,5289.533284389041,4490.985944564546,8108.17659308454,5289.533284389041,5289.533284389041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.456836063051,1035.456836063051,1035.456836063051,826.57075370052,826.57075370052,826.57075370052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.57075370052,826.57075370052,826.57075370052,634.2045402151798,634.2045402151798,634.2045402151798,-425.318457852649,-425.318457852649,-425.318457852649,0.0,0.0,0.0,6324.990120452092
