,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-03,3814.276489,2294.193827336711,4769.931740083994,3814.276489,3814.276489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.34846495385287,-253.34846495385287,-253.34846495385287,116.76373424891838,116.76373424891838,116.76373424891838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.76373424891838,116.76373424891838,116.76373424891838,111.89453079998196,111.89453079998196,111.89453079998196,-482.0067300027532,-482.0067300027532,-482.0067300027532,0.0,0.0,0.0,3560.928024046147
1,2019-01-04,3810.2577536467757,2286.35839876633,4909.223753015462,3810.2577536467757,3810.2577536467757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-216.80794071037468,-216.80794071037468,-216.80794071037468,116.76373424891838,116.76373424891838,116.76373424891838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.76373424891838,116.76373424891838,116.76373424891838,102.12292106815315,102.12292106815315,102.12292106815315,-435.69459602744627,-435.69459602744627,-435.69459602744627,0.0,0.0,0.0,3593.449812936401
2,2019-01-05,3806.239018293553,2091.4710863725973,4330.723051399798,3806.239018293553,3806.239018293553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-603.7469391862278,-603.7469391862278,-603.7469391862278,116.76373424891838,116.76373424891838,116.76373424891838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.76373424891838,116.76373424891838,116.76373424891838,-333.9245062990334,-333.9245062990334,-333.9245062990334,-386.5861671361128,-386.5861671361128,-386.5861671361128,0.0,0.0,0.0,3202.492079107325
3,2019-01-06,3802.2202829403286,592.2783925979235,2974.479155807525,3802.2202829403286,3802.2202829403286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2004.2418930321348,-2004.2418930321348,-2004.2418930321348,-1644.0454468277946,-1644.0454468277946,-1644.0454468277946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1644.0454468277946,-1644.0454468277946,-1644.0454468277946,-25.004954730400872,-25.004954730400872,-25.004954730400872,-335.1914914739394,-335.1914914739394,-335.1914914739394,0.0,0.0,0.0,1797.9783899081938
4,2019-01-07,3798.201547587106,644.9315164207928,2991.863849798544,3798.201547587106,3798.201547587106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1927.077758228942,-1927.077758228942,-1927.077758228942,-1644.0454468277946,-1644.0454468277946,-1644.0454468277946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1644.0454468277946,-1644.0454468277946,-1644.0454468277946,-0.9564362907466121,-0.9564362907466121,-0.9564362907466121,-282.0758751104005,-282.0758751104005,-282.0758751104005,0.0,0.0,0.0,1871.1237893581638
5,2019-01-08,3794.1828122338816,2472.0635036351746,4913.677352551334,3794.1828122338816,3794.1828122338816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.02924061289538,-95.02924061289538,-95.02924061289538,116.76373424891838,116.76373424891838,116.76373424891838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.76373424891838,116.76373424891838,116.76373424891838,16.057446895177772,16.057446895177772,16.057446895177772,-227.85042175699152,-227.85042175699152,-227.85042175699152,0.0,0.0,0.0,3699.153571620986
6,2019-01-09,3790.164076880658,3052.7701609588007,5493.79952845006,3790.164076880658,3790.164076880658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.6160146926122,513.6160146926122,513.6160146926122,556.9660295180967,556.9660295180967,556.9660295180967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.9660295180967,556.9660295180967,556.9660295180967,129.81099855686384,129.81099855686384,129.81099855686384,-173.1610133823482,-173.1610133823482,-173.1610133823482,0.0,0.0,0.0,4303.78009157327
7,2019-01-10,3786.1453415274345,2258.149123355016,4717.814600160011,3786.1453415274345,3786.1453415274345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-330.2200020841803,-330.2200020841803,-330.2200020841803,-323.4385610202599,-323.4385610202599,-323.4385610202599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-323.4385610202599,-323.4385610202599,-323.4385610202599,111.89453079989771,111.89453079989771,111.89453079989771,-118.67597186381813,-118.67597186381813,-118.67597186381813,0.0,0.0,0.0,3455.9253394432544
8,2019-01-11,3782.126606174211,3193.5490392979514,5610.01444645458,3782.126606174211,3782.126606174211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0162640701856,594.0162640701856,594.0162640701856,556.9660295180967,556.9660295180967,556.9660295180967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.9660295180967,556.9660295180967,556.9660295180967,102.1229210679659,102.1229210679659,102.1229210679659,-65.07268651587694,-65.07268651587694,-65.07268651587694,0.0,0.0,0.0,4376.142870244396
9,2019-01-12,3778.1078708209875,2796.8498382906714,5247.753713016908,3778.1078708209875,3778.1078708209875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0179933704471,210.0179933704471,210.0179933704471,556.9660295180967,556.9660295180967,556.9660295180967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.9660295180967,556.9660295180967,556.9660295180967,-333.9245062988783,-333.9245062988783,-333.9245062988783,-13.023529848771162,-13.023529848771162,-13.023529848771162,0.0,0.0,0.0,3988.1258641914346
