,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-03,1338.3653920000002,1149.7194817848774,1867.049578179043,1338.3653920000002,1338.3653920000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0046218417618,176.0046218417618,176.0046218417618,196.98129475874822,196.98129475874822,196.98129475874822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.98129475874822,196.98129475874822,196.98129475874822,71.3686159199774,71.3686159199774,71.3686159199774,-92.3452888369638,-92.3452888369638,-92.3452888369638,0.0,0.0,0.0,1514.3700138417619
1,2019-01-04,1336.4443392131598,1203.7587623280494,1870.6785335889115,1336.4443392131598,1336.4443392131598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.6545667239759,199.6545667239759,199.6545667239759,196.98129475874822,196.98129475874822,196.98129475874822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.98129475874822,196.98129475874822,196.98129475874822,96.29849244546165,96.29849244546165,96.29849244546165,-93.62522048023395,-93.62522048023395,-93.62522048023395,0.0,0.0,0.0,1536.0989059371357
2,2019-01-05,1334.5232864263194,1156.7529822388985,1847.8119358673412,1334.5232864263194,1334.5232864263194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.50587044069226,192.50587044069226,192.50587044069226,196.98129475874822,196.98129475874822,196.98129475874822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.98129475874822,196.98129475874822,196.98129475874822,89.95953173058429,89.95953173058429,89.95953173058429,-94.43495604864026,-94.43495604864026,-94.43495604864026,0.0,0.0,0.0,1527.0291568670116
3,2019-01-06,1332.602233639479,326.7392782135889,1022.8035104425076,1332.602233639479,1332.602233639479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-648.3439597998093,-648.3439597998093,-648.3439597998093,-373.0108244066231,-373.0108244066231,-373.0108244066231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-373.0108244066231,-373.0108244066231,-373.0108244066231,-180.6381510332162,-180.6381510332162,-180.6381510332162,-94.69498435996996,-94.69498435996996,-94.69498435996996,0.0,0.0,0.0,684.2582738396696
4,2019-01-07,1330.6811808526388,352.055134907084,1006.5393215854828,1330.6811808526388,1330.6811808526388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-645.5838995529768,-645.5838995529768,-645.5838995529768,-373.0108244066231,-373.0108244066231,-373.0108244066231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-373.0108244066231,-373.0108244066231,-373.0108244066231,-178.23466789854768,-178.23466789854768,-178.23466789854768,-94.33840724780599,-94.33840724780599,-94.33840724780599,0.0,0.0,0.0,685.097281299662
5,2019-01-08,1328.7601280657984,1109.089478800468,1842.2164607796417,1328.7601280657984,1328.7601280657984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.88555118329973,147.88555118329973,147.88555118329973,196.98129475874822,196.98129475874822,196.98129475874822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.98129475874822,196.98129475874822,196.98129475874822,44.21739567472748,44.21739567472748,44.21739567472748,-93.31313925017595,-93.31313925017595,-93.31313925017595,0.0,0.0,0.0,1476.645679249098
6,2019-01-09,1326.8390752789583,1166.9868204380477,1814.9768091662722,1326.8390752789583,1326.8390752789583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.42639376141796,162.42639376141796,162.42639376141796,196.98129475874822,196.98129475874822,196.98129475874822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.98129475874822,196.98129475874822,196.98129475874822,57.02878316108694,57.02878316108694,57.02878316108694,-91.5836841584172,-91.5836841584172,-91.5836841584172,0.0,0.0,0.0,1489.2654690403763
7,2019-01-10,1324.9180224921179,1159.639650108275,1859.5814215605628,1324.9180224921179,1324.9180224921179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.21747380608332,179.21747380608332,179.21747380608332,196.98129475874822,196.98129475874822,196.98129475874822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.98129475874822,196.98129475874822,196.98129475874822,71.36861591994933,71.36861591994933,71.36861591994933,-89.13243687261422,-89.13243687261422,-89.13243687261422,0.0,0.0,0.0,1504.1354962982011
8,2019-01-11,1322.9969697052777,1187.2112016854896,1876.5293915009415,1322.9969697052777,1322.9969697052777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.31931452267116,207.31931452267116,207.31931452267116,196.98129475874822,196.98129475874822,196.98129475874822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.98129475874822,196.98129475874822,196.98129475874822,96.29849244552476,96.29849244552476,96.29849244552476,-85.96047268160181,-85.96047268160181,-85.96047268160181,0.0,0.0,0.0,1530.316284227949
9,2019-01-12,1321.0759169184373,1186.839300312634,1898.5256302990088,1321.0759169184373,1321.0759169184373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.8530256730932,204.8530256730932,204.8530256730932,196.98129475874822,196.98129475874822,196.98129475874822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.98129475874822,196.98129475874822,196.98129475874822,89.95953173027969,89.95953173027969,89.95953173027969,-82.0878008159347,-82.0878008159347,-82.0878008159347,0.0,0.0,0.0,1525.9289425915306
