,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-03,6439.733270000001,4722.778846332485,8528.600289527725,6439.733270000001,6439.733270000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.1928944524557,285.1928944524557,285.1928944524557,275.11582752411493,275.11582752411493,275.11582752411493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.11582752411493,275.11582752411493,275.11582752411493,606.8735964000283,606.8735964000283,606.8735964000283,-596.7965294716876,-596.7965294716876,-596.7965294716876,0.0,0.0,0.0,6724.926164452456
1,2019-01-04,6431.694307491433,4766.982723127399,8698.089548748352,6431.694307491433,6431.694307491433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.70514714460734,294.70514714460734,294.70514714460734,275.11582752411493,275.11582752411493,275.11582752411493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.11582752411493,275.11582752411493,275.11582752411493,552.2345384868078,552.2345384868078,552.2345384868078,-532.6452188663154,-532.6452188663154,-532.6452188663154,0.0,0.0,0.0,6726.399454636041
2,2019-01-05,6423.655344982865,4460.81917796053,8156.860367122343,6423.655344982865,6423.655344982865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.2484805889202,-121.2484805889202,-121.2484805889202,275.11582752411493,275.11582752411493,275.11582752411493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.11582752411493,275.11582752411493,275.11582752411493,71.16549439573046,71.16549439573046,71.16549439573046,-467.5298025087656,-467.5298025087656,-467.5298025087656,0.0,0.0,0.0,6302.406864393945
3,2019-01-06,6415.616382474298,1377.1135181080776,5326.343304187384,6415.616382474298,6415.616382474298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3021.838989552214,-3021.838989552214,-3021.838989552214,-1508.947470252823,-1508.947470252823,-1508.947470252823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1508.947470252823,-1508.947470252823,-1508.947470252823,-1110.9756807633798,-1110.9756807633798,-1110.9756807633798,-401.9158385360108,-401.9158385360108,-401.9158385360108,0.0,0.0,0.0,3393.777392922084
4,2019-01-07,6407.57741996573,1627.0208112232322,5339.538767658004,6407.57741996573,6407.57741996573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2905.775159289029,-2905.775159289029,-2905.775159289029,-1508.947470252823,-1508.947470252823,-1508.947470252823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1508.947470252823,-1508.947470252823,-1508.947470252823,-1060.5461551296205,-1060.5461551296205,-1060.5461551296205,-336.2815339065853,-336.2815339065853,-336.2815339065853,0.0,0.0,0.0,3501.802260676701
5,2019-01-08,6399.538457457163,4705.233996876373,8629.158111329869,6399.538457457163,6399.538457457163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.31831291251007,310.31831291251007,310.31831291251007,275.11582752411493,275.11582752411493,275.11582752411493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.11582752411493,275.11582752411493,275.11582752411493,306.3172612133869,306.3172612133869,306.3172612133869,-271.11477582499185,-271.11477582499185,-271.11477582499185,0.0,0.0,0.0,6709.856770369673
6,2019-01-09,6391.4994949485945,5217.894402976155,8946.066850187846,6391.4994949485945,6391.4994949485945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.1374405399628,703.1374405399628,703.1374405399628,275.11582752411493,275.11582752411493,275.11582752411493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.11582752411493,275.11582752411493,275.11582752411493,634.9309453977945,634.9309453977945,634.9309453977945,-206.90933238194668,-206.90933238194668,-206.90933238194668,0.0,0.0,0.0,7094.636935488557
7,2019-01-10,6383.460532440028,5117.588063922272,9066.56637919925,6383.460532440028,6383.460532440028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.8291990765912,737.8291990765912,737.8291990765912,275.11582752411493,275.11582752411493,275.11582752411493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.11582752411493,275.11582752411493,275.11582752411493,606.8735964000458,606.8735964000458,606.8735964000458,-144.1602248475697,-144.1602248475697,-144.1602248475697,0.0,0.0,0.0,7121.289731516619
8,2019-01-11,6375.42156993146,5245.570233561628,9038.629421802087,6375.42156993146,6375.42156993146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.9920565120399,743.9920565120399,743.9920565120399,275.11582752411493,275.11582752411493,275.11582752411493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.11582752411493,275.11582752411493,275.11582752411493,552.2345384868823,552.2345384868823,552.2345384868823,-83.35830949895741,-83.35830949895741,-83.35830949895741,0.0,0.0,0.0,7119.4136264435
9,2019-01-12,6367.382607422893,4586.12644192558,8432.614668142867,6367.382607422893,6367.382607422893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.43099408987679,66.43099408987679,66.43099408987679,20.249642127409533,20.249642127409533,20.249642127409533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.249642127409533,20.249642127409533,20.249642127409533,71.1654943942416,71.1654943942416,71.1654943942416,-24.98414243177436,-24.98414243177436,-24.98414243177436,0.0,0.0,0.0,6433.813601512769
