,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-02,11303.988080000001,5732.152932648518,11481.754690549475,11303.988080000001,11303.988080000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2797.7592899765364,-2797.7592899765364,-2797.7592899765364,-741.1274934216395,-741.1274934216395,-741.1274934216395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-741.1274934216395,-741.1274934216395,-741.1274934216395,537.9860382846017,537.9860382846017,537.9860382846017,-2594.6178348394988,-2594.6178348394988,-2594.6178348394988,0.0,0.0,0.0,8506.228790023464
1,2019-01-03,11294.688883839768,10263.01050330714,15834.957909048853,11294.688883839768,11294.688883839768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1813.1439466722984,1813.1439466722984,1813.1439466722984,3653.81931694233,3653.81931694233,3653.81931694233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3653.81931694233,3653.81931694233,3653.81931694233,700.0869064000575,700.0869064000575,700.0869064000575,-2540.762276670089,-2540.762276670089,-2540.762276670089,0.0,0.0,0.0,13107.832830512067
2,2019-01-04,11285.389687679533,10528.22618603617,16143.716661164952,11285.389687679533,11285.389687679533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.2048122383515,2011.2048122383515,2011.2048122383515,3873.5666574605275,3873.5666574605275,3873.5666574605275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3873.5666574605275,3873.5666574605275,3873.5666574605275,606.7891692078451,606.7891692078451,606.7891692078451,-2469.151014430021,-2469.151014430021,-2469.151014430021,0.0,0.0,0.0,13296.594499917885
3,2019-01-05,11276.0904915193,8997.825947683506,14599.97930885155,11276.0904915193,11276.0904915193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.91232308677223,490.91232308677223,490.91232308677223,2774.829954869536,2774.829954869536,2774.829954869536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.829954869536,2774.829954869536,2774.829954869536,96.67152278869106,96.67152278869106,96.67152278869106,-2380.589154571455,-2380.589154571455,-2380.589154571455,0.0,0.0,0.0,11767.002814606072
4,2019-01-06,11266.79129535907,4551.374752297172,10348.647276280373,11266.79129535907,11266.79129535907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3741.2186185695923,-3741.2186185695923,-3741.2186185695923,-960.8748339398379,-960.8748339398379,-960.8748339398379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-960.8748339398379,-960.8748339398379,-960.8748339398379,-504.15161895152056,-504.15161895152056,-504.15161895152056,-2276.1921656782342,-2276.1921656782342,-2276.1921656782342,0.0,0.0,0.0,7525.572676789478
5,2019-01-07,11257.492099198837,3683.921072347322,9239.909830948118,11257.492099198837,11257.492099198837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4798.318336656654,-4798.318336656654,-4798.318336656654,-1180.6221744580364,-1180.6221744580364,-1180.6221744580364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1180.6221744580364,-1180.6221744580364,-1180.6221744580364,-1460.329396934075,-1460.329396934075,-1460.329396934075,-2157.366765264543,-2157.366765264543,-2157.366765264543,0.0,0.0,0.0,6459.173762542183
6,2019-01-08,11248.192903038602,7581.841251989455,13308.655601445256,11248.192903038602,11248.192903038602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-766.2384284829237,-766.2384284829237,-766.2384284829237,1236.5985712421466,1236.5985712421466,1236.5985712421466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.5985712421466,1236.5985712421466,1236.5985712421466,22.94737920529185,22.94737920529185,22.94737920529185,-2025.784378930362,-2025.784378930362,-2025.784378930362,0.0,0.0,0.0,10481.954474555678
7,2019-01-09,11238.893706878369,10803.645993869799,16542.53204296156,11238.893706878369,11238.893706878369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2528.204927293705,2528.204927293705,2528.204927293705,3873.5666574605275,3873.5666574605275,3873.5666574605275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3873.5666574605275,3873.5666574605275,3873.5666574605275,537.986038285213,537.986038285213,537.986038285213,-1883.3477684520353,-1883.3477684520353,-1883.3477684520353,0.0,0.0,0.0,13767.098634172075
8,2019-01-10,11229.594510718136,10533.611832959341,16282.161317433085,11229.594510718136,11229.594510718136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2402.0072656310253,2402.0072656310253,2402.0072656310253,3434.0719764241308,3434.0719764241308,3434.0719764241308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3434.0719764241308,3434.0719764241308,3434.0719764241308,700.0869063999222,700.0869063999222,700.0869063999222,-1732.151617193028,-1732.151617193028,-1732.151617193028,0.0,0.0,0.0,13631.601776349162
9,2019-01-11,11220.295314557903,11096.676196437005,16948.258685058776,11220.295314557903,11220.295314557903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2905.9177940485847,2905.9177940485847,2905.9177940485847,3873.5666574605275,3873.5666574605275,3873.5666574605275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3873.5666574605275,3873.5666574605275,3873.5666574605275,606.7891692082518,606.7891692082518,606.7891692082518,-1574.4380326201942,-1574.4380326201942,-1574.4380326201942,0.0,0.0,0.0,14126.213108606487
10,2019-01-12,11210.99611839767,10417.98888366974,16138.998013030763,11210.99611839767,11210.99611839767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2118.195427391495,2118.195427391495,2118.195427391495,3434.0719764241308,3434.0719764241308,3434.0719764241308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3434.0719764241308,3434.0719764241308,3434.0719764241308,96.67152278638544,96.67152278638544,96.67152278638544,-1412.5480718190215,-1412.5480718190215,-1412.5480718190215,0.0,0.0,0.0,13329.191545789165
