,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-02,9219.993993,7332.879860855856,11155.698498271431,9219.993993,9219.993993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.90206950870464,-69.90206950870464,-69.90206950870464,1380.0456441233814,1380.0456441233814,1380.0456441233814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0456441233814,1380.0456441233814,1380.0456441233814,133.10994526826073,133.10994526826073,133.10994526826073,-1583.0576589003467,-1583.0576589003467,-1583.0576589003467,0.0,0.0,0.0,9150.091923491296
1,2019-01-03,9214.796659913014,7567.252427735495,11265.119957347364,9214.796659913014,9214.796659913014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.34073160961482,105.34073160961482,105.34073160961482,1253.1738415771783,1253.1738415771783,1253.1738415771783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253.1738415771783,1253.1738415771783,1253.1738415771783,407.32098822002916,407.32098822002916,407.32098822002916,-1555.1540981875926,-1555.1540981875926,-1555.1540981875926,0.0,0.0,0.0,9320.137391522629
2,2019-01-04,9209.599326826028,7647.120699321856,11072.48939359737,9209.599326826028,9209.599326826028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.5584349885068,160.5584349885068,160.5584349885068,1253.1738415771783,1253.1738415771783,1253.1738415771783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253.1738415771783,1253.1738415771783,1253.1738415771783,424.84143794149634,424.84143794149634,424.84143794149634,-1517.4568445301677,-1517.4568445301677,-1517.4568445301677,0.0,0.0,0.0,9370.157761814535
3,2019-01-05,9204.40199373904,7653.980224983933,11392.158693043444,9204.40199373904,9204.40199373904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.83316832025884,291.83316832025884,291.83316832025884,1126.302039030975,1126.302039030975,1126.302039030975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.302039030975,1126.302039030975,1126.302039030975,636.2640606313714,636.2640606313714,636.2640606313714,-1470.7329313420876,-1470.7329313420876,-1470.7329313420876,0.0,0.0,0.0,9496.2351620593
4,2019-01-06,9199.204660652056,6880.847445059862,10840.129608330228,9199.204660652056,9199.204660652056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-270.12677072518073,-270.12677072518073,-270.12677072518073,1126.302039030975,1126.302039030975,1126.302039030975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.302039030975,1126.302039030975,1126.302039030975,19.54807626151923,19.54807626151923,19.54807626151923,-1415.976886017675,-1415.976886017675,-1415.976886017675,0.0,0.0,0.0,8929.077889926875
5,2019-01-07,9194.00732756507,5795.616161053045,9493.308825435346,9194.00732756507,9194.00732756507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1475.229593982494,-1475.229593982494,-1475.229593982494,1253.1738415771783,1253.1738415771783,1253.1738415771783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253.1738415771783,1253.1738415771783,1253.1738415771783,-1374.0175205216794,-1374.0175205216794,-1374.0175205216794,-1354.3859150379926,-1354.3859150379926,-1354.3859150379926,0.0,0.0,0.0,7718.777733582576
6,2019-01-08,9188.809994478082,6485.217188920885,10189.37138662239,9188.809994478082,9188.809994478082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-915.5811621707902,-915.5811621707902,-915.5811621707902,618.8148288461626,618.8148288461626,618.8148288461626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.8148288461626,618.8148288461626,618.8148288461626,-247.0669878001399,-247.0669878001399,-247.0669878001399,-1287.329003216813,-1287.329003216813,-1287.329003216813,0.0,0.0,0.0,8273.228832307292
7,2019-01-09,9183.612661391096,7656.895570654339,11350.72641417081,9183.612661391096,9183.612661391096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.97299785921584,169.97299785921584,169.97299785921584,1253.1738415771783,1253.1738415771783,1253.1738415771783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253.1738415771783,1253.1738415771783,1253.1738415771783,133.1099452687497,133.1099452687497,133.1099452687497,-1216.3107889867122,-1216.3107889867122,-1216.3107889867122,0.0,0.0,0.0,9353.585659250311
8,2019-01-10,9178.41532830411,7712.425733604391,11419.60255881221,9178.41532830411,9178.41532830411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.69178970029964,390.69178970029964,390.69178970029964,1126.302039030975,1126.302039030975,1126.302039030975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.302039030975,1126.302039030975,1126.302039030975,407.32098821987915,407.32098821987915,407.32098821987915,-1142.9312375505547,-1142.9312375505547,-1142.9312375505547,0.0,0.0,0.0,9569.107118004411
9,2019-01-11,9173.217995217123,7788.772014198668,11410.378477106273,9173.217995217123,9173.217995217123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.4294106311987,355.4294106311987,355.4294106311987,999.430236484772,999.430236484772,999.430236484772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.430236484772,999.430236484772,999.430236484772,424.8414379422832,424.8414379422832,424.8414379422832,-1068.8422637958565,-1068.8422637958565,-1068.8422637958565,0.0,0.0,0.0,9528.647405848322
