,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-03,2470.413684,2795.2172491891433,4563.998083117822,2470.413684,2470.413684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.0377812183197,1199.0377812183197,1199.0377812183197,1643.1168995441553,1643.1168995441553,1643.1168995441553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.1168995441553,1643.1168995441553,1643.1168995441553,-46.416354600009086,-46.416354600009086,-46.416354600009086,-397.66276372582666,-397.66276372582666,-397.66276372582666,0.0,0.0,0.0,3669.4514652183198
1,2019-01-04,2468.0648859958847,2820.6840931915985,4522.643668764277,2468.0648859958847,2468.0648859958847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.6160193380747,1181.6160193380747,1181.6160193380747,1643.1168995441553,1643.1168995441553,1643.1168995441553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.1168995441553,1643.1168995441553,1643.1168995441553,-80.4691338353453,-80.4691338353453,-80.4691338353453,-381.0317463707354,-381.0317463707354,-381.0317463707354,0.0,0.0,0.0,3649.6809053339593
2,2019-01-05,2465.7160879917697,2363.391460061458,4087.9112233818923,2465.7160879917697,2465.7160879917697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.2144906977617,749.2144906977617,749.2144906977617,1643.1168995441553,1643.1168995441553,1643.1168995441553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.1168995441553,1643.1168995441553,1643.1168995441553,-530.9681449421216,-530.9681449421216,-530.9681449421216,-362.93426390427214,-362.93426390427214,-362.93426390427214,0.0,0.0,0.0,3214.930578689531
3,2019-01-06,2463.367289987654,33.57982252576261,1757.2784849570123,2463.367289987654,2463.367289987654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1572.4704397327375,-1572.4704397327375,-1572.4704397327375,-1620.7463495163252,-1620.7463495163252,-1620.7463495163252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1620.7463495163252,-1620.7463495163252,-1620.7463495163252,391.67047282653283,391.67047282653283,391.67047282653283,-343.3945630429454,-343.3945630429454,-343.3945630429454,0.0,0.0,0.0,890.8968502549167
4,2019-01-07,2461.018491983539,98.46756090673563,1822.25632607549,2461.018491983539,2461.018491983539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1528.8181638659996,-1528.8181638659996,-1528.8181638659996,-1620.7463495163252,-1620.7463495163252,-1620.7463495163252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1620.7463495163252,-1620.7463495163252,-1620.7463495163252,414.39270122977763,414.39270122977763,414.39270122977763,-322.4645155794523,-322.4645155794523,-322.4645155794523,0.0,0.0,0.0,932.2003281175396
5,2019-01-08,2458.6696939794238,2857.367346079022,4558.004667446659,2458.6696939794238,2458.6696939794238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.4202160795958,1225.4202160795958,1225.4202160795958,1643.1168995441553,1643.1168995441553,1643.1168995441553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.1168995441553,1643.1168995441553,1643.1168995441553,-117.47115926637123,-117.47115926637123,-117.47115926637123,-300.2255241981885,-300.2255241981885,-300.2255241981885,0.0,0.0,0.0,3684.0899100590195
6,2019-01-09,2456.3208959753088,2947.990893024111,4678.271187479705,2456.3208959753088,2456.3208959753088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335.5890051043891,1335.5890051043891,1335.5890051043891,1643.1168995441553,1643.1168995441553,1643.1168995441553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.1168995441553,1643.1168995441553,1643.1168995441553,-30.73838141265749,-30.73838141265749,-30.73838141265749,-276.78951302710885,-276.78951302710885,-276.78951302710885,0.0,0.0,0.0,3791.909901079698
7,2019-01-10,2453.9720979711933,2998.70138965101,4614.371094984317,2453.9720979711933,2453.9720979711933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344.401611939529,1344.401611939529,1344.401611939529,1643.1168995441553,1643.1168995441553,1643.1168995441553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.1168995441553,1643.1168995441553,1643.1168995441553,-46.41635460009022,-46.41635460009022,-46.41635460009022,-252.29893300453622,-252.29893300453622,-252.29893300453622,0.0,0.0,0.0,3798.373709910722
8,2019-01-11,2451.623299967078,2930.086904786209,4643.363509539939,2451.623299967078,2451.623299967078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335.7220221499263,1335.7220221499263,1335.7220221499263,1643.1168995441553,1643.1168995441553,1643.1168995441553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.1168995441553,1643.1168995441553,1643.1168995441553,-80.46913383568958,-80.46913383568958,-80.46913383568958,-226.92574355853964,-226.92574355853964,-226.92574355853964,0.0,0.0,0.0,3787.345322117004
9,2019-01-12,2449.274501962963,2528.1628210923964,4186.359914463759,2449.274501962963,2449.274501962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.2793893028254,911.2793893028254,911.2793893028254,1643.1168995441553,1643.1168995441553,1643.1168995441553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.1168995441553,1643.1168995441553,1643.1168995441553,-530.9681449412379,-530.9681449412379,-530.9681449412379,-200.86936530009203,-200.86936530009203,-200.86936530009203,0.0,0.0,0.0,3360.5538912657885
