,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-02,15291.98811,-2942.430548080506,5394.532689440816,15291.98811,15291.98811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14117.383486665954,-14117.383486665954,-14117.383486665954,-10512.581739756728,-10512.581739756728,-10512.581739756728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10512.581739756728,-10512.581739756728,-10512.581739756728,624.1595527554734,624.1595527554734,624.1595527554734,-4228.9612996647,-4228.9612996647,-4228.9612996647,0.0,0.0,0.0,1174.6046233340458
1,2019-01-03,15278.00565801233,267.90662879910366,8140.889685042338,15278.00565801233,15278.00565801233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11015.837693867568,-11015.837693867568,-11015.837693867568,-7926.621151286994,-7926.621151286994,-7926.621151286994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7926.621151286994,-7926.621151286994,-7926.621151286994,955.2719656620604,955.2719656620604,955.2719656620604,-4044.4885082426363,-4044.4885082426363,-4044.4885082426363,0.0,0.0,0.0,4262.167964144761
2,2019-01-04,15264.023206024658,87.48529515523474,8564.93396340283,15264.023206024658,15264.023206024658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10963.959839022202,-10963.959839022202,-10963.959839022202,-7926.621151286994,-7926.621151286994,-7926.621151286994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7926.621151286994,-7926.621151286994,-7926.621151286994,801.0492505819018,801.0492505819018,801.0492505819018,-3838.3879383171097,-3838.3879383171097,-3838.3879383171097,0.0,0.0,0.0,4300.063367002456
3,2019-01-05,15250.040754036985,-365.0098044996844,8122.471423496081,15250.040754036985,15250.040754036985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11529.258983679349,-11529.258983679349,-11529.258983679349,-7926.621151286994,-7926.621151286994,-7926.621151286994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7926.621151286994,-7926.621151286994,-7926.621151286994,10.453575931210398,10.453575931210398,10.453575931210398,-3613.091408323565,-3613.091408323565,-3613.091408323565,0.0,0.0,0.0,3720.7817703576366
4,2019-01-06,15236.058302049314,-3214.92607174207,5387.679094395905,15236.058302049314,15236.058302049314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14186.93303763729,-14186.93303763729,-14186.93303763729,-10512.581739756728,-10512.581739756728,-10512.581739756728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10512.581739756728,-10512.581739756728,-10512.581739756728,-302.96497581173594,-302.96497581173594,-302.96497581173594,-3371.386322068826,-3371.386322068826,-3371.386322068826,0.0,0.0,0.0,1049.1252644120232
5,2019-01-07,15222.075850061643,-4538.865231011341,4231.1483093205225,15222.075850061643,15222.075850061643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15377.660441557759,-15377.660441557759,-15377.660441557759,-10512.581739756728,-10512.581739756728,-10512.581739756728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10512.581739756728,-10512.581739756728,-10512.581739756728,-1748.713267881588,-1748.713267881588,-1748.713267881588,-3116.3654339194422,-3116.3654339194422,-3116.3654339194422,0.0,0.0,0.0,-155.58459149611554
6,2019-01-08,15208.093398073972,-290.74008249681174,8345.795629603183,15208.093398073972,15208.093398073972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11117.245321898037,-11117.245321898037,-11117.245321898037,-7926.621151286994,-7926.621151286994,-7926.621151286994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7926.621151286994,-7926.621151286994,-7926.621151286994,-339.2561012363623,-339.2561012363623,-339.2561012363623,-2851.3680693746805,-2851.3680693746805,-2851.3680693746805,0.0,0.0,0.0,4090.8480761759347
7,2019-01-09,15194.1109460863,613.5040300919272,8860.577982744531,15194.1109460863,15194.1109460863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10457.033650398935,-10457.033650398935,-10457.033650398935,-8501.279059835824,-8501.279059835824,-8501.279059835824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8501.279059835824,-8501.279059835824,-8501.279059835824,624.1595527566584,624.1595527566584,624.1595527566584,-2579.914143319769,-2579.914143319769,-2579.914143319769,0.0,0.0,0.0,4737.077295687366
8,2019-01-10,15180.128494098632,1801.8581059344078,9755.260804658532,15180.128494098632,15180.128494098632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9276.981729013967,-9276.981729013967,-9276.981729013967,-7926.621151286994,-7926.621151286994,-7926.621151286994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7926.621151286994,-7926.621151286994,-7926.621151286994,955.2719656618547,955.2719656618547,955.2719656618547,-2305.632543388828,-2305.632543388828,-2305.632543388828,0.0,0.0,0.0,5903.146765084664
9,2019-01-11,15166.14604211096,2047.8932810451176,10044.174102514855,15166.14604211096,15166.14604211096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9157.757530712814,-9157.757530712814,-9157.757530712814,-7926.621151286994,-7926.621151286994,-7926.621151286994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7926.621151286994,-7926.621151286994,-7926.621151286994,801.0492505821977,801.0492505821977,801.0492505821977,-2032.1856300080165,-2032.1856300080165,-2032.1856300080165,0.0,0.0,0.0,6008.388511398147
10,2019-01-12,15152.163590123288,1509.8481702080273,9562.991951556482,15152.163590123288,15152.163590123288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9392.030363181677,-9392.030363181677,-9392.030363181677,-7639.292197012578,-7639.292197012578,-7639.292197012578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7639.292197012578,-7639.292197012578,-7639.292197012578,10.453575929016228,10.453575929016228,10.453575929016228,-1763.191742098115,-1763.191742098115,-1763.191742098115,0.0,0.0,0.0,5760.133226941611
