,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-03,5278.689972,6995.817136465898,10798.874719245707,5278.689972,5278.689972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3666.518777677372,3666.518777677372,3666.518777677372,4705.482986753876,4705.482986753876,4705.482986753876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705.482986753876,4705.482986753876,4705.482986753876,-396.3383460000519,-396.3383460000519,-396.3383460000519,-642.6258630764511,-642.6258630764511,-642.6258630764511,0.0,0.0,0.0,8945.208749677371
1,2019-01-04,5274.017728556546,6944.985370312086,10888.335492507633,5274.017728556546,5274.017728556546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3645.0888870790363,3645.0888870790363,3645.0888870790363,4705.482986753876,4705.482986753876,4705.482986753876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705.482986753876,4705.482986753876,4705.482986753876,-472.3069010118256,-472.3069010118256,-472.3069010118256,-588.0871986630133,-588.0871986630133,-588.0871986630133,0.0,0.0,0.0,8919.106615635583
2,2019-01-05,5269.345485113092,6033.988957547026,9907.777044104567,5269.345485113092,5269.345485113092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2868.6026708224795,2868.6026708224795,2868.6026708224795,4705.482986753876,4705.482986753876,4705.482986753876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705.482986753876,4705.482986753876,4705.482986753876,-1306.0854659513986,-1306.0854659513986,-1306.0854659513986,-530.794849979997,-530.794849979997,-530.794849979997,0.0,0.0,0.0,8137.948155935572
3,2019-01-06,5264.673241669637,97.16308833637842,4035.0205419323183,5264.673241669637,5264.673241669637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3216.2531880937813,-3216.2531880937813,-3216.2531880937813,-4235.179637739433,-4235.179637739433,-4235.179637739433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4235.179637739433,-4235.179637739433,-4235.179637739433,1489.986407770481,1489.986407770481,1489.986407770481,-471.05995812482917,-471.05995812482917,-471.05995812482917,0.0,0.0,0.0,2048.4200535758555
4,2019-01-07,5260.000998226182,391.7285194590061,4220.715159176742,5260.000998226182,5260.000998226182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3122.4643446519062,-3122.4643446519062,-3122.4643446519062,-4235.179637739433,-4235.179637739433,-4235.179637739433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4235.179637739433,-4235.179637739433,-4235.179637739433,1521.9798935277624,1521.9798935277624,1521.9798935277624,-409.26460044023537,-409.26460044023537,-409.26460044023537,0.0,0.0,0.0,2137.5366535742755
5,2019-01-08,5255.328754782728,7323.729580051216,11083.697295023336,5255.328754782728,5255.328754782728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3938.091478035146,3938.091478035146,3938.091478035146,4705.482986753876,4705.482986753876,4705.482986753876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705.482986753876,4705.482986753876,4705.482986753876,-421.53124759153224,-421.53124759153224,-421.53124759153224,-345.86026112719674,-345.86026112719674,-345.86026112719674,0.0,0.0,0.0,9193.420232817873
6,2019-01-09,5250.6565113392735,7226.577864140644,11092.183358592622,5250.6565113392735,5250.6565113392735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4008.414849291023,4008.414849291023,4008.414849291023,4705.482986753876,4705.482986753876,4705.482986753876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705.482986753876,4705.482986753876,4705.482986753876,-415.7043407441031,-415.7043407441031,-415.7043407441031,-281.36379671874914,-281.36379671874914,-281.36379671874914,0.0,0.0,0.0,9259.071360630296
7,2019-01-10,5245.984267895819,7453.562650428402,11378.61306218197,5245.984267895819,5245.984267895819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4092.7937344543657,4092.7937344543657,4092.7937344543657,4705.482986753876,4705.482986753876,4705.482986753876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705.482986753876,4705.482986753876,4705.482986753876,-396.33834600028223,-396.33834600028223,-396.33834600028223,-216.35090629922786,-216.35090629922786,-216.35090629922786,0.0,0.0,0.0,9338.778002350185
8,2019-01-11,5241.312024452365,7422.095078522982,11307.15847660969,5241.312024452365,5241.312024452365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4081.728885231833,4081.728885231833,4081.728885231833,4705.482986753876,4705.482986753876,4705.482986753876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705.482986753876,4705.482986753876,4705.482986753876,-472.30690101267527,-472.30690101267527,-472.30690101267527,-151.44720050936672,-151.44720050936672,-151.44720050936672,0.0,0.0,0.0,9323.040909684198
9,2019-01-12,5236.63978100891,6665.814777015472,10392.200207421643,5236.63978100891,5236.63978100891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3312.0804745281553,3312.0804745281553,3312.0804745281553,4705.482986753876,4705.482986753876,4705.482986753876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705.482986753876,4705.482986753876,4705.482986753876,-1306.0854659486777,-1306.0854659486777,-1306.0854659486777,-87.31704627704259,-87.31704627704259,-87.31704627704259,0.0,0.0,0.0,8548.720255537066
