,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-03,5018.522061,6923.53966100766,10596.334424390738,5018.522061,5018.522061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3610.5439106785025,3610.5439106785025,3610.5439106785025,4566.2488588483675,4566.2488588483675,4566.2488588483675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4566.2488588483675,4566.2488588483675,4566.2488588483675,-414.48696450001114,-414.48696450001114,-414.48696450001114,-541.2179836698542,-541.2179836698542,-541.2179836698542,0.0,0.0,0.0,8629.065971678501
1,2019-01-04,5014.105018702332,6751.050635591983,10367.710019174883,5014.105018702332,5014.105018702332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3536.417067692829,3536.417067692829,3536.417067692829,4566.2488588483675,4566.2488588483675,4566.2488588483675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4566.2488588483675,4566.2488588483675,4566.2488588483675,-539.6969414379173,-539.6969414379173,-539.6969414379173,-490.1348497176214,-490.1348497176214,-490.1348497176214,0.0,0.0,0.0,8550.522086395162
2,2019-01-05,5009.687976404664,5989.3028122078495,9599.597071455548,5009.687976404664,5009.687976404664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2816.901298002446,2816.901298002446,2816.901298002446,4566.2488588483675,4566.2488588483675,4566.2488588483675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4566.2488588483675,4566.2488588483675,4566.2488588483675,-1312.542837859988,-1312.542837859988,-1312.542837859988,-436.80472298593395,-436.80472298593395,-436.80472298593395,0.0,0.0,0.0,7826.58927440711
3,2019-01-06,5005.270934106996,146.4717949070376,3747.2517059816296,5005.270934106996,5005.270934106996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2977.393419169258,-2977.393419169258,-2977.393419169258,-4099.408119637283,-4099.408119637283,-4099.408119637283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4099.408119637283,-4099.408119637283,-4099.408119637283,1503.6098008115487,1503.6098008115487,1503.6098008115487,-381.59510034352377,-381.59510034352377,-381.59510034352377,0.0,0.0,0.0,2027.877514937738
4,2019-01-07,5000.853891809327,358.9786546210114,3820.5166718041096,5000.853891809327,5000.853891809327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2903.504297871951,-2903.504297871951,-2903.504297871951,-4099.408119637283,-4099.408119637283,-4099.408119637283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4099.408119637283,-4099.408119637283,-4099.408119637283,1520.8344615330554,1520.8344615330554,1520.8344615330554,-324.9306397677237,-324.9306397677237,-324.9306397677237,0.0,0.0,0.0,2097.349593937376
5,2019-01-08,4996.43684951166,7177.139240195232,10622.996420286736,4996.43684951166,4996.43684951166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3954.9402370618313,3954.9402370618313,3954.9402370618313,4566.2488588483675,4566.2488588483675,4566.2488588483675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4566.2488588483675,4566.2488588483675,4566.2488588483675,-344.0193125314861,-344.0193125314861,-344.0193125314861,-267.2893092550498,-267.2893092550498,-267.2893092550498,0.0,0.0,0.0,8951.377086573491
6,2019-01-09,4992.019807213992,7088.088001780807,10768.01218213431,4992.019807213992,4992.019807213992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3943.3541230158953,3943.3541230158953,3943.3541230158953,4566.2488588483675,4566.2488588483675,4566.2488588483675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4566.2488588483675,4566.2488588483675,4566.2488588483675,-413.6982060157527,-413.6982060157527,-413.6982060157527,-209.1965298167199,-209.1965298167199,-209.1965298167199,0.0,0.0,0.0,8935.373930229887
7,2019-01-10,4987.602764916324,7235.588804934108,10688.173951679877,4987.602764916324,4987.602764916324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.544513186891,4000.544513186891,4000.544513186891,4566.2488588483675,4566.2488588483675,4566.2488588483675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4566.2488588483675,4566.2488588483675,4566.2488588483675,-414.48696450019384,-414.48696450019384,-414.48696450019384,-151.21738116128327,-151.21738116128327,-151.21738116128327,0.0,0.0,0.0,8988.147278103215
8,2019-01-11,4983.185722618656,7119.418323295878,10641.783451461153,4983.185722618656,4983.185722618656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3932.6049117197135,3932.6049117197135,3932.6049117197135,4566.2488588483675,4566.2488588483675,4566.2488588483675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4566.2488588483675,4566.2488588483675,4566.2488588483675,-539.6969414387057,-539.6969414387057,-539.6969414387057,-93.94700568994847,-93.94700568994847,-93.94700568994847,0.0,0.0,0.0,8915.79063433837
9,2019-01-12,4978.768680320988,6574.53664322755,10087.890800201978,4978.768680320988,4978.768680320988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3215.7066099817666,3215.7066099817666,3215.7066099817666,4566.2488588483675,4566.2488588483675,4566.2488588483675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4566.2488588483675,4566.2488588483675,4566.2488588483675,-1312.5428378574845,-1312.5428378574845,-1312.5428378574845,-37.99941100911668,-37.99941100911668,-37.99941100911668,0.0,0.0,0.0,8194.475290302755
