,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-03,2055.75506,3016.932271446608,4417.854810501346,2055.75506,2055.75506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1673.5379833347304,1673.5379833347304,1673.5379833347304,2092.9230807252393,2092.9230807252393,2092.9230807252393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092.9230807252393,2092.9230807252393,2092.9230807252393,-314.73910840002145,-314.73910840002145,-314.73910840002145,-104.64598899048768,-104.64598899048768,-104.64598899048768,0.0,0.0,0.0,3729.29304333473
1,2019-01-04,2053.842476930041,2978.341511966215,4446.699942216972,2053.842476930041,2053.842476930041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.722975388192,1641.722975388192,1641.722975388192,2092.9230807252393,2092.9230807252393,2092.9230807252393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092.9230807252393,2092.9230807252393,2092.9230807252393,-358.0429008337556,-358.0429008337556,-358.0429008337556,-93.15720450329185,-93.15720450329185,-93.15720450329185,0.0,0.0,0.0,3695.565452318233
2,2019-01-05,2051.9298938600823,2622.636101873901,4129.651002688573,2051.9298938600823,2051.9298938600823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331.8768322453484,1331.8768322453484,1331.8768322453484,2092.9230807252393,2092.9230807252393,2092.9230807252393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092.9230807252393,2092.9230807252393,2092.9230807252393,-678.9942215431729,-678.9942215431729,-678.9942215431729,-82.05202693671811,-82.05202693671811,-82.05202693671811,0.0,0.0,0.0,3383.8067261054307
3,2019-01-06,2050.0173107901237,246.08080083024973,1732.1719258113296,2050.0173107901237,2050.0173107901237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1090.930138411865,-1090.930138411865,-1090.930138411865,-1968.4532110184184,-1968.4532110184184,-1968.4532110184184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1968.4532110184184,-1968.4532110184184,-1968.4532110184184,948.8222534382087,948.8222534382087,948.8222534382087,-71.2991808316555,-71.2991808316555,-71.2991808316555,0.0,0.0,0.0,959.0871723782586
4,2019-01-07,2048.1047277201646,217.99948832366206,1769.5255655890485,2048.1047277201646,2048.1047277201646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1064.5766522500126,-1064.5766522500126,-1064.5766522500126,-1968.4532110184184,-1968.4532110184184,-1968.4532110184184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1968.4532110184184,-1968.4532110184184,-1968.4532110184184,964.7514571094396,964.7514571094396,964.7514571094396,-60.87489834103382,-60.87489834103382,-60.87489834103382,0.0,0.0,0.0,983.5280754701521
5,2019-01-08,2046.1921446502058,3089.6399704932915,4590.34969343527,2046.1921446502058,2046.1921446502058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1803.8861752175055,1803.8861752175055,1803.8861752175055,2092.9230807252393,2092.9230807252393,2092.9230807252393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092.9230807252393,2092.9230807252393,2092.9230807252393,-238.27122023953527,-238.27122023953527,-238.27122023953527,-50.765685268198574,-50.765685268198574,-50.765685268198574,0.0,0.0,0.0,3850.0783198677113
6,2019-01-09,2044.2795615802468,2993.6321803724736,4536.002877950242,2044.2795615802468,2044.2795615802468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728.426388631471,1728.426388631471,1728.426388631471,2092.9230807252393,2092.9230807252393,2092.9230807252393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092.9230807252393,2092.9230807252393,2092.9230807252393,-323.5262595316015,-323.5262595316015,-323.5262595316015,-40.97043256216701,-40.97043256216701,-40.97043256216701,0.0,0.0,0.0,3772.7059502117177
7,2019-01-10,2042.3669785102882,3004.1054511734606,4499.599636801772,2042.3669785102882,2042.3669785102882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1746.6821811319994,1746.6821811319994,1746.6821811319994,2092.9230807252393,2092.9230807252393,2092.9230807252393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092.9230807252393,2092.9230807252393,2092.9230807252393,-314.7391084001292,-314.7391084001292,-314.7391084001292,-31.501791193110748,-31.501791193110748,-31.501791193110748,0.0,0.0,0.0,3789.0491596422876
8,2019-01-11,2040.4543954403293,3017.97414256329,4441.101180316411,2040.4543954403293,2040.4543954403293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1712.4934239040128,1712.4934239040128,1712.4934239040128,2092.9230807252393,2092.9230807252393,2092.9230807252393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092.9230807252393,2092.9230807252393,2092.9230807252393,-358.0429008341837,-358.0429008341837,-358.0429008341837,-22.386755987042953,-22.386755987042953,-22.386755987042953,0.0,0.0,0.0,3752.947819344342
9,2019-01-12,2038.5418123703703,2711.0216730342404,4202.328802908095,2038.5418123703703,2038.5418123703703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.2624256526015,1400.2624256526015,1400.2624256526015,2092.9230807252393,2092.9230807252393,2092.9230807252393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092.9230807252393,2092.9230807252393,2092.9230807252393,-678.9942215415978,-678.9942215415978,-678.9942215415978,-13.666433531040216,-13.666433531040216,-13.666433531040216,0.0,0.0,0.0,3438.8042380229717
