,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-04-09,321.3878,74.25784157759166,345.6774829124341,321.3878,321.3878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.89506830126864,-110.89506830126864,-110.89506830126864,-77.3429304626873,-77.3429304626873,-77.3429304626873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.3429304626873,-77.3429304626873,-77.3429304626873,-36.64796541582265,-36.64796541582265,-36.64796541582265,3.095827577241336,3.095827577241336,3.095827577241336,0.0,0.0,0.0,210.4927316987314
1,2019-04-10,321.01686746881876,15.987607372435109,278.52321684571746,321.01686746881876,321.01686746881876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-168.57268634847892,-168.57268634847892,-168.57268634847892,-142.46376821028332,-142.46376821028332,-142.46376821028332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142.46376821028332,-142.46376821028332,-142.46376821028332,-28.73889515030416,-28.73889515030416,-28.73889515030416,2.6299770121085393,2.6299770121085393,2.6299770121085393,0.0,0.0,0.0,152.44418112033983
2,2019-04-11,320.6459349376376,107.14264994447598,363.42281947934134,320.6459349376376,320.6459349376376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.5200922612754,-82.5200922612754,-82.5200922612754,-77.3429304626873,-77.3429304626873,-77.3429304626873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.3429304626873,-77.3429304626873,-77.3429304626873,-7.1099731400141755,-7.1099731400141755,-7.1099731400141755,1.932811341426075,1.932811341426075,1.932811341426075,0.0,0.0,0.0,238.1258426763622
3,2019-04-12,320.27500240645634,121.42086536007902,376.8582678127403,320.27500240645634,320.27500240645634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.69899380425677,-78.69899380425677,-78.69899380425677,-77.3429304626873,-77.3429304626873,-77.3429304626873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.3429304626873,-77.3429304626873,-77.3429304626873,-2.352867027389978,-2.352867027389978,-2.352867027389978,0.9968036858205043,0.9968036858205043,0.9968036858205043,0.0,0.0,0.0,241.57600860219958
4,2019-04-13,319.9040698752751,133.88792710393133,401.0435925385415,319.9040698752751,319.9040698752751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.879513952204235,-56.879513952204235,-56.879513952204235,-77.3429304626873,-77.3429304626873,-77.3429304626873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.3429304626873,-77.3429304626873,-77.3429304626873,20.640135697538554,20.640135697538554,20.640135697538554,-0.1767191870554853,-0.1767191870554853,-0.1767191870554853,0.0,0.0,0.0,263.0245559230709
5,2019-04-14,319.5331373440939,6.864820962176227,261.4659160394385,319.5331373440939,319.5331373440939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-182.44741016956849,-182.44741016956849,-182.44741016956849,-240.1450248316773,-240.1450248316773,-240.1450248316773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-240.1450248316773,-240.1450248316773,-240.1450248316773,59.27510049482429,59.27510049482429,59.27510049482429,-1.5774858327155181,-1.5774858327155181,-1.5774858327155181,0.0,0.0,0.0,137.08572717452543
6,2019-04-15,319.1622048129127,-58.473668491214355,187.44422020888274,319.1622048129127,319.1622048129127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-248.39704510853906,-248.39704510853906,-248.39704510853906,-240.1450248316773,-240.1450248316773,-240.1450248316773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-240.1450248316773,-240.1450248316773,-240.1450248316773,-5.065535458845644,-5.065535458845644,-5.065535458845644,-3.1864848180161425,-3.1864848180161425,-3.1864848180161425,0.0,0.0,0.0,70.76515970437364
7,2019-04-16,318.7912722817315,63.64327785524959,334.97285750745806,318.7912722817315,318.7912722817315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.96735642995428,-118.96735642995428,-118.96735642995428,-77.3429304626873,-77.3429304626873,-77.3429304626873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.3429304626873,-77.3429304626873,-77.3429304626873,-36.647965415840375,-36.647965415840375,-36.647965415840375,-4.976460551426603,-4.976460551426603,-4.976460551426603,0.0,0.0,0.0,199.8239158517772
8,2019-04-17,318.4203397505503,81.73758276455567,335.45284626988456,318.4203397505503,318.4203397505503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.9945120915516,-112.9945120915516,-112.9945120915516,-77.3429304626873,-77.3429304626873,-77.3429304626873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.3429304626873,-77.3429304626873,-77.3429304626873,-28.73889515038872,-28.73889515038872,-28.73889515038872,-6.912686478475568,-6.912686478475568,-6.912686478475568,0.0,0.0,0.0,205.42582765899868
9,2019-04-18,318.049407219369,93.91278109784108,356.90057600622964,318.049407219369,318.049407219369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.40689666700392,-93.40689666700392,-93.40689666700392,-77.3429304626873,-77.3429304626873,-77.3429304626873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.3429304626873,-77.3429304626873,-77.3429304626873,-7.109973140032784,-7.109973140032784,-7.109973140032784,-8.953993064283841,-8.953993064283841,-8.953993064283841,0.0,0.0,0.0,224.64251055236508
10,2019-04-19,317.67847468818786,98.59523414589128,353.1578359988552,317.67847468818786,317.67847468818786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.74981734511063,-90.74981734511063,-90.74981734511063,-77.3429304626873,-77.3429304626873,-77.3429304626873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.3429304626873,-77.3429304626873,-77.3429304626873,-2.352867027422345,-2.352867027422345,-2.352867027422345,-11.054019855000988,-11.054019855000988,-11.054019855000988,0.0,0.0,0.0,226.92865734307725
11,2019-04-20,317.3075421570066,-39.67845644787233,221.5319656548409,317.3075421570066,317.3075421570066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-232.66754283669277,-232.66754283669277,-232.66754283669277,-240.1450248316773,-240.1450248316773,-240.1450248316773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-240.1450248316773,-240.1450248316773,-240.1450248316773,20.640135697600037,20.640135697600037,20.640135697600037,-13.162653702615525,-13.162653702615525,-13.162653702615525,0.0,0.0,0.0,84.63999932031382
12,2019-04-21,316.9366096258254,-80.3897483127675,168.8879086199859,316.9366096258254,316.9366096258254,0.0,0.0,0.0,0.0,0.0,0.0,-75.90399,-75.90399,-75.90399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.001523512183,-272.001523512183,-272.001523512183,-240.1450248316773,-240.1450248316773,-240.1450248316773,-75.90399,-75.90399,-75.90399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-240.1450248316773,-240.1450248316773,-240.1450248316773,59.27510049481752,59.27510049481752,59.27510049481752,-15.227609175323218,-15.227609175323218,-15.227609175323218,0.0,0.0,0.0,44.9350861136424
