,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-03,3303.7802460000003,4040.305809335663,6104.309741999001,3303.7802460000003,3303.7802460000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1791.3084815839302,1791.3084815839302,1791.3084815839302,2802.0381894776147,2802.0381894776147,2802.0381894776147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2802.0381894776147,2802.0381894776147,2802.0381894776147,-155.8756563000378,-155.8756563000378,-155.8756563000378,-854.8540515936467,-854.8540515936467,-854.8540515936467,0.0,0.0,0.0,5095.08872758393
1,2019-01-04,3300.938263100069,4148.643835380487,6134.2837663016035,3300.938263100069,3300.938263100069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1793.3765406577918,1793.3765406577918,1793.3765406577918,2802.0381894776147,2802.0381894776147,2802.0381894776147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2802.0381894776147,2802.0381894776147,2802.0381894776147,-197.486652241899,-197.486652241899,-197.486652241899,-811.1749965779237,-811.1749965779237,-811.1749965779237,0.0,0.0,0.0,5094.314803757861
2,2019-01-05,3298.0962802001372,3589.7873080626005,5683.284456540286,3298.0962802001372,3298.0962802001372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.2572338409009,1353.2572338409009,1353.2572338409009,2802.0381894776147,2802.0381894776147,2802.0381894776147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2802.0381894776147,2802.0381894776147,2802.0381894776147,-684.8432624548417,-684.8432624548417,-684.8432624548417,-763.9376931818719,-763.9376931818719,-763.9376931818719,0.0,0.0,0.0,4651.353514041039
3,2019-01-06,3295.254297300206,-776.2654890186071,1198.7138496395492,3295.254297300206,3295.254297300206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3115.847502343699,-3115.847502343699,-3115.847502343699,-3092.7395578384053,-3092.7395578384053,-3092.7395578384053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3092.7395578384053,-3092.7395578384053,-3092.7395578384053,690.360326326377,690.360326326377,690.360326326377,-713.4682708316712,-713.4682708316712,-713.4682708316712,0.0,0.0,0.0,179.40679495650693
4,2019-01-07,3292.412314400274,-831.8107952097586,1194.3559870926658,3292.412314400274,3292.412314400274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3052.0990395755884,-3052.0990395755884,-3052.0990395755884,-3092.7395578384053,-3092.7395578384053,-3092.7395578384053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3092.7395578384053,-3092.7395578384053,-3092.7395578384053,700.7919039696634,700.7919039696634,700.7919039696634,-660.151385706847,-660.151385706847,-660.151385706847,0.0,0.0,0.0,240.31327482468578
5,2019-01-08,3289.570331500343,3640.076494415539,5709.324770324044,3289.570331500343,3289.570331500343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.360284998977,1367.360284998977,1367.360284998977,2147.0628842202796,2147.0628842202796,2147.0628842202796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2147.0628842202796,2147.0628842202796,2147.0628842202796,-175.27575816572167,-175.27575816572167,-175.27575816572167,-604.4268410555804,-604.4268410555804,-604.4268410555804,0.0,0.0,0.0,4656.9306164993195
6,2019-01-09,3286.7283486004117,4305.9404084390735,6423.041738954706,3286.7283486004117,3286.7283486004117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2077.5827063676147,2077.5827063676147,2077.5827063676147,2802.0381894776147,2802.0381894776147,2802.0381894776147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2802.0381894776147,2802.0381894776147,2802.0381894776147,-177.6709011337888,-177.6709011337888,-177.6709011337888,-546.784581976211,-546.784581976211,-546.784581976211,0.0,0.0,0.0,5364.311054968026
7,2019-01-10,3283.88636570048,4433.528568493518,6471.269030551471,3283.88636570048,3283.88636570048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2158.4044201644356,2158.4044201644356,2158.4044201644356,2802.0381894776147,2802.0381894776147,2802.0381894776147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2802.0381894776147,2802.0381894776147,2802.0381894776147,-155.87565630018537,-155.87565630018537,-155.87565630018537,-487.7581130129935,-487.7581130129935,-487.7581130129935,0.0,0.0,0.0,5442.290785864916
8,2019-01-11,3281.0443828005486,4406.903485452647,6553.131443913343,3281.0443828005486,3281.0443828005486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.635099590626,2176.635099590626,2176.635099590626,2802.0381894776147,2802.0381894776147,2802.0381894776147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2802.0381894776147,2802.0381894776147,2802.0381894776147,-197.48665224231533,-197.48665224231533,-197.48665224231533,-427.9164376446736,-427.9164376446736,-427.9164376446736,0.0,0.0,0.0,5457.679482391175
9,2019-01-12,3278.202399900617,4001.4624005114333,6088.9358344504935,3278.202399900617,3278.202399900617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1749.3402589721652,1749.3402589721652,1749.3402589721652,2802.0381894776147,2802.0381894776147,2802.0381894776147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2802.0381894776147,2802.0381894776147,2802.0381894776147,-684.843262453647,-684.843262453647,-684.843262453647,-367.8546680518026,-367.8546680518026,-367.8546680518026,0.0,0.0,0.0,5027.542658872782
