,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-03,5080.711388,3386.5991465087245,6404.349899385528,5080.711388,5080.711388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166.3235084860502,-166.3235084860502,-166.3235084860502,287.50450752364264,287.50450752364264,287.50450752364264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.50450752364264,287.50450752364264,287.50450752364264,492.6481416800257,492.6481416800257,492.6481416800257,-946.4761576897185,-946.4761576897185,-946.4761576897185,0.0,0.0,0.0,4914.38787951395
1,2019-01-04,5074.310778541467,3553.7683941732002,6551.269133614656,5074.310778541467,5074.310778541467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.562386957445108,-14.562386957445108,-14.562386957445108,429.0272927510594,429.0272927510594,429.0272927510594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0272927510594,429.0272927510594,429.0272927510594,445.75894204315927,445.75894204315927,445.75894204315927,-889.3486217516638,-889.3486217516638,-889.3486217516638,0.0,0.0,0.0,5059.748391584022
2,2019-01-05,5067.910169082934,3065.012867813104,6249.641962883127,5067.910169082934,5067.910169082934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-388.5790740185802,-388.5790740185802,-388.5790740185802,429.0272927510594,429.0272927510594,429.0272927510594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0272927510594,429.0272927510594,429.0272927510594,10.300071481804101,10.300071481804101,10.300071481804101,-827.9064382514438,-827.9064382514438,-827.9064382514438,0.0,0.0,0.0,4679.331095064354
3,2019-01-06,5061.5095596244,319.9529727053468,3289.2721176962086,5061.5095596244,5061.5095596244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3300.393212969553,-3300.393212969553,-3300.393212969553,-1693.8144856601928,-1693.8144856601928,-1693.8144856601928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1693.8144856601928,-1693.8144856601928,-1693.8144856601928,-843.8121640182667,-843.8121640182667,-843.8121640182667,-762.7665632910939,-762.7665632910939,-762.7665632910939,0.0,0.0,0.0,1761.116346654847
4,2019-01-07,5055.108950165866,316.5152566428013,3261.8401433079007,5055.108950165866,5055.108950165866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3266.049807319565,-3266.049807319565,-3266.049807319565,-1693.8144856601928,-1693.8144856601928,-1693.8144856601928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1693.8144856601928,-1693.8144856601928,-1693.8144856601928,-877.6280371314048,-877.6280371314048,-877.6280371314048,-694.6072845279677,-694.6072845279677,-694.6072845279677,0.0,0.0,0.0,1789.0591428463013
5,2019-01-08,5048.708340707333,3351.8374138652493,6309.898497807173,5048.708340707333,5048.708340707333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-219.57229594688386,-219.57229594688386,-219.57229594688386,145.9817222962258,145.9817222962258,145.9817222962258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.9817222962258,145.9817222962258,145.9817222962258,258.6039842532079,258.6039842532079,258.6039842532079,-624.1580024963176,-624.1580024963176,-624.1580024963176,0.0,0.0,0.0,4829.136044760449
6,2019-01-09,5042.3077312488,3773.354461078173,6768.432078006087,5042.3077312488,5042.3077312488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.44598689109523,249.44598689109523,249.44598689109523,287.50450752364264,287.50450752364264,287.50450752364264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.50450752364264,287.50450752364264,287.50450752364264,514.1290616921104,514.1290616921104,514.1290616921104,-552.1875823246577,-552.1875823246577,-552.1875823246577,0.0,0.0,0.0,5291.753718139896
7,2019-01-10,5035.907121790267,3817.9012752834487,6846.0388654577755,5035.907121790267,5035.907121790267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.661153527539,300.661153527539,300.661153527539,287.50450752364264,287.50450752364264,287.50450752364264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.50450752364264,287.50450752364264,287.50450752364264,492.6481416800156,492.6481416800156,492.6481416800156,-479.4914956761192,-479.4914956761192,-479.4914956761192,0.0,0.0,0.0,5336.568275317806
8,2019-01-11,5029.506512331734,3811.7869025038985,6851.533509212836,5029.506512331734,5029.506512331734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.3854384471594,326.3854384471594,326.3854384471594,287.50450752364264,287.50450752364264,287.50450752364264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.50450752364264,287.50450752364264,287.50450752364264,445.7589420432463,445.7589420432463,445.7589420432463,-406.87801111972954,-406.87801111972954,-406.87801111972954,0.0,0.0,0.0,5355.891950778893
9,2019-01-12,5023.105902873201,3513.951588774093,6595.489499073235,5023.105902873201,5023.105902873201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.34914480082923,-37.34914480082923,-37.34914480082923,287.50450752364264,287.50450752364264,287.50450752364264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.50450752364264,287.50450752364264,287.50450752364264,10.300071480495648,10.300071480495648,10.300071480495648,-335.15372380496757,-335.15372380496757,-335.15372380496757,0.0,0.0,0.0,4985.756758072372
