HOLIDAY,DS,LOWER_WINDOW,DS_UPPER,UPPER_WINDOW,,
Presidents Day,2/16/2019,0,2/18/2019,2,,
Easter Sunday,4/21/2019,0,4/22/2019,1,,
Memorial Day SH,5/25/2019,0,5/26/2019,1,,
Memorial Day,5/27/2019,0,5/28/2019,1,,
Labor Day,09/02/19,0,09/03/19,1,,
Labor Day SH,8/31/2019,0,9/1/2019,1,,
XMAS,12/24/19,0,12/25/19,1,,
Black Friday SH,11/23/19,0,11/24/19,1,,
Black Friday SH,11/30/19,0,12/01/19,1,,
Black Friday,11/29/19,0,11/30/19,1,,
Post Black Friday,11/30/19,0,12/23/19,23,,
Presidents Day,2/15/2020,0,2/17/2020,2,,
Memorial Day SH,5/16/2020,0,5/17/2020,1,,
Memorial Day SH,5/23/2020,0,5/24/2020,1,,
Memorial Day,5/25/2020,0,5/26/2020,1,,
Labor Day,09/07/20,0,09/08/20,1,,
Labor Day SH,09/05/20,0,09/06/20,1,,
Black Friday SH,11/14/20,0,11/15/20,1,,
Black Friday SH,11/28/20,0,11/29/20,1,,
Black Friday,11/27/20,0,11/28/20,1,,
Post Black Friday,11/28/19,0,12/23/19,25,,
XMAS,12/24/20,0,12/25/20,1,,
Presidents Day,3/27/2021,0,3/28/2021,1,,
Presidents Day,3/13/2021,0,3/14/2021,1,,
Presidents Day,3/20/2021,0,3/21/2021,1,,
Presidents Day,4/3/2021,0,4/4/2021,1,,
Easter Sunday,4/4/2021,0,4/5/2021,1,,
Memorial Day SH,5/29/2021,0,5/30/2021,1,,
Memorial Day,5/31/2021,0,6/1/2021,1,,
Labor Day SH,09/04/21,0,09/05/21,1,,
Labor Day,09/06/21,0,09/07/21,1,,
Black Friday,11/04/21,0,12/06/21,32,,
Black Friday SH,11/21/21,0,11/22/21,1,,
Black Friday,11/26/21,0,11/27/21,1,,
Black Friday SH,11/27/21,0,11/28/21,1,,
Post Black Friday,11/28/21,0,12/23/21,25,,
XMAS,12/24/2021,0,12/25/2021,1,,
Presidents Day,2/19/2022,0,2/21/2022,2,,
Easter Sunday,4/17/2022,0,4/18/2022,1,,
Memorial Day SH,5/28/2022,0,5/29/2022,1,,
Memorial Day,5/30/2022,0,5/31/2022,1,,
Labor Day SH,09/03/22,0,09/04/22,1,,
Labor Day,09/05/22,0,09/06/22,1,,
Black Friday SH,11/19/2022,0,11/20/2022,1,,
Black Friday,11/25/2022,0,11/26/2022,1,,
Black Friday SH,11/26/2022,0,11/27/2022,1,,
Post Black Friday,11/28/22,0,12/23/22,25,,
XMAS,12/24/2022,0,12/26/2022,2,,
Presidents Day,2/18/2023,0,2/22/2023,4,,
Black Friday SH,11/17/2023,0,11/19/2023,2,,
Black Friday,11/24/2023,0,11/25/2023,1,,
Black Friday SH,12/1/2023,0,12/3/2023,2,,
XMAS,12/24/2023,0,12/25/2023,1,,
lockdown_1,3/21/2020,0,6/6/2020,77,,
lockdown_2,7/9/2020,0,10/27/2020,110,,
lockdown_3,2/13/2021,0,2/17/2021,4,,
lockdown_4,5/28/2021,0,6/10/2021,13,,
