date,ridership Barrie ALLANDALE WATERFRONT GO AM Peak,total_train_trips Barrie ALLANDALE WATERFRONT GO AM Peak
2019-01-02,3517,6
2019-01-03,3629,6
2019-01-04,3178,6
2019-01-07,5481,6
2019-01-08,5383,6
2019-01-09,5369,6
2019-01-10,5245,6
2019-01-11,4604,6
2019-01-14,5522,6
2019-01-15,5620,6
2019-01-16,5415,6
2019-01-17,5293,6
2019-01-18,4455,6
2019-01-21,4872,6
2019-01-22,5375,6
2019-01-23,5061,6
2019-01-24,5375,6
2019-01-25,4502,6
2019-01-28,5211,6
2019-01-29,3337,6
2019-01-30,5437,6
2019-01-31,5435,6
2019-02-01,4400,6
2019-02-04,5392,6
2019-02-05,5525,6
2019-02-06,5110,6
2019-02-07,5195,6
2019-02-08,4530,6
2019-02-11,5319,6
2019-02-12,3675,6
2019-02-13,4927,6
2019-02-14,5262,6
2019-02-15,4203,6
2019-02-19,5269,6
2019-02-20,5224,6
2019-02-21,4913,6
2019-02-22,4367,6
2019-02-25,4821,6
2019-02-26,5144,6
2019-02-27,5107,6
2019-02-28,4992,6
2019-03-01,4493,6
2019-03-04,5311,6
2019-03-05,5460,6
2019-03-06,5278,6
2019-03-07,5174,6
2019-03-08,4464,6
2019-03-11,4658,6
2019-03-12,4779,6
2019-03-13,4688,6
2019-03-14,4426,6
2019-03-15,3675,6
2019-03-18,5233,6
2019-03-19,5138,6
2019-03-20,5138,6
2019-03-21,5018,6
2019-03-22,4255,6
2019-03-25,5360,6
2019-03-26,5380,6
2019-03-27,5339,6
2019-03-28,5120,6
2019-03-29,4401,6
2019-04-01,5340,6
2019-04-02,5370,6
2019-04-03,5271,6
2019-04-04,5105,6
2019-04-05,4319,6
2019-04-08,5194,6
2019-04-09,5581,6
2019-04-10,5194,6
2019-04-11,5126,6
2019-04-12,4196,6
2019-04-15,5116,6
2019-04-16,5241,6
2019-04-17,5125,6
2019-04-18,4734,6
2019-04-22,3690,6
2019-04-23,5281,6
2019-04-24,5151,6
2019-04-25,5080,6
2019-04-26,4094,6
2019-04-29,5068,6
2019-04-30,5130,6
2019-05-01,4986,6
2019-05-02,4967,6
2019-05-03,4198,6
2019-05-06,5226,6
2019-05-07,5295,6
2019-05-08,5223,6
2019-05-09,5173,6
2019-05-10,4341,6
2019-05-13,5245,6
2019-05-14,5305,6
2019-05-15,5196,6
2019-05-16,609,1
2019-05-17,3915,6
2019-05-21,5388,6
2019-05-22,5251,6
2019-05-23,5237,6
2019-05-24,4329,6
2019-05-27,5210,6
2019-05-28,5247,6
2019-05-29,5232,6
2019-05-30,5154,6
2019-05-31,4258,6
2019-06-03,5128,6
2019-06-04,5306,6
2019-06-05,5086,6
2019-06-06,5122,6
2019-06-07,4273,6
2019-06-10,4968,6
2019-06-11,4981,6
2019-06-12,5198,6
2019-06-13,5050,6
2019-06-14,3949,6
2019-06-17,6136,6
2019-06-18,5262,6
2019-06-19,5194,6
2019-06-20,5019,6
2019-06-21,4139,6
2019-06-24,5114,6
2019-06-25,5177,6
2019-06-26,4434,6
2019-06-27,4851,6
2019-06-28,3475,6
2019-07-02,4758,6
2019-07-03,4939,6
2019-07-04,4827,6
2019-07-05,3907,6
2019-07-08,5057,6
2019-07-09,5140,6
2019-07-10,4971,6
2019-07-11,4860,6
2019-07-12,4024,6
2019-07-15,4971,6
2019-07-16,5121,6
2019-07-17,5045,6
2019-07-18,4873,6
2019-07-19,3996,6
2019-07-22,4966,6
2019-07-23,5148,6
2019-07-24,5068,6
2019-07-25,5138,6
2019-07-26,3916,6
2019-07-29,4870,6
2019-07-30,4987,6
2019-07-31,4860,6
2019-08-01,4714,6
2019-08-02,3277,6
2019-08-06,4661,6
2019-08-07,4673,6
2019-08-08,4573,6
2019-08-09,3742,6
