date,ridership Barrie ALLANDALE WATERFRONT GO,total_train_trips Barrie ALLANDALE WATERFRONT GO
2019-01-01,174,3
2019-01-02,4218,7
2019-01-03,4434,7
2019-01-04,3886,7
2019-01-05,346,3
2019-01-06,220,3
2019-01-07,6407,7
2019-01-08,6335,7
2019-01-09,6251,7
2019-01-10,6213,7
2019-01-11,5485,7
2019-01-12,293,3
2019-01-13,209,3
2019-01-14,6503,7
2019-01-15,6584,7
2019-01-16,6362,7
2019-01-17,6224,7
2019-01-18,5307,7
2019-01-19,358,3
2019-01-20,273,3
2019-01-21,5718,7
2019-01-22,6408,7
2019-01-23,6116,7
2019-01-24,6320,7
2019-01-25,5430,7
2019-01-26,342,3
2019-01-27,280,3
2019-01-28,6210,7
2019-01-29,4056,7
2019-01-30,6392,7
2019-01-31,6389,7
2019-02-01,5225,7
2019-02-02,303,3
2019-02-03,270,3
2019-02-04,6224,7
2019-02-05,6414,7
2019-02-06,5933,7
2019-02-07,6084,7
2019-02-08,5407,7
2019-02-09,324,3
2019-02-10,237,3
2019-02-11,6352,7
2019-02-12,4177,7
2019-02-13,5884,7
2019-02-14,6180,7
2019-02-15,4999,7
2019-02-16,386,3
2019-02-17,337,3
2019-02-18,377,3
2019-02-19,6193,7
2019-02-20,6099,7
2019-02-21,5809,7
2019-02-22,5211,7
2019-02-23,432,3
2019-02-24,353,3
2019-02-25,5723,7
2019-02-26,6234,7
2019-02-27,5963,7
2019-02-28,6005,7
2019-03-01,5340,7
2019-03-02,329,3
2019-03-03,397,3
2019-03-04,6153,7
2019-03-05,6400,7
2019-03-06,6171,7
2019-03-07,6078,7
2019-03-08,5304,7
2019-03-09,366,3
2019-03-10,324,3
2019-03-11,5568,7
2019-03-12,5667,7
2019-03-13,5549,7
2019-03-14,5348,7
2019-03-15,4497,7
2019-03-16,596,3
2019-03-17,382,3
2019-03-18,6177,7
2019-03-19,6068,7
2019-03-20,6040,7
2019-03-21,5979,7
2019-03-22,4988,7
2019-03-23,380,3
2019-03-24,321,3
2019-03-25,6307,7
2019-03-26,6310,7
2019-03-27,6285,7
2019-03-28,6076,7
2019-03-29,5278,7
2019-03-30,519,3
2019-03-31,407,3
2019-04-01,6295,7
2019-04-02,6299,7
2019-04-03,6232,7
2019-04-04,6031,7
2019-04-05,5215,7
2019-04-06,498,3
2019-04-07,378,3
2019-04-08,6107,7
2019-04-09,6411,7
2019-04-10,6105,7
2019-04-11,5976,7
2019-04-12,5010,7
2019-04-13,473,3
2019-04-14,337,3
2019-04-15,5939,7
2019-04-16,6135,7
2019-04-17,5977,7
2019-04-18,5559,7
2019-04-19,272,3
2019-04-20,417,3
2019-04-21,440,3
2019-04-22,4331,7
2019-04-23,6087,7
2019-04-24,6028,7
2019-04-25,5937,7
2019-04-26,4875,7
2019-04-27,414,3
2019-04-28,517,3
