date,ridership Barrie AURORA GO,total_train_trips Barrie AURORA GO
2019-01-01,379,10
2019-01-02,373,8
2019-01-03,569,8
2019-01-04,413,8
2019-01-05,533,10
2019-01-06,385,10
2019-01-07,283,7
2019-01-08,332,8
2019-01-09,284,7
2019-01-10,320,8
2019-01-11,406,8
2019-01-12,553,10
2019-01-13,364,10
2019-01-14,415,8
2019-01-15,398,8
2019-01-16,397,8
2019-01-17,396,8
2019-01-18,432,8
2019-01-19,567,10
2019-01-20,449,10
2019-01-21,172,4
2019-01-22,382,8
2019-01-23,393,7
2019-01-24,420,8
2019-01-25,408,8
2019-01-26,454,10
2019-01-27,412,10
2019-01-28,428,8
2019-01-29,419,8
2019-01-30,388,8
2019-01-31,405,8
2019-02-01,386,8
2019-02-02,536,10
2019-02-03,468,10
2019-02-04,450,8
2019-02-05,367,7
2019-02-06,311,8
2019-02-07,433,8
2019-02-08,360,8
2019-02-09,429,10
2019-02-10,351,10
2019-02-11,426,8
2019-02-12,191,8
2019-02-13,418,8
2019-02-14,409,8
2019-02-15,435,8
2019-02-16,582,10
2019-02-17,389,10
2019-02-18,485,10
2019-02-19,312,7
2019-02-20,338,8
2019-02-21,419,8
2019-02-22,395,8
2019-02-23,721,10
2019-02-24,450,10
2019-02-25,409,7
2019-02-26,397,8
2019-02-27,410,8
2019-02-28,387,8
2019-03-01,412,8
2019-03-02,572,10
2019-03-03,438,10
2019-03-04,335,7
2019-03-05,395,8
2019-03-06,396,8
2019-03-07,396,8
2019-03-08,441,8
2019-03-09,531,10
2019-03-10,409,10
2019-03-11,555,8
2019-03-12,475,8
2019-03-13,677,8
2019-03-14,524,8
2019-03-15,575,8
2019-03-16,584,10
2019-03-17,449,10
2019-03-18,424,8
2019-03-19,373,8
2019-03-20,430,8
2019-03-21,419,8
2019-03-22,417,8
2019-03-23,565,10
2019-03-24,486,10
2019-03-25,452,8
2019-03-26,420,8
2019-03-27,424,8
2019-03-28,625,8
2019-03-29,463,8
2019-03-30,559,10
2019-03-31,374,10
2019-04-01,431,8
2019-04-02,396,7
2019-04-03,426,8
2019-04-04,373,7
2019-04-05,396,8
2019-04-06,585,10
2019-04-07,376,10
2019-04-08,397,8
2019-04-09,387,8
2019-04-10,359,8
2019-04-11,410,8
