date,ridership Barrie,total_train_trips Barrie
2019-01-01,1149,25
2019-01-02,10297,36
2019-01-03,11395,36
2019-01-04,9762,36
2019-01-05,1549,25
2019-01-06,1069,25
2019-01-07,14903,34
2019-01-08,14964,36
2019-01-09,14815,34
2019-01-10,14835,36
2019-01-11,13334,36
2019-01-12,1554,25
2019-01-13,996,25
2019-01-14,15389,36
2019-01-15,15829,36
2019-01-16,15423,36
2019-01-17,15124,36
2019-01-18,13051,36
2019-01-19,1717,25
2019-01-20,1274,24
2019-01-21,13444,28
2019-01-22,15422,36
2019-01-23,15174,34
2019-01-24,15383,36
2019-01-25,13486,36
2019-01-26,1465,25
2019-01-27,1199,25
2019-01-28,15130,36
2019-01-29,10782,36
2019-01-30,15438,36
2019-01-31,14838,35
2019-02-01,12863,36
2019-02-02,1575,25
2019-02-03,1357,25
2019-02-04,15212,36
2019-02-05,15370,34
2019-02-06,14145,36
2019-02-07,14963,36
2019-02-08,13104,36
2019-02-09,1431,25
2019-02-10,1074,25
2019-02-11,15364,36
2019-02-12,9689,36
2019-02-13,14474,36
2019-02-14,15304,36
2019-02-15,12762,36
2019-02-16,1751,25
2019-02-17,1438,25
2019-02-18,1522,25
2019-02-19,14493,34
2019-02-20,14423,36
2019-02-21,14076,36
2019-02-22,12662,36
2019-02-23,2079,25
2019-02-24,1391,25
2019-02-25,13821,34
2019-02-26,15151,36
2019-02-27,14433,36
2019-02-28,14607,36
2019-03-01,13143,36
2019-03-02,1682,25
2019-03-03,1483,25
2019-03-04,14840,33
2019-03-05,15336,36
2019-03-06,15049,36
2019-03-07,14753,36
2019-03-08,13152,36
2019-03-09,1604,25
2019-03-10,1277,26
2019-03-11,14004,36
2019-03-12,14145,36
2019-03-13,13955,35
2019-03-14,13628,36
2019-03-15,11757,36
2019-03-16,2089,25
2019-03-17,1549,25
2019-03-18,14759,36
2019-03-19,14815,36
2019-03-20,14856,36
2019-03-21,14669,36
2019-03-22,12871,36
2019-03-23,1723,25
2019-03-24,1423,25
2019-03-25,15211,36
2019-03-26,15339,36
2019-03-27,15357,36
2019-03-28,15203,36
2019-03-29,13219,36
2019-03-30,1972,25
2019-03-31,1391,25
2019-04-01,15139,36
2019-04-02,15220,35
2019-04-03,15081,36
