date,ridership Barrie UNION STATION,total_train_trips Barrie UNION STATION
2019-01-01,596,12
2019-01-02,5102,18
2019-01-03,5636,18
2019-01-04,4837,18
2019-01-05,670,12
2019-01-06,464,12
2019-01-07,7332,17
2019-01-08,7367,18
2019-01-09,7353,17
2019-01-10,7362,18
2019-01-11,6611,18
2019-01-12,708,12
2019-01-13,423,12
2019-01-14,7493,18
2019-01-15,7828,18
2019-01-16,7625,18
2019-01-17,7500,18
2019-01-18,6475,18
2019-01-19,792,12
2019-01-20,552,11
2019-01-21,6677,14
2019-01-22,7613,18
2019-01-23,7501,17
2019-01-24,7584,18
2019-01-25,6723,18
2019-01-26,669,12
2019-01-27,507,12
2019-01-28,7425,18
2019-01-29,5343,18
2019-01-30,7611,18
2019-01-31,7332,18
2019-02-01,6406,18
2019-02-02,736,12
2019-02-03,619,12
2019-02-04,7451,18
2019-02-05,7581,17
2019-02-06,6952,18
2019-02-07,7378,18
2019-02-08,6452,18
2019-02-09,678,12
2019-02-10,486,12
2019-02-11,7541,18
2019-02-12,4742,18
2019-02-13,7161,18
2019-02-14,7606,18
2019-02-15,6475,18
2019-02-16,783,12
2019-02-17,712,12
2019-02-18,660,12
2019-02-19,7086,17
2019-02-20,7100,18
2019-02-21,6932,18
2019-02-22,6262,18
2019-02-23,926,12
2019-02-24,588,12
2019-02-25,6781,17
2019-02-26,7473,18
2019-02-27,7163,18
2019-02-28,7232,18
2019-03-01,6538,18
2019-03-02,781,12
2019-03-03,648,12
2019-03-04,7239,16
2019-03-05,7549,18
2019-03-06,7451,18
2019-03-07,7278,18
2019-03-08,6567,18
2019-03-09,707,12
2019-03-10,543,12
2019-03-11,6861,18
2019-03-12,6980,18
2019-03-13,6984,18
2019-03-14,6720,18
2019-03-15,5790,18
2019-03-16,909,12
2019-03-17,718,12
2019-03-18,7180,18
2019-03-19,7477,18
2019-03-20,7353,18
2019-03-21,7272,18
2019-03-22,6499,18
2019-03-23,778,12
2019-03-24,616,12
2019-03-25,7459,18
2019-03-26,7587,18
2019-03-27,7618,18
2019-03-28,7490,18
2019-03-29,6574,18
2019-03-30,894,12
2019-03-31,610,12
2019-04-01,7434,18
2019-04-02,7526,18
2019-04-03,7478,18
2019-04-04,7317,17
2019-04-05,6409,18
2019-04-06,854,12
2019-04-07,616,12
2019-04-08,7331,18
2019-04-09,7478,18
2019-04-10,7265,18
2019-04-11,7140,18
2019-04-12,6103,18
2019-04-13,1015,12
2019-04-14,538,12
2019-04-15,7126,18
2019-04-16,7215,18
2019-04-17,7292,18
2019-04-18,6627,16
2019-04-19,793,12
2019-04-20,842,12
2019-04-21,695,12
2019-04-22,5174,18
2019-04-23,5552,11
2019-04-24,7227,18
2019-04-25,6985,18
2019-04-26,5968,18
2019-04-27,825,12
2019-04-28,698,12
2019-04-29,6879,18
2019-04-30,7082,18
2019-05-01,6881,18
2019-05-02,6829,18
2019-05-03,6097,18
2019-05-04,793,12
2019-05-05,679,12
2019-05-06,7033,18
2019-05-07,7261,17
2019-05-08,7224,18
2019-05-09,7032,18
2019-05-10,6363,18
2019-05-11,1162,12
2019-05-12,833,12
2019-05-13,7042,18
2019-05-14,7372,18
2019-05-15,7156,18
2019-05-16,6592,16
2019-05-17,5837,18
2019-05-18,753,12
2019-05-19,791,12
2019-05-20,661,12
2019-05-21,7251,18
2019-05-22,7232,18
2019-05-23,7251,18
2019-05-24,6271,18
2019-05-25,881,12
2019-05-26,911,12
2019-05-27,7109,18
2019-05-28,7214,16
2019-05-29,7238,18
2019-05-30,7084,18
2019-05-31,6336,18
2019-06-01,692,12
2019-06-02,720,12
2019-06-03,6969,18
2019-06-04,7234,18
2019-06-05,7114,18
2019-06-06,7187,18
2019-06-07,6158,17
2019-06-08,961,12
2019-06-09,757,12
2019-06-10,6772,18
2019-06-11,7194,18
2019-06-12,7344,18
2019-06-13,6904,18
2019-06-14,6216,18
2019-06-17,8968,18
2019-06-18,7364,18
2019-06-19,7269,18
2019-06-20,7022,18
2019-06-21,6207,18
2019-06-22,995,12
2019-06-23,1096,12
2019-06-24,7094,18
2019-06-25,7272,18
2019-06-26,6741,17
2019-06-27,6845,18
2019-06-28,5788,18
2019-06-29,1325,12
2019-06-30,1039,12
2019-07-01,972,12
2019-07-02,6662,18
2019-07-03,6799,18
2019-07-04,6815,18
2019-07-05,6000,18
2019-07-06,1135,12
2019-07-07,1054,12
2019-07-08,6389,13
2019-07-09,7003,17
2019-07-10,7119,18
2019-07-11,6936,18
2019-07-12,6132,18
2019-07-13,1076,12
2019-07-14,876,12
2019-07-15,6932,18
2019-07-16,7188,18
2019-07-17,7009,18
2019-07-18,6961,18
2019-07-19,6115,18
2019-07-20,1083,13
2019-07-21,896,12
2019-07-22,6970,17
2019-07-23,7242,18
2019-07-24,7168,18
2019-07-25,6985,18
2019-07-26,6117,18
2019-07-27,1504,12
2019-07-28,1061,12
2019-07-29,6919,18
2019-07-30,7065,18
2019-07-31,7004,18
2019-08-01,6998,18
2019-08-02,5521,18
2019-08-03,1663,12
2019-08-04,1115,12
2019-08-05,786,12
2019-08-06,6583,18
2019-08-07,6718,18
2019-08-08,6602,16
2019-08-09,5900,18
2019-08-10,1364,12
2019-08-11,1128,12
2019-08-12,6779,18
2019-08-13,7161,17
2019-08-14,7187,18
2019-08-15,6859,18
2019-08-16,6131,18
2019-08-17,1298,12
2019-08-18,1111,12
2019-08-19,6707,18
2019-08-20,6991,18
2019-08-21,6955,18
2019-08-22,6789,16
2019-08-23,6119,18
2019-08-24,1814,12
2019-08-25,1228,12
2019-08-26,6656,18
2019-08-27,6747,18
2019-08-28,6852,18
2019-08-29,6477,18
2019-08-30,5336,18
2019-08-31,1590,12
2019-09-01,1113,12
2019-09-02,828,12
2019-09-03,6746,18
2019-09-04,7863,18
2019-09-05,7904,18
2019-09-06,6956,18
2019-09-07,943,12
2019-09-08,533,12
2019-09-09,7906,18
2019-09-10,8141,18
2019-09-11,7981,18
2019-09-12,7987,18
2019-09-13,7077,18
2019-09-14,1086,12
2019-09-15,744,12
2019-09-16,7994,18
2019-09-17,8150,18
2019-09-18,8056,18
2019-09-19,8325,18
2019-09-20,7103,18
2019-09-23,7824,18
2019-09-24,7785,18
2019-09-25,8140,18
2019-09-26,8007,18
2019-09-27,7184,18
2019-09-28,1391,12
2019-09-29,1018,12
2019-09-30,7797,18
2019-10-01,7973,18
2019-10-02,8028,18
2019-10-03,7953,18
2019-10-04,7081,18
2019-10-05,963,12
2019-10-06,622,12
2019-10-07,8051,18
2019-10-08,8253,18
2019-10-09,7923,17
2019-10-10,8088,18
2019-10-11,6950,18
2019-10-12,1229,12
2019-10-13,982,12
2019-10-14,622,12
2019-10-15,7590,18
2019-10-16,5931,14
2019-10-17,7230,17
2019-10-18,6738,18
2019-10-19,1108,12
2019-10-20,812,12
2019-10-21,7641,18
2019-10-22,8014,18
2019-10-23,7889,18
2019-10-24,7813,18
2019-10-25,6881,18
2019-10-26,1071,12
2019-10-27,665,12
2019-10-28,7876,18
2019-10-29,8129,18
2019-10-30,8109,18
2019-10-31,7595,17
2019-11-01,6876,17
2019-11-02,854,12
2019-11-03,597,12
2019-11-04,7971,17
2019-11-05,8050,18
2019-11-06,8023,18
2019-11-07,7987,18
2019-11-08,6725,18
2019-11-09,1119,12
2019-11-10,753,12
2019-11-11,5436,18
2019-11-12,8125,16
2019-11-13,7954,16
2019-11-14,7988,18
2019-11-15,6825,18
2019-11-16,980,12
2019-11-17,996,12
2019-11-18,7604,15
2019-11-19,8115,18
2019-11-20,8076,18
2019-11-21,7909,18
2019-11-22,6785,18
2019-11-23,1033,12
2019-11-24,695,12
2019-11-25,7888,18
2019-11-26,8157,18
2019-11-27,7945,18
2019-11-28,7622,18
2019-11-29,6445,18
2019-11-30,1121,12
2019-12-01,854,12
2019-12-02,7263,18
2019-12-03,7948,18
2019-12-04,7819,18
2019-12-05,7544,18
2019-12-06,6427,18
2019-12-07,1185,12
2019-12-08,705,12
2019-12-09,7550,18
2019-12-10,7793,18
2019-12-11,7603,18
2019-12-12,6986,16
2019-12-13,6166,18
2019-12-14,1170,12
2019-12-15,748,12
2019-12-16,7004,18
2019-12-17,7198,18
2019-12-18,6880,16
2019-12-19,6629,18
2019-12-20,5575,18
2019-12-21,1183,12
2019-12-22,1117,12
2019-12-23,4444,17
2019-12-24,2664,16
2019-12-25,484,12
2019-12-26,675,12
2019-12-27,2011,18
2019-12-28,993,12
2019-12-29,810,12
2019-12-30,3126,18
2019-12-31,3934,28
2020-01-01,681,12
2020-01-02,4554,18
2020-01-03,4226,18
2020-01-04,948,12
2020-01-05,528,12
2020-01-06,7823,18
2020-01-07,7806,18
2020-01-08,7813,18
2020-01-09,7679,18
2020-01-10,6760,18
2020-01-11,770,12
2020-01-12,659,12
2020-01-13,7932,18
2020-01-14,6912,14
2020-01-15,7905,17
2020-01-16,7994,18
2020-01-17,6723,18
2020-01-18,1070,12
2020-01-19,701,12
2020-01-20,7653,17
2020-01-21,8079,18
2020-01-22,8082,18
2020-01-23,7993,18
2020-01-24,6901,18
2020-01-25,941,12
2020-01-26,597,12
2020-01-27,7771,18
2020-01-28,7932,18
2020-01-29,7819,18
2020-01-30,7708,18
2020-01-31,6313,15
2020-02-01,1003,12
2020-02-02,670,12
2020-02-03,7737,18
2020-02-04,7894,18
2020-02-05,7890,17
2020-02-06,7323,18
2020-02-07,6480,17
2020-02-08,766,10
2020-02-09,549,12
2020-02-10,7539,18
2020-02-11,7650,18
2020-02-12,7648,17
2020-02-13,7466,18
2020-02-14,5924,16
2020-02-15,608,7
2020-02-16,809,12
2020-02-17,804,12
2020-02-18,7182,18
2020-02-19,7225,18
2020-02-20,7134,18
2020-02-21,6112,18
2020-02-22,1026,12
2020-02-23,775,12
2020-02-24,7526,18
2020-02-25,7445,16
2020-02-26,7155,18
2020-02-27,6401,18
2020-02-28,6385,17
2020-02-29,931,12
2020-03-01,553,12
2020-03-02,7542,18
2020-03-03,7651,18
2020-03-04,7600,18
2020-03-05,7259,18
2020-03-06,6448,18
2020-03-07,920,12
2020-03-08,541,12
2020-03-09,7048,18
2020-03-10,7093,18
2020-03-11,6883,17
2020-03-12,6237,18
2020-03-13,4362,18
2020-03-14,375,12
2020-03-15,265,12
2020-03-16,1883,18
2020-03-17,1116,18
2020-03-18,679,15
2020-03-19,561,15
2020-03-20,447,15
2020-03-21,71,12
2020-03-22,45,12
2020-03-23,339,14
2020-03-24,291,15
2020-03-25,243,14
2020-03-26,233,14
2020-03-27,210,15
2020-03-28,39,11
2020-03-29,26,11
2020-03-30,195,15
2020-03-31,210,15
2020-04-01,207,15
2020-04-02,197,15
2020-04-03,169,14
2020-04-04,29,11
2020-04-05,19,10
2020-04-06,157,11
2020-04-07,162,14
2020-04-08,151,14
2020-04-09,153,11
2020-04-10,33,10
2020-04-11,26,11
2020-04-12,18,11
2020-04-13,109,14
2020-04-14,145,13
2020-04-15,134,12
2020-04-16,140,11
2020-04-17,138,13
2020-04-18,30,11
2020-04-19,19,9
2020-04-20,148,12
2020-04-21,138,13
2020-04-22,139,13
2020-04-23,160,13
2020-04-24,137,12
2020-04-25,33,10
2020-04-26,25,12
2020-04-27,132,12
2020-04-28,150,13
2020-04-29,139,12
2020-04-30,144,13
2020-05-01,157,12
2020-05-02,41,11
2020-05-03,38,9
2020-05-04,150,13
2020-05-05,155,13
2020-05-06,154,12
2020-05-07,152,13
2020-05-08,149,13
2020-05-09,36,11
2020-05-10,37,12
2020-05-11,140,13
2020-05-12,171,12
2020-05-13,132,6
2020-05-14,145,6
2020-05-15,138,6
2020-05-19,161,6
2020-05-20,160,6
2020-05-21,170,6
2020-05-22,174,6
2020-05-25,184,6
2020-05-26,193,6
2020-05-27,180,6
2020-05-28,170,6
2020-05-29,160,6
2020-06-01,184,6
2020-06-02,175,5
2020-06-03,201,6
2020-06-04,212,6
2020-06-05,189,6
2020-06-08,220,6
2020-06-09,228,6
2020-06-10,214,6
2020-06-11,217,6
2020-06-12,229,6
2020-06-15,250,6
2020-06-16,240,6
2020-06-17,245,6
2020-06-18,268,6
2020-06-19,272,6
2020-06-22,254,6
2020-06-23,265,5
2020-06-24,265,6
2020-06-25,275,6
2020-06-26,284,6
2020-06-29,303,6
2020-06-30,336,6
2020-07-02,312,6
2020-07-03,287,6
2020-07-06,305,6
2020-07-07,329,6
2020-07-08,53,2
2020-07-09,330,6
2020-07-10,304,6
2020-07-13,320,6
2020-07-14,359,6
2020-07-15,341,6
2020-07-16,336,6
2020-07-17,334,6
2020-07-20,267,6
2020-07-21,271,6
2020-07-22,269,6
2020-07-23,286,6
2020-07-24,306,6
2020-07-27,271,6
2020-07-28,269,6
2020-07-29,285,6
2020-07-30,347,6
2020-07-31,357,6
2020-08-04,270,6
2020-08-05,304,6
2020-08-06,320,6
2020-08-07,350,6
2020-08-10,314,6
2020-08-11,332,6
2020-08-12,460,6
2020-08-13,495,6
2020-08-14,441,6
2020-08-17,439,6
2020-08-18,487,6
2020-08-19,484,6
2020-08-20,527,6
2020-08-21,504,6
2020-08-24,479,6
2020-08-25,527,6
2020-08-26,516,6
2020-08-27,523,6
2020-08-28,490,6
2020-08-31,504,6
2020-09-01,547,6
2020-09-02,512,6
2020-09-03,592,6
2020-09-04,569,6
2020-09-08,664,15
2020-09-09,678,15
2020-09-10,677,15
2020-09-11,765,15
2020-09-12,301,14
2020-09-13,207,14
2020-09-14,661,15
2020-09-15,681,15
2020-09-16,707,15
2020-09-17,731,15
2020-09-18,712,14
2020-09-19,252,13
2020-09-20,219,14
2020-09-21,668,15
2020-09-22,717,15
2020-09-23,692,15
2020-09-24,739,15
2020-09-25,708,15
2020-09-26,309,14
2020-09-27,234,14
2020-09-28,640,15
2020-09-29,699,15
2020-09-30,658,15
2020-10-01,712,15
2020-10-02,664,15
2020-10-03,264,14
2020-10-04,161,14
2020-10-05,627,15
2020-10-06,655,15
2020-10-07,661,15
2020-10-08,742,15
2020-10-09,775,15
2020-10-10,374,14
2020-10-11,270,14
2020-10-12,157,14
2020-10-13,634,15
2020-10-14,644,15
2020-10-15,665,15
2020-10-16,624,15
2020-10-17,252,14
2020-10-18,138,14
2020-10-19,625,15
2020-10-20,647,15
2020-10-21,608,15
2020-10-22,631,15
2020-10-23,658,15
2020-10-24,248,14
2020-10-25,169,14
2020-10-26,605,15
2020-10-27,644,15
2020-10-28,686,15
2020-10-29,666,15
2020-10-30,668,15
2020-10-31,279,14
2020-11-01,175,14
2020-11-02,648,15
2020-11-03,667,15
2020-11-04,648,12
2020-11-05,667,15
2020-11-06,684,15
2020-11-07,281,14
2020-11-08,217,14
2020-11-09,638,15
2020-11-10,689,14
2020-11-11,583,15
2020-11-12,675,15
2020-11-13,660,15
2020-11-14,244,14
2020-11-15,159,14
2020-11-16,614,15
2020-11-17,623,15
2020-11-18,616,15
2020-11-19,649,15
2020-11-20,617,15
2020-11-21,212,13
2020-11-22,157,13
2020-11-23,540,15
2020-11-24,566,15
2020-11-25,555,15
2020-11-26,584,15
2020-11-27,562,15
2020-11-30,536,15
2020-12-01,562,15
2020-12-02,564,15
2020-12-03,576,15
2020-12-04,588,15
2020-12-05,160,14
2020-12-06,114,13
2020-12-07,523,15
2020-12-08,537,14
2020-12-09,539,14
2020-12-10,558,14
2020-12-11,570,14
2020-12-12,160,14
2020-12-13,97,13
2020-12-14,510,14
2020-12-15,552,14
2020-12-16,548,14
2020-12-17,558,14
2020-12-18,524,14
2020-12-19,142,14
2020-12-20,116,13
2020-12-21,457,15
2020-12-22,455,15
2020-12-23,467,15
2020-12-24,330,15
2020-12-25,97,14
2020-12-26,105,14
2020-12-27,73,9
2020-12-28,100,13
2020-12-29,285,15
2020-12-30,302,15
2020-12-31,272,14
2021-01-01,80,13
2021-01-02,100,14
2021-01-03,84,14
2021-01-04,428,14
2021-01-05,459,15
2021-01-06,450,15
2021-01-07,462,15
2021-01-08,462,15
2021-01-09,103,14
2021-01-10,99,14
2021-01-11,486,15
2021-01-12,472,15
2021-01-13,489,15
2021-01-14,423,15
2021-01-15,383,15
2021-01-16,95,13
2021-01-17,54,13
2021-01-18,375,15
2021-01-19,414,15
2021-01-20,387,15
2021-01-21,407,15
2021-01-22,396,15
2021-01-25,372,10
2021-01-26,390,10
2021-01-27,376,10
2021-01-28,366,10
2021-01-29,357,10
2021-02-01,362,10
2021-02-02,365,10
2021-02-03,364,10
2021-02-04,387,10
2021-02-05,375,10
2021-02-08,350,10
2021-02-09,380,10
2021-02-10,358,10
2021-02-11,379,10
2021-02-12,376,10
2021-02-16,373,10
2021-02-17,403,10
2021-02-18,414,10
2021-02-19,413,10
2021-02-22,412,10
2021-02-23,406,10
2021-02-24,413,10
2021-02-25,410,10
2021-02-26,446,10
2021-03-01,407,8
2021-03-02,415,10
2021-03-03,406,10
2021-03-04,414,10
2021-03-05,412,10
2021-03-08,431,10
2021-03-09,438,10
2021-03-10,436,10
2021-03-11,468,10
2021-03-12,460,10
2021-03-15,87,6
2021-03-16,470,10
2021-03-17,443,10
2021-03-18,468,9
2021-03-19,457,10
2021-03-22,441,10
2021-03-23,462,10
2021-03-24,471,10
2021-03-25,483,10
2021-03-26,444,10
2021-03-29,433,10
2021-03-30,465,10
2021-03-31,448,10
2021-04-01,512,10
2021-04-05,313,10
2021-04-06,442,10
2021-04-07,418,10
2021-04-08,397,10
2021-04-09,394,10
2021-04-12,370,10
2021-04-13,380,10
2021-04-14,398,10
2021-04-15,376,10
2021-04-16,347,10
2021-04-19,347,10
2021-04-20,355,10
2021-04-21,333,10
2021-04-22,338,10
2021-04-23,331,10
2021-04-26,338,10
2021-04-27,357,10
2021-04-28,353,10
2021-04-29,352,10
2021-04-30,341,9
2021-05-03,367,10
2021-05-04,375,10
2021-05-05,353,10
2021-05-06,368,10
2021-05-07,388,10
2021-05-10,361,10
2021-05-11,382,10
2021-05-12,382,10
2021-05-13,378,10
2021-05-14,377,10
2021-05-17,375,10
2021-05-18,395,10
2021-05-19,389,10
2021-05-20,397,10
2021-05-21,432,9
2021-05-25,402,10
2021-05-26,380,10
2021-05-27,410,10
2021-05-28,388,8
2021-05-31,394,10
2021-06-01,413,10
2021-06-02,417,10
2021-06-03,433,10
2021-06-04,460,10
2021-06-07,402,9
2021-06-08,423,10
2021-06-09,470,10
2021-06-10,495,10
2021-06-11,494,10
2021-06-14,435,9
2021-06-15,477,10
2021-06-16,468,10
2021-06-17,526,10
2021-06-18,541,10
2021-06-21,480,10
2021-06-22,532,10
2021-06-23,504,10
2021-06-24,509,10
2021-06-25,507,10
2021-06-28,503,9
2021-06-29,523,10
2021-06-30,587,10
2021-07-02,416,10
2021-07-05,530,9
2021-07-06,539,9
2021-07-07,564,10
2021-07-08,556,10
2021-07-09,616,10
2021-07-10,207,5
2021-07-11,151,5
2021-07-12,559,10
2021-07-13,596,10
2021-07-14,597,10
2021-07-15,611,10
2021-07-16,630,10
2021-07-17,192,5
2021-07-18,176,5
2021-07-19,584,10
2021-07-20,605,10
2021-07-21,635,10
2021-07-22,625,10
2021-07-23,651,10
2021-07-24,222,5
2021-07-25,193,5
2021-07-26,604,10
2021-07-27,655,10
2021-07-28,646,10
2021-07-29,643,10
2021-07-30,702,10
2021-07-31,263,5
2021-08-01,220,5
2021-08-02,224,5
2021-08-03,647,9
2021-08-04,718,10
2021-08-05,686,10
2021-08-06,716,10
2021-08-09,763,15
2021-08-10,764,15
2021-08-11,829,15
2021-08-12,866,15
2021-08-13,818,15
2021-08-14,495,13
2021-08-15,382,15
2021-08-16,817,15
2021-08-17,868,15
2021-08-18,867,15
2021-08-19,896,15
2021-08-20,912,15
2021-08-21,515,15
2021-08-22,432,15
2021-08-23,836,15
2021-08-24,909,13
2021-08-25,802,12
2021-08-26,954,15
2021-08-27,936,15
2021-08-28,486,15
2021-08-29,360,14
2021-08-30,904,15
2021-08-31,925,15
2021-09-01,1041,15
2021-09-02,982,15
2021-09-03,1039,15
2021-09-04,598,15
2021-09-05,414,15
2021-09-06,332,15
2021-09-07,1022,18
2021-09-08,1028,18
2021-09-09,1103,18
2021-09-10,1055,18
2021-09-11,488,15
2021-09-12,320,15
2021-09-13,1099,18
2021-09-14,1177,17
2021-09-15,1182,15
2021-09-16,1215,18
2021-09-17,1072,17
2021-09-18,509,15
2021-09-19,416,15
2021-09-20,1078,18
2021-09-21,1178,18
2021-09-22,1147,17
2021-09-23,1231,18
2021-09-24,1195,18
2021-09-25,475,15
2021-09-26,353,15
2021-09-27,1143,18
2021-09-28,1274,18
2021-09-29,1303,18
2021-09-30,1185,18
2021-10-01,1169,18
2021-10-03,235,6
2021-10-04,1195,18
2021-10-05,1317,18
2021-10-06,1345,18
2021-10-07,1352,18
2021-10-08,1401,16
2021-10-09,676,15
2021-10-10,567,15
2021-10-11,375,15
2021-10-12,1261,18
2021-10-13,1383,18
2021-10-14,1359,18
2021-10-15,1158,18
2021-10-16,471,15
2021-10-17,337,15
2021-10-18,1219,18
2021-10-19,1398,18
2021-10-20,1421,18
2021-10-21,1387,17
2021-10-22,1248,16
2021-10-23,578,15
2021-10-24,403,14
2021-10-25,1174,18
2021-10-26,1354,18
2021-10-27,1464,17
2021-10-28,1380,18
2021-10-29,1207,17
2021-10-30,514,15
2021-10-31,397,15
2021-11-01,1187,18
2021-11-02,1464,18
2021-11-03,1464,18
2021-11-04,1500,18
2021-11-05,1285,18
2021-11-06,551,15
2021-11-07,412,15
2021-11-08,1264,18
2021-11-09,1469,18
2021-11-10,1479,18
2021-11-11,1261,18
2021-11-12,1229,18
2021-11-13,481,15
2021-11-14,321,15
2021-11-15,1258,18
2021-11-16,1528,18
2021-11-17,1523,18
2021-11-18,1565,18
2021-11-19,1309,18
2021-11-20,476,15
2021-11-21,337,15
2021-11-22,1289,18
2021-11-23,1519,18
2021-11-24,1591,18
2021-11-25,1546,18
2021-11-26,1268,18
2021-11-27,466,15
2021-11-28,406,15
2021-11-29,1331,18
2021-11-30,1599,18
2021-12-01,1628,18
2021-12-02,1561,18
2021-12-03,1304,18
2021-12-04,442,15
2021-12-05,369,15
2021-12-06,1261,18
