date,ridership Kitchener,total_train_trips Kitchener
2019-01-02,12586,31
2019-01-03,13476,31
2019-01-04,11701,31
2019-01-07,17366,30
2019-01-08,17455,31
2019-01-09,16927,29
2019-01-10,16992,31
2019-01-11,14319,29
2019-01-14,18027,31
2019-01-15,18302,31
2019-01-16,17735,30
2019-01-17,17471,30
2019-01-18,15893,31
2019-01-21,15393,30
2019-01-22,17915,31
2019-01-23,16992,31
2019-01-24,17842,31
2019-01-25,15972,31
2019-01-28,17257,31
2019-01-29,10487,31
2019-01-30,17382,31
2019-01-31,15081,29
2019-02-01,15064,30
2019-02-04,14741,25
2019-02-05,18049,31
2019-02-06,15217,31
2019-02-07,17289,31
2019-02-08,15427,31
2019-02-11,17568,31
2019-02-12,9928,31
2019-02-13,15624,32
2019-02-14,17758,32
2019-02-15,15070,32
2019-02-19,17019,32
2019-02-20,16703,32
2019-02-21,16301,32
2019-02-22,14981,32
2019-02-25,15796,29
2019-02-26,17701,32
2019-02-27,16038,31
2019-02-28,13632,28
2019-03-01,15772,32
2019-03-04,17404,28
2019-03-05,17553,32
2019-03-06,17412,32
2019-03-07,17340,32
2019-03-08,15856,32
2019-03-11,16610,32
2019-03-12,16963,32
2019-03-13,16366,29
2019-03-14,16356,32
2019-03-15,14508,32
2019-03-18,17659,30
2019-03-19,17825,32
2019-03-20,17732,32
2019-03-21,17290,27
2019-03-22,15553,32
2019-03-25,17838,32
2019-03-26,18016,31
2019-03-27,17774,32
2019-03-28,17701,32
2019-03-29,15587,30
2019-04-01,17678,32
2019-04-02,17952,32
2019-04-03,17571,32
2019-04-04,17526,32
2019-04-05,15556,32
2019-04-08,17523,33
2019-04-09,17525,33
2019-04-10,17306,33
2019-04-11,17153,32
2019-04-12,15223,33
2019-04-15,17204,33
2019-04-16,17413,33
2019-04-17,17312,33
2019-04-18,16076,33
2019-04-22,11120,33
2019-04-23,15538,33
2019-04-24,15347,33
2019-04-25,14909,33
2019-04-26,13030,33
2019-04-29,14736,33
2019-04-30,14876,33
2019-05-01,14333,33
2019-05-02,14563,33
2019-05-03,12685,33
2019-05-06,15085,33
2019-05-07,15455,33
2019-05-08,15206,33
2019-05-09,15219,33
2019-05-10,13518,32
2019-05-13,15115,33
2019-05-14,15801,33
2019-05-15,15480,33
2019-05-16,15380,33
2019-05-17,12284,33
2019-05-21,15565,33
2019-05-22,15513,33
2019-05-23,15178,28
2019-05-24,13553,33
2019-05-27,15267,33
2019-05-28,15625,33
2019-05-29,15493,33
2019-05-30,15523,33
2019-05-31,13481,33
2019-06-02,37,1
2019-06-03,15285,33
2019-06-04,15410,33
2019-06-05,14956,33
2019-06-06,15502,33
2019-06-07,13528,33
2019-06-10,15120,33
2019-06-11,15719,33
2019-06-12,15827,33
2019-06-13,15419,33
2019-06-14,13306,33
2019-06-17,23991,34
2019-06-18,15910,33
2019-06-19,15542,33
2019-06-20,15110,33
2019-06-21,13280,33
2019-06-24,15347,33
2019-06-25,15733,33
2019-06-26,15480,32
2019-06-27,14806,33
2019-06-28,11939,33
2019-07-02,14323,32
2019-07-03,15185,33
2019-07-04,14819,33
2019-07-05,12875,33
2019-07-08,15225,33
2019-07-09,15274,33
2019-07-10,15514,33
2019-07-11,15187,32
2019-07-12,13282,33
2019-07-15,15116,33
2019-07-16,15616,33
2019-07-17,14936,33
2019-07-18,15028,33
2019-07-19,12790,33
2019-07-20,70,2
2019-07-21,61,2
2019-07-22,14817,33
2019-07-23,15609,33
2019-07-24,15340,33
2019-07-25,15054,33
2019-07-26,12855,33
2019-07-29,13582,31
2019-07-30,15242,33
2019-07-31,15064,33
2019-08-01,14935,33
2019-08-02,11325,33
2019-08-03,345,2
2019-08-06,14009,28
2019-08-07,14755,33
2019-08-08,14734,33
2019-08-09,12495,33
2019-08-12,14275,31
2019-08-13,15376,33
2019-08-14,15427,33
2019-08-15,14757,33
2019-08-16,13004,33
2019-08-19,14769,33
2019-08-20,15316,33
2019-08-21,15104,33
2019-08-22,14955,33
2019-08-23,13022,33
2019-08-26,14717,33
2019-08-27,14913,33
2019-08-28,15088,33
2019-08-29,14367,33
2019-08-30,11548,33
2019-08-31,235,2
2019-09-01,191,2
2019-09-02,149,2
2019-09-03,16150,42
2019-09-04,17529,42
2019-09-05,17855,43
2019-09-06,14968,43
2019-09-09,17313,39
2019-09-10,18473,43
2019-09-11,17941,43
2019-09-12,18108,43
2019-09-13,16049,43
2019-09-16,17922,43
2019-09-17,18507,43
2019-09-18,18141,43
2019-09-19,18267,43
2019-09-20,16084,43
2019-09-23,17899,40
2019-09-24,18215,40
2019-09-25,18218,42
2019-09-26,17909,43
2019-09-27,16644,43
2019-09-30,17705,43
2019-10-01,18206,43
2019-10-02,18056,43
2019-10-03,18140,43
2019-10-04,15973,43
2019-10-07,17813,42
2019-10-08,18289,40
2019-10-09,18014,43
2019-10-10,18313,43
2019-10-11,14984,43
2019-10-15,17288,42
2019-10-16,16758,43
2019-10-17,16462,42
2019-10-18,15092,43
2019-10-21,17466,43
2019-10-22,16620,35
2019-10-23,17425,43
2019-10-24,17494,43
2019-10-25,15615,43
2019-10-28,17257,43
2019-10-29,17908,41
2019-10-30,17837,43
2019-10-31,17108,43
2019-11-01,15417,43
2019-11-04,17892,43
2019-11-05,18257,42
2019-11-06,18263,43
2019-11-07,17856,43
2019-11-08,15772,43
2019-11-11,11576,43
2019-11-12,17700,42
2019-11-13,17857,41
2019-11-14,18008,43
2019-11-15,15793,42
2019-11-17,188,2
2019-11-18,17612,41
2019-11-19,18303,43
2019-11-20,18107,43
2019-11-21,17795,43
2019-11-22,15927,43
2019-11-25,17842,43
2019-11-26,18226,43
2019-11-27,17781,43
2019-11-28,17357,43
2019-11-29,14958,43
2019-12-02,15710,43
2019-12-03,17602,43
2019-12-04,17771,43
2019-12-05,17408,43
2019-12-06,14933,43
2019-12-09,17210,43
2019-12-10,17276,41
2019-12-11,17234,43
2019-12-12,16436,43
2019-12-13,14335,41
2019-12-16,15456,43
2019-12-17,15811,43
2019-12-18,15019,43
2019-12-19,14602,42
2019-12-20,12937,42
2019-12-23,9865,42
2019-12-24,6055,42
2019-12-27,5263,43
2019-12-30,7893,42
2019-12-31,11066,86
2020-01-02,11017,43
2020-01-03,10285,42
2020-01-06,17186,43
2020-01-07,17307,43
2020-01-08,17110,43
2020-01-09,16959,43
2020-01-10,15675,43
2020-01-13,18029,43
2020-01-14,18427,43
2020-01-15,17891,43
2020-01-16,17880,42
