date,ridership Kitchener KITCHENER GO AM Peak,total_train_trips Kitchener KITCHENER GO AM Peak
2019-01-02,2687,3
2019-01-03,2767,3
2019-01-04,2379,3
2019-01-07,3222,3
2019-01-08,4934,4
2019-01-09,3352,2
2019-01-10,4851,4
2019-01-11,4306,4
2019-01-14,4937,4
2019-01-15,5123,4
2019-01-16,3565,3
2019-01-17,4723,4
2019-01-18,4279,4
2019-01-21,3719,3
2019-01-22,4926,4
2019-01-23,4471,4
2019-01-24,4970,4
2019-01-25,4222,4
2019-01-28,4623,4
2019-01-29,2559,4
2019-01-30,4594,4
2019-01-31,4099,4
2019-02-01,4951,4
2019-02-05,5081,4
2019-02-06,4198,4
2019-02-07,4611,4
2019-02-08,4166,4
2019-02-11,4781,4
2019-02-12,2897,4
2019-02-13,4127,4
2019-02-14,4814,4
2019-02-15,3916,4
2019-02-19,4720,4
2019-02-20,4658,4
2019-02-21,4375,4
2019-02-22,4132,4
2019-02-25,4612,4
2019-02-26,4974,4
2019-02-27,4427,4
2019-02-28,4566,3
2019-03-01,4269,4
2019-03-04,4919,4
2019-03-05,4937,4
2019-03-06,4924,4
2019-03-07,4769,4
2019-03-08,4280,4
2019-03-11,4416,4
2019-03-12,4580,4
2019-03-13,4469,4
2019-03-14,4293,4
2019-03-15,3638,4
2019-03-18,4886,4
2019-03-19,4821,4
2019-03-20,4847,4
2019-03-21,4796,4
2019-03-22,4162,4
2019-03-25,4961,4
2019-03-26,5102,4
2019-03-27,4963,4
2019-03-28,4852,4
2019-03-29,4197,4
2019-04-01,4878,4
2019-04-02,4966,4
2019-04-03,4902,4
2019-04-04,4884,4
2019-04-05,4130,4
2019-04-08,4519,4
2019-04-09,4548,4
2019-04-10,4495,4
2019-04-11,4923,4
2019-04-12,3859,4
2019-04-15,4470,4
2019-04-16,4556,4
2019-04-17,4454,4
2019-04-18,3867,4
2019-04-22,2975,4
2019-04-23,4290,4
2019-04-24,4230,4
2019-04-25,4042,4
2019-04-26,3351,4
2019-04-29,4137,4
2019-04-30,4106,4
2019-05-01,4011,4
2019-05-02,3969,4
2019-05-03,3372,4
2019-05-06,4201,4
2019-05-07,4273,4
2019-05-08,4232,4
2019-05-09,4268,4
2019-05-10,3554,4
2019-05-13,4131,4
2019-05-14,4329,4
2019-05-15,4239,4
2019-05-16,4165,4
2019-05-17,3136,4
2019-05-21,4282,4
2019-05-22,4231,4
2019-05-23,4253,4
2019-05-24,3596,4
2019-05-27,4200,4
2019-05-28,4255,4
2019-05-29,4180,4
2019-05-30,4172,4
2019-05-31,3507,4
2019-06-03,4169,4
2019-06-04,4245,4
2019-06-05,3987,4
2019-06-06,4049,4
2019-06-07,3555,4
2019-06-10,4015,4
2019-06-11,4148,4
2019-06-12,4220,4
2019-06-13,4057,4
2019-06-14,3371,4
2019-06-17,5706,4
2019-06-18,4353,4
2019-06-19,4078,4
2019-06-20,4018,4
2019-06-21,3472,4
2019-06-24,4107,4
2019-06-25,4233,4
2019-06-26,4101,4
2019-06-27,3926,4
2019-06-28,2917,4
2019-07-02,2584,3
2019-07-03,3992,4
2019-07-04,3891,4
2019-07-05,3286,4
2019-07-08,4077,4
2019-07-09,4115,4
2019-07-10,4107,4
2019-07-11,3991,3
2019-07-12,3388,4
2019-07-15,3985,4
2019-07-16,4111,4
2019-07-17,3832,4
2019-07-18,3923,4
2019-07-19,3204,4
2019-07-22,3828,4
2019-07-23,4092,4
2019-07-24,3992,4
2019-07-25,3905,4
2019-07-26,3180,4
