date,ridership Kitchener KITCHENER GO,total_train_trips Kitchener KITCHENER GO
2019-01-02,3221,4
2019-01-03,3365,4
2019-01-04,2879,4
2019-01-07,5139,4
2019-01-08,5747,5
2019-01-09,4123,3
2019-01-10,5585,5
2019-01-11,5009,5
2019-01-14,5746,5
2019-01-15,5956,5
2019-01-16,4505,4
2019-01-17,4723,4
2019-01-18,4960,5
2019-01-21,4435,4
2019-01-22,5768,5
2019-01-23,5305,5
2019-01-24,5765,5
2019-01-25,4991,5
2019-01-28,5317,5
2019-01-29,3047,5
2019-01-30,5436,5
2019-01-31,4852,5
2019-02-01,5616,5
2019-02-05,5850,5
2019-02-06,4859,5
2019-02-07,5399,5
2019-02-08,4841,5
2019-02-11,5614,5
2019-02-12,3188,5
2019-02-13,4862,5
2019-02-14,5668,5
2019-02-15,4628,5
2019-02-19,5533,5
2019-02-20,5405,5
2019-02-21,5184,5
2019-02-22,4806,5
2019-02-25,5312,5
2019-02-26,5787,5
2019-02-27,5069,5
2019-02-28,5406,4
2019-03-01,4990,5
2019-03-04,5695,5
2019-03-05,5727,5
2019-03-06,5710,5
2019-03-07,5500,5
2019-03-08,4974,5
2019-03-11,5161,5
2019-03-12,5348,5
2019-03-13,5220,5
2019-03-14,5073,5
2019-03-15,4316,5
2019-03-18,5706,5
2019-03-19,5688,5
2019-03-20,5628,5
2019-03-21,5616,5
2019-03-22,4910,5
2019-03-25,5819,5
2019-03-26,5933,5
2019-03-27,5743,5
2019-03-28,5696,5
2019-03-29,4916,5
2019-04-01,5708,5
2019-04-02,5848,5
2019-04-03,5697,5
2019-04-04,5692,5
2019-04-05,4896,5
2019-04-08,5223,5
2019-04-09,5220,5
2019-04-10,5152,5
2019-04-11,5576,5
2019-04-12,4450,5
2019-04-15,5122,5
2019-04-16,5201,5
2019-04-17,5110,5
2019-04-18,4488,5
2019-04-22,3425,5
2019-04-23,4909,5
2019-04-24,4784,5
2019-04-25,4620,5
2019-04-26,3842,5
2019-04-29,4722,5
2019-04-30,4680,5
2019-05-01,4611,5
2019-05-02,4559,5
2019-05-03,3880,5
2019-05-06,4832,5
2019-05-07,4886,5
2019-05-08,4813,5
2019-05-09,4891,5
2019-05-10,4111,5
2019-05-13,4790,5
2019-05-14,4946,5
2019-05-15,4850,5
2019-05-16,4774,5
2019-05-17,3585,5
2019-05-21,4916,5
2019-05-22,4799,5
2019-05-23,4856,5
2019-05-24,4132,5
2019-05-27,4850,5
2019-05-28,4904,5
2019-05-29,4820,5
2019-05-30,4777,5
2019-05-31,4072,5
2019-06-03,4784,5
2019-06-04,4854,5
2019-06-05,4583,5
2019-06-06,4708,5
2019-06-07,4079,5
2019-06-10,4669,5
2019-06-11,4817,5
2019-06-12,4910,5
2019-06-13,4753,5
2019-06-14,3935,5
2019-06-17,6829,5
2019-06-18,4979,5
2019-06-19,4716,5
2019-06-20,4679,5
2019-06-21,3996,5
2019-06-24,4752,5
2019-06-25,4869,5
2019-06-26,4724,5
2019-06-27,4388,5
2019-06-28,3382,5
2019-07-02,3236,4
2019-07-03,4578,5
2019-07-04,4501,5
2019-07-05,3770,5
2019-07-08,4712,5
2019-07-09,4731,5
2019-07-10,4778,5
2019-07-11,4620,4
2019-07-12,3938,5
2019-07-15,4644,5
2019-07-16,4757,5
2019-07-17,4496,5
2019-07-18,4593,5
2019-07-19,3726,5
2019-07-20,23,1
2019-07-21,23,1
2019-07-22,4480,5
2019-07-23,4748,5
2019-07-24,4647,5
2019-07-25,4578,5
2019-07-26,3688,5
2019-07-29,4568,5
2019-07-30,4605,5
2019-07-31,4548,5
2019-08-01,4444,5
2019-08-02,3160,5
2019-08-06,4439,5
2019-08-07,4493,5
2019-08-08,4378,5
2019-08-09,3590,5
2019-08-12,4318,5
2019-08-13,4617,5
2019-08-14,4572,5
2019-08-15,4381,5
2019-08-16,3642,5
2019-08-19,4441,5
2019-08-20,4546,5
2019-08-21,4475,5
2019-08-22,4399,5
2019-08-23,3655,5
2019-08-26,4315,5
2019-08-27,4455,5
2019-08-28,4377,5
2019-08-29,4136,5
2019-08-30,3129,5
2019-09-03,5348,8
2019-09-04,5776,8
2019-09-05,5911,8
2019-09-06,4428,8
2019-09-09,5177,5
2019-09-10,6196,8
2019-09-11,5997,8
2019-09-12,6030,8
2019-09-13,5230,8
2019-09-16,5965,8
2019-09-17,6191,8
2019-09-18,6008,8
2019-09-19,6097,8
2019-09-20,5200,8
2019-09-23,6065,7
2019-09-24,6112,8
2019-09-25,5990,7
2019-09-26,5882,8
2019-09-27,5286,8
2019-09-30,5935,8
2019-10-01,5992,8
2019-10-02,5988,8
2019-10-03,6016,8
2019-10-04,5195,8
2019-10-07,5912,8
2019-10-08,5990,7
2019-10-09,6019,8
2019-10-10,6025,8
2019-10-11,4711,8
2019-10-15,5865,8
2019-10-16,5592,8
2019-10-17,5865,8
2019-10-18,4924,8
2019-10-21,5672,8
2019-10-22,27,1
2019-10-23,5817,8
2019-10-24,5801,8
2019-10-25,4964,8
2019-10-28,5749,8
2019-10-29,5825,7
2019-10-30,5927,8
2019-10-31,5571,8
2019-11-01,5007,8
2019-11-04,5872,8
2019-11-05,5965,7
2019-11-06,6011,8
2019-11-07,5843,8
2019-11-08,5023,8
2019-11-11,3783,8
2019-11-12,5789,8
2019-11-13,5728,7
2019-11-14,5880,8
2019-11-15,4964,7
2019-11-18,5684,7
2019-11-19,6019,8
2019-11-20,5911,8
2019-11-21,5825,8
2019-11-22,5096,8
2019-11-25,5894,8
2019-11-26,6045,8
2019-11-27,5872,8
2019-11-28,5639,8
2019-11-29,4838,8
2019-12-02,5213,8
2019-12-03,5783,8
2019-12-04,5788,8
2019-12-05,5712,8
2019-12-06,4704,8
2019-12-09,5705,8
2019-12-10,5700,7
2019-12-11,5609,8
2019-12-12,5510,8
2019-12-13,4471,7
2019-12-16,5203,8
2019-12-17,5248,8
2019-12-18,4989,8
2019-12-19,4806,8
2019-12-20,3649,7
2019-12-23,2680,7
2019-12-24,1871,8
2019-12-27,1609,8
2019-12-30,2487,8
2019-12-31,3590,16
2020-01-02,3542,8
2020-01-03,3237,8
2020-01-06,5844,8
2020-01-07,5746,8
2020-01-08,5765,8
2020-01-09,5654,8
2020-01-10,5059,8
2020-01-13,5976,8
2020-01-14,6146,8
2020-01-15,5910,8
2020-01-16,6453,8
2020-01-17,5113,8
2020-01-20,5700,8
2020-01-21,6013,8
2020-01-22,6070,8
2020-01-23,5961,8
2020-01-24,5192,8
2020-01-27,5858,8
2020-01-28,5871,8
2020-01-29,5767,8
2020-01-30,5711,8
2020-01-31,4889,8
2020-02-03,5898,8
2020-02-04,5781,8
2020-02-05,5897,8
2020-02-06,5195,8
2020-02-07,4816,7
2020-02-10,5864,8
2020-02-11,5731,7
2020-02-12,5866,8
2020-02-13,5706,8
2020-02-14,2501,3
2020-02-18,5688,8
2020-02-19,5553,8
2020-02-20,5538,8
2020-02-21,4562,8
2020-02-24,5780,8
2020-02-25,5882,8
2020-02-26,5168,7
2020-02-27,5241,6
2020-02-28,4823,8
2020-03-02,5860,8
2020-03-03,5911,8
2020-03-04,5752,8
2020-03-05,5686,8
2020-03-06,4926,8
2020-03-09,5426,7
2020-03-10,5426,8
2020-03-11,5225,8
2020-03-12,4760,8
2020-03-13,3423,8
2020-03-16,1614,8
2020-03-17,942,8
2020-03-18,449,3
2020-03-19,345,3
2020-03-20,290,3
2020-03-23,289,3
2020-03-24,207,3
2020-03-25,173,3
2020-03-26,140,3
2020-03-27,138,3
2020-03-30,148,3
2020-03-31,133,3
2020-04-01,126,3
2020-04-02,127,3
2020-04-03,115,3
2020-04-06,112,3
2020-04-07,114,3
2020-04-08,102,3
2020-04-09,107,3
2020-04-13,78,3
2020-04-14,115,3
2020-04-15,112,3
2020-04-16,113,3
2020-04-17,103,3
2020-04-20,123,3
2020-04-21,100,3
2020-04-22,108,3
2020-04-23,142,3
2020-04-24,103,3
2020-04-27,125,3
2020-04-28,130,3
2020-04-29,98,3
2020-04-30,115,3
2020-05-01,102,3
2020-05-04,123,3
2020-05-05,112,3
2020-05-06,119,3
2020-05-07,108,3
2020-05-08,99,3
2020-05-11,114,3
2020-05-12,109,3
2020-05-13,118,3
2020-05-14,108,3
2020-05-15,95,3
2020-05-19,132,3
2020-05-20,121,3
2020-05-21,119,3
2020-05-22,119,3
2020-05-25,134,3
2020-05-26,125,3
2020-05-27,134,3
2020-05-28,124,3
2020-05-29,115,3
2020-06-01,147,3
2020-06-02,150,3
2020-06-03,132,3
2020-06-04,147,3
2020-06-05,116,3
2020-06-08,158,3
2020-06-09,148,3
2020-06-10,139,3
2020-06-11,129,3
2020-06-12,117,3
2020-06-15,130,3
2020-06-16,117,3
2020-06-17,122,3
2020-06-18,118,3
2020-06-19,103,3
2020-06-22,135,3
2020-06-23,119,3
2020-06-24,142,3
2020-06-25,131,3
2020-06-26,133,3
2020-06-29,140,3
2020-06-30,144,3
2020-07-02,149,3
2020-07-03,125,3
2020-07-06,190,3
2020-07-07,171,3
2020-07-08,167,3
2020-07-09,172,3
2020-07-10,149,3
2020-07-13,183,3
2020-07-14,160,3
2020-07-15,175,3
2020-07-16,153,3
2020-07-17,136,3
2020-07-20,195,3
2020-07-21,199,3
2020-07-22,176,3
2020-07-23,169,3
2020-07-24,161,3
2020-07-27,183,3
2020-07-28,189,3
2020-07-29,189,3
2020-07-30,193,3
2020-07-31,164,3
2020-08-04,213,3
2020-08-05,209,3
2020-08-06,193,3
2020-08-07,205,3
2020-08-10,225,3
2020-08-11,220,3
2020-08-12,346,3
2020-08-13,369,3
2020-08-14,302,3
2020-08-17,350,3
2020-08-18,356,3
2020-08-19,357,3
2020-08-20,371,3
2020-08-21,326,3
2020-08-24,370,3
2020-08-25,375,3
2020-08-26,380,3
2020-08-27,386,3
2020-08-28,338,3
2020-08-31,402,3
2020-09-01,412,3
2020-09-02,385,3
2020-09-03,372,3
2020-09-04,335,3
2020-09-08,396,4
2020-09-09,411,4
2020-09-10,410,4
2020-09-11,366,4
2020-09-14,407,4
2020-09-15,414,4
2020-09-16,402,4
2020-09-17,451,4
2020-09-18,391,4
2020-09-21,427,4
2020-09-22,427,4
2020-09-23,412,4
2020-09-24,431,4
2020-09-25,355,3
2020-09-28,426,4
2020-09-29,386,3
2020-09-30,398,4
2020-10-01,403,4
2020-10-02,357,4
2020-10-05,413,4
2020-10-06,384,4
2020-10-07,357,4
2020-10-08,391,4
2020-10-09,344,4
2020-10-13,420,4
2020-10-14,365,4
2020-10-15,386,4
2020-10-16,354,4
2020-10-19,383,4
2020-10-20,406,4
2020-10-21,363,4
2020-10-22,368,4
2020-10-23,333,4
2020-10-26,402,4
2020-10-27,399,4
2020-10-28,358,4
2020-10-29,396,4
2020-10-30,353,4
2020-11-02,401,4
2020-11-03,387,4
2020-11-04,401,4
2020-11-05,397,4
