date,ridership Kitchener MOUNT PLEASANT GO,total_train_trips Kitchener MOUNT PLEASANT GO
2019-01-02,1280,9
2019-01-03,1581,9
2019-01-04,1353,9
2019-01-07,1542,9
2019-01-08,1572,9
2019-01-09,1618,9
2019-01-10,1542,9
2019-01-11,1634,9
2019-01-14,1840,9
2019-01-15,1759,9
2019-01-16,1918,9
2019-01-17,2612,9
2019-01-18,1721,9
2019-01-21,1710,9
2019-01-22,1775,9
2019-01-23,1945,9
2019-01-24,1892,9
2019-01-25,1667,9
2019-01-28,1722,9
2019-01-29,1524,9
2019-01-30,1915,9
2019-01-31,1366,7
2019-02-01,1638,9
2019-02-04,3892,9
2019-02-05,1803,9
2019-02-06,1517,9
2019-02-07,1877,9
2019-02-08,1616,9
2019-02-11,1835,9
2019-02-12,875,9
2019-02-13,1800,9
2019-02-14,1890,9
2019-02-15,1748,9
2019-02-19,1645,9
2019-02-20,1586,9
2019-02-21,1682,9
2019-02-22,1585,9
2019-02-25,1610,8
2019-02-26,1734,9
2019-02-27,1320,8
2019-02-28,1938,9
2019-03-01,1715,9
2019-03-04,1714,8
2019-03-05,1755,9
2019-03-06,1740,9
2019-03-07,1863,9
2019-03-08,1721,9
2019-03-11,2012,9
2019-03-12,1951,9
2019-03-13,1840,8
2019-03-14,2056,9
2019-03-15,1963,9
2019-03-18,1855,9
2019-03-19,1886,9
2019-03-20,1981,9
2019-03-21,1672,6
2019-03-22,1756,9
2019-03-25,1886,9
2019-03-26,1835,8
2019-03-27,1928,9
2019-03-28,2136,9
2019-03-29,1788,8
2019-04-01,1895,9
2019-04-02,1858,9
2019-04-03,1904,9
2019-04-04,1914,9
2019-04-05,1720,9
2019-04-08,1785,9
2019-04-09,1744,9
2019-04-10,1782,9
2019-04-11,1763,9
2019-04-12,1651,9
2019-04-15,1734,9
2019-04-16,1676,9
2019-04-17,1897,9
2019-04-18,1828,9
2019-04-22,1252,9
2019-04-23,1466,9
2019-04-24,1597,9
2019-04-25,1456,9
2019-04-26,1504,9
2019-04-29,1287,9
2019-04-30,1331,9
2019-05-01,1246,9
2019-05-02,1325,9
2019-05-03,1216,9
2019-05-06,1292,9
2019-05-07,1406,9
2019-05-08,1360,9
2019-05-09,1314,9
2019-05-10,1253,8
2019-05-13,1301,9
2019-05-14,1417,9
2019-05-15,1362,9
2019-05-16,1427,9
2019-05-17,1253,9
2019-05-21,1428,9
2019-05-22,1421,9
2019-05-23,1180,6
2019-05-24,1303,9
2019-05-27,1330,9
2019-05-28,1435,9
2019-05-29,1401,9
2019-05-30,1507,9
2019-05-31,1311,9
2019-06-02,37,1
2019-06-03,1357,9
2019-06-04,1360,9
2019-06-05,1409,9
2019-06-06,1549,9
2019-06-07,1385,9
2019-06-10,1725,9
2019-06-11,1478,9
2019-06-12,1473,9
2019-06-13,1509,9
2019-06-14,1407,9
2019-06-17,3788,9
2019-06-18,1498,9
2019-06-19,1498,9
2019-06-20,1460,9
2019-06-21,1373,9
2019-06-24,1355,9
2019-06-25,1449,9
2019-06-26,1539,9
2019-06-27,1552,9
2019-06-28,1349,9
2019-07-02,1384,9
2019-07-03,1494,9
2019-07-04,1476,9
2019-07-05,1367,9
2019-07-08,1427,9
2019-07-09,1364,9
2019-07-10,1495,9
2019-07-11,1494,9
2019-07-12,1422,9
2019-07-15,1405,9
2019-07-16,1440,9
2019-07-17,1455,9
2019-07-18,1476,9
2019-07-19,1318,9
2019-07-22,1438,9
2019-07-23,1524,9
2019-07-24,1553,9
2019-07-25,1506,9
2019-07-26,1578,9
2019-07-29,1382,9
2019-07-30,1435,9
2019-07-31,1548,9
2019-08-01,1577,9
2019-08-02,1348,9
2019-08-06,1137,6
2019-08-07,1496,9
2019-08-08,1535,9
2019-08-09,1435,9
2019-08-12,1435,8
2019-08-13,1555,9
2019-08-14,1697,9
2019-08-15,1503,9
2019-08-16,1679,9
2019-08-19,1518,9
2019-08-20,1624,9
2019-08-21,1550,9
2019-08-22,1688,9
2019-08-23,1759,9
2019-08-26,1658,9
2019-08-27,1510,9
2019-08-28,1787,9
2019-08-29,1659,9
2019-08-30,1755,9
2019-09-03,1296,9
2019-09-04,1252,9
2019-09-05,1320,9
2019-09-06,1323,9
2019-09-09,1342,9
2019-09-10,1319,9
2019-09-11,1340,9
2019-09-12,1340,9
2019-09-13,1156,9
2019-09-16,1227,9
2019-09-17,1293,9
2019-09-18,1298,9
2019-09-19,1370,9
2019-09-20,1254,9
2019-09-23,1264,9
2019-09-24,1335,8
2019-09-25,1396,9
2019-09-26,1401,9
2019-09-27,1345,9
2019-09-30,1264,9
2019-10-01,1265,9
2019-10-02,1322,9
2019-10-03,1314,9
2019-10-04,1180,9
2019-10-07,1259,9
2019-10-08,1281,8
2019-10-09,1290,9
2019-10-10,1364,9
2019-10-11,1231,9
2019-10-15,1204,9
2019-10-16,1097,9
2019-10-17,1144,9
2019-10-18,1076,9
2019-10-21,1258,9
2019-10-22,3005,9
2019-10-23,1211,9
2019-10-24,1272,9
2019-10-25,1229,9
2019-10-28,1297,9
2019-10-29,1299,9
2019-10-30,1308,9
2019-10-31,1214,9
2019-11-01,1132,9
2019-11-04,1221,9
2019-11-05,1227,9
2019-11-06,1231,9
2019-11-07,1304,9
2019-11-08,1199,9
2019-11-11,1084,9
2019-11-12,1290,9
2019-11-13,1215,9
2019-11-14,1305,9
2019-11-15,1203,9
2019-11-18,1269,9
2019-11-19,1225,9
2019-11-20,1253,9
2019-11-21,1287,9
2019-11-22,1164,9
2019-11-25,1233,9
2019-11-26,1225,9
2019-11-27,1233,9
2019-11-28,1254,9
2019-11-29,1168,9
2019-12-02,1187,9
2019-12-03,1220,9
2019-12-04,1208,9
2019-12-05,1232,9
2019-12-06,1264,9
2019-12-09,1168,9
2019-12-10,1243,9
2019-12-11,1232,9
2019-12-12,1167,9
2019-12-13,1125,9
2019-12-16,914,9
2019-12-17,1031,9
2019-12-18,1012,9
2019-12-19,1056,9
2019-12-20,1506,9
2019-12-23,898,8
2019-12-24,587,9
2019-12-27,715,9
2019-12-30,960,9
2019-12-31,1395,18
2020-01-02,885,9
2020-01-03,746,8
2020-01-06,1003,9
2020-01-07,1058,9
2020-01-08,1023,9
2020-01-09,1014,9
2020-01-10,1076,9
2020-01-13,1244,9
2020-01-14,1211,9
2020-01-15,1198,9
2020-01-16,1240,9
2020-01-17,1107,9
2020-01-20,1208,9
2020-01-21,1148,9
2020-01-22,1256,9
2020-01-23,1291,9
2020-01-24,1138,9
2020-01-27,1198,9
2020-01-28,1163,9
2020-01-29,1161,9
2020-01-30,1178,9
2020-01-31,1095,9
2020-02-03,1154,8
2020-02-04,1202,9
2020-02-05,1211,9
2020-02-06,1156,9
2020-02-07,1063,8
2020-02-10,1186,9
2020-02-11,1157,9
2020-02-12,1190,9
2020-02-13,1185,9
2020-02-14,1742,7
2020-02-18,994,9
2020-02-19,1050,9
2020-02-20,1017,9
2020-02-21,1177,9
2020-02-24,1107,9
2020-02-25,1115,9
2020-02-26,1065,8
2020-02-27,1006,8
2020-02-28,1054,9
2020-03-02,1163,9
2020-03-03,1125,9
2020-03-04,1187,9
2020-03-05,1174,9
2020-03-06,1064,9
2020-03-09,1129,7
2020-03-10,1115,9
2020-03-11,1086,9
2020-03-12,1052,9
2020-03-13,757,9
2020-03-16,363,9
2020-03-17,278,9
2020-03-18,288,12
2020-03-19,266,12
2020-03-20,217,12
2020-03-23,130,12
2020-03-24,109,12
2020-03-25,96,12
2020-03-26,97,11
2020-03-27,101,12
2020-03-30,85,12
2020-03-31,89,12
2020-04-01,83,12
2020-04-02,67,12
2020-04-03,86,12
2020-04-06,73,12
2020-04-07,64,11
2020-04-08,101,12
2020-04-09,94,11
2020-04-13,55,9
2020-04-14,80,11
2020-04-15,82,12
2020-04-16,87,12
2020-04-17,67,12
2020-04-20,73,12
2020-04-21,82,12
2020-04-22,71,12
2020-04-23,42,11
2020-04-24,86,12
2020-04-27,76,12
2020-04-28,51,11
2020-04-29,71,11
2020-04-30,78,12
2020-05-01,76,12
2020-05-04,97,12
2020-05-05,99,12
2020-05-06,91,10
2020-05-07,92,12
2020-05-08,90,12
2020-05-11,77,12
