date,ridership Kitchener MOUNT PLEASANT GO Midday,total_train_trips Kitchener MOUNT PLEASANT GO Midday
2019-01-02,899,6
2019-01-03,1195,6
2019-01-04,966,6
2019-01-07,1104,6
2019-01-08,1107,6
2019-01-09,1174,6
2019-01-10,1119,6
2019-01-11,1188,6
2019-01-14,1352,6
2019-01-15,1307,6
2019-01-16,1460,6
2019-01-17,2138,6
2019-01-18,1302,6
2019-01-21,1327,6
2019-01-22,1318,6
2019-01-23,1512,6
2019-01-24,1436,6
2019-01-25,1212,6
2019-01-28,1315,6
2019-01-29,1211,6
2019-01-30,1475,6
2019-01-31,1265,5
2019-02-01,1193,6
2019-02-04,3404,6
2019-02-05,1304,6
2019-02-06,1067,6
2019-02-07,1401,6
2019-02-08,1156,6
2019-02-11,1359,6
2019-02-12,522,6
2019-02-13,1397,6
2019-02-14,1403,6
2019-02-15,1276,6
2019-02-19,1180,6
2019-02-20,1110,6
2019-02-21,1191,6
2019-02-22,1087,6
2019-02-25,1150,5
2019-02-26,1230,6
2019-02-27,1184,6
2019-02-28,1452,6
2019-03-01,1241,6
2019-03-04,1325,6
2019-03-05,1282,6
2019-03-06,1274,6
2019-03-07,1329,6
2019-03-08,1245,6
2019-03-11,1540,6
2019-03-12,1462,6
2019-03-13,1381,6
2019-03-14,1582,6
2019-03-15,1488,6
2019-03-18,1361,6
2019-03-19,1405,6
2019-03-20,1474,6
2019-03-21,1315,5
2019-03-22,1276,6
2019-03-25,1384,6
2019-03-26,1367,6
2019-03-27,1428,6
2019-03-28,1620,6
2019-03-29,1281,6
2019-04-01,1391,6
2019-04-02,1348,6
2019-04-03,1401,6
2019-04-04,1387,6
2019-04-05,1280,6
2019-04-08,1314,6
2019-04-09,1273,6
2019-04-10,1295,6
2019-04-11,1242,6
2019-04-12,1180,6
2019-04-15,1248,6
2019-04-16,1191,6
2019-04-17,1316,6
2019-04-18,1308,6
2019-04-22,894,6
2019-04-23,981,6
2019-04-24,1154,6
2019-04-25,1038,6
2019-04-26,1038,6
2019-04-29,854,6
2019-04-30,915,6
2019-05-01,841,6
2019-05-02,882,6
2019-05-03,844,6
2019-05-06,862,6
2019-05-07,890,6
2019-05-08,885,6
2019-05-09,853,6
2019-05-10,840,6
2019-05-13,883,6
2019-05-14,955,6
2019-05-15,879,6
2019-05-16,959,6
2019-05-17,835,6
2019-05-21,939,6
2019-05-22,945,6
2019-05-23,720,3
2019-05-24,890,6
2019-05-27,895,6
2019-05-28,943,6
2019-05-29,933,6
2019-05-30,983,6
2019-05-31,920,6
2019-06-03,901,6
2019-06-04,906,6
2019-06-05,926,6
2019-06-06,1048,6
2019-06-07,933,6
2019-06-10,1058,6
2019-06-11,1011,6
2019-06-12,1023,6
2019-06-13,1020,6
2019-06-14,985,6
2019-06-17,3093,6
2019-06-18,994,6
2019-06-19,989,6
2019-06-20,972,6
2019-06-21,934,6
2019-06-24,912,6
2019-06-25,968,6
2019-06-26,1044,6
2019-06-27,1078,6
2019-06-28,915,6
2019-07-02,943,6
2019-07-03,1013,6
2019-07-04,976,6
2019-07-05,946,6
2019-07-08,963,6
2019-07-09,910,6
2019-07-10,1030,6
2019-07-11,1036,6
2019-07-12,994,6
2019-07-15,961,6
2019-07-16,1002,6
2019-07-17,987,6
2019-07-18,1002,6
2019-07-19,920,6
2019-07-22,989,6
2019-07-23,1019,6
2019-07-24,1047,6
2019-07-25,1030,6
2019-07-26,1056,6
2019-07-29,947,6
2019-07-30,983,6
2019-07-31,1097,6
2019-08-01,1123,6
2019-08-02,967,6
2019-08-06,880,5
2019-08-07,1028,6
2019-08-08,1062,6
2019-08-09,995,6
2019-08-12,966,5
2019-08-13,1045,6
2019-08-14,1254,6
2019-08-15,1062,6
2019-08-16,1197,6
2019-08-19,1063,6
2019-08-20,1147,6
2019-08-21,1108,6
2019-08-22,1245,6
2019-08-23,1286,6
2019-08-26,1199,6
2019-08-27,1065,6
2019-08-28,1263,6
2019-08-29,1192,6
2019-08-30,1231,6
2019-09-03,922,5
2019-09-04,837,5
2019-09-05,893,5
2019-09-06,898,5
2019-09-09,935,5
2019-09-10,864,5
2019-09-11,932,5
2019-09-12,893,5
2019-09-13,746,5
2019-09-16,837,5
2019-09-17,881,5
2019-09-18,885,5
2019-09-19,911,5
2019-09-20,823,5
2019-09-23,834,5
2019-09-24,908,4
2019-09-25,930,5
2019-09-26,953,5
2019-09-27,919,5
2019-09-30,838,5
2019-10-01,822,5
2019-10-02,895,5
2019-10-03,879,5
2019-10-04,746,5
2019-10-07,834,5
2019-10-08,773,4
2019-10-09,869,5
2019-10-10,930,5
2019-10-11,817,5
2019-10-15,766,5
2019-10-16,707,5
2019-10-17,717,5
2019-10-18,690,5
2019-10-21,834,5
2019-10-22,2581,5
2019-10-23,803,5
2019-10-24,852,5
2019-10-25,795,5
2019-10-28,871,5
2019-10-29,873,5
2019-10-30,873,5
2019-10-31,799,5
2019-11-01,727,5
2019-11-04,797,5
2019-11-05,786,5
2019-11-06,811,5
2019-11-07,868,5
2019-11-08,774,5
2019-11-11,755,5
2019-11-12,890,5
2019-11-13,799,5
2019-11-14,874,5
2019-11-15,786,5
2019-11-18,843,5
2019-11-19,801,5
2019-11-20,823,5
2019-11-21,845,5
2019-11-22,747,5
2019-11-25,795,5
2019-11-26,812,5
2019-11-27,813,5
2019-11-28,836,5
2019-11-29,759,5
2019-12-02,850,5
2019-12-03,791,5
2019-12-04,768,5
2019-12-05,778,5
2019-12-06,819,5
2019-12-09,736,5
2019-12-10,793,5
2019-12-11,780,5
2019-12-12,725,5
2019-12-13,694,5
2019-12-16,518,5
2019-12-17,603,5
2019-12-18,598,5
2019-12-19,631,5
2019-12-20,1067,5
2019-12-23,582,4
2019-12-24,372,5
2019-12-27,510,5
2019-12-30,691,5
2019-12-31,911,10
2020-01-02,569,5
2020-01-03,603,5
2020-01-06,591,5
2020-01-07,626,5
2020-01-08,617,5
2020-01-09,603,5
2020-01-10,665,5
2020-01-13,829,5
2020-01-14,776,5
2020-01-15,775,5
2020-01-16,813,5
2020-01-17,693,5
2020-01-20,830,5
2020-01-21,733,5
2020-01-22,820,5
2020-01-23,860,5
2020-01-24,714,5
2020-01-27,772,5
2020-01-28,751,5
2020-01-29,747,5
2020-01-30,743,5
2020-01-31,679,5
2020-02-03,743,4
2020-02-04,761,5
2020-02-05,746,5
2020-02-06,741,5
2020-02-07,655,4
2020-02-10,790,5
2020-02-11,732,5
2020-02-12,775,5
2020-02-13,786,5
2020-02-14,1578,4
2020-02-18,627,5
2020-02-19,606,5
2020-02-20,593,5
2020-02-21,732,5
2020-02-24,692,5
2020-02-25,695,5
2020-02-26,660,5
2020-02-27,655,5
2020-02-28,647,5
2020-03-02,741,5
2020-03-03,703,5
2020-03-04,750,5
2020-03-05,746,5
2020-03-06,655,5
2020-03-09,778,5
2020-03-10,703,5
2020-03-11,689,5
2020-03-12,681,5
2020-03-13,451,5
2020-03-16,159,5
2020-03-17,128,5
2020-03-18,132,6
2020-03-19,129,6
2020-03-20,96,6
2020-03-23,56,6
2020-03-24,48,6
2020-03-25,41,6
2020-03-26,45,6
2020-03-27,48,6
2020-03-30,41,6
2020-03-31,36,6
2020-04-01,37,6
2020-04-02,27,6
2020-04-03,39,6
2020-04-06,28,6
2020-04-07,32,6
2020-04-08,34,6
2020-04-09,29,6
2020-04-13,18,5
2020-04-14,28,6
2020-04-15,29,6
2020-04-16,33,6
2020-04-17,27,6
2020-04-20,26,6
2020-04-21,30,6
2020-04-22,26,6
2020-04-23,30,6
2020-04-24,28,6
2020-04-27,23,6
2020-04-28,29,6
2020-04-29,28,5
2020-04-30,27,6
2020-05-01,27,6
2020-05-04,33,6
2020-05-05,38,6
2020-05-06,33,6
2020-05-07,34,6
2020-05-08,35,6
2020-05-11,28,6
2020-05-12,33,5
2020-05-13,35,6
2020-05-14,37,6
2020-05-15,37,6
2020-05-19,41,6
2020-05-20,43,6
2020-05-21,48,6
2020-05-22,58,6
2020-05-25,45,6
2020-05-26,50,6
2020-05-27,58,6
2020-05-28,40,6
2020-05-29,52,6
2020-06-01,50,6
2020-06-02,48,6
2020-06-03,56,6
2020-06-04,73,6
2020-06-05,80,6
2020-06-08,67,6
2020-06-09,71,6
2020-06-10,68,6
2020-06-11,73,6
2020-06-12,73,6
2020-06-15,74,6
2020-06-16,65,6
2020-06-17,66,6
2020-06-18,71,6
2020-06-19,86,6
2020-06-22,77,6
2020-06-23,68,6
2020-06-24,99,6
2020-06-25,76,6
2020-06-26,108,6
2020-06-29,109,6
2020-06-30,116,6
2020-07-02,112,6
2020-07-03,137,6
2020-07-06,112,6
2020-07-07,121,6
2020-07-08,103,6
2020-07-09,108,6
2020-07-10,134,6
2020-07-13,131,6
2020-07-14,131,6
2020-07-15,148,6
2020-07-16,113,6
2020-07-17,141,6
2020-07-20,134,6
2020-07-21,154,6
2020-07-22,131,6
2020-07-23,119,4
2020-07-24,167,6
2020-07-27,141,6
2020-07-28,143,6
2020-07-29,132,6
2020-07-30,163,6
2020-07-31,183,6
2020-08-04,156,6
2020-08-05,188,6
2020-08-06,187,6
2020-08-07,231,6
2020-08-10,168,6
2020-08-11,167,6
2020-08-12,233,6
2020-08-13,238,6
2020-08-14,257,6
2020-08-17,203,6
2020-08-18,264,6
2020-08-19,256,6
2020-08-20,261,6
2020-08-21,246,6
2020-08-24,233,6
2020-08-25,226,6
2020-08-26,269,6
2020-08-27,227,6
2020-08-28,283,6
2020-08-31,245,6
2020-09-01,264,6
2020-09-02,243,6
2020-09-03,321,6
2020-09-04,302,6
2020-09-08,187,5
2020-09-09,190,5
2020-09-10,178,4
2020-09-11,213,5
2020-09-14,172,5
2020-09-15,185,5
2020-09-16,199,5
2020-09-17,190,5
2020-09-18,212,5
2020-09-21,163,5
2020-09-22,158,5
2020-09-23,179,5
2020-09-24,169,5
2020-09-25,217,5
2020-09-28,177,5
2020-09-29,147,5
2020-09-30,179,5
2020-10-01,189,5
2020-10-02,180,5
2020-10-05,156,5
2020-10-06,157,5
2020-10-07,156,5
2020-10-08,173,5
2020-10-09,199,5
2020-10-13,161,5
2020-10-14,157,5
2020-10-15,136,5
2020-10-16,182,5
2020-10-19,126,5
2020-10-20,141,5
2020-10-21,138,5
2020-10-22,138,5
2020-10-23,167,5
2020-10-26,145,5
2020-10-27,145,5
2020-10-28,163,5
2020-10-29,147,5
2020-10-30,174,5
2020-11-02,140,5
2020-11-03,128,5
2020-11-04,167,5
2020-11-05,154,5
2020-11-06,180,5
2020-11-09,158,5
2020-11-10,169,5
2020-11-11,177,5
2020-11-12,161,5
2020-11-13,173,5
2020-11-16,138,5
2020-11-17,130,5
2020-11-18,137,5
2020-11-19,147,5
2020-11-20,164,5
2020-11-23,118,5
2020-11-24,118,5
2020-11-25,93,5
2020-11-26,124,5
2020-11-27,109,5
2020-11-30,97,5
2020-12-01,93,5
2020-12-02,115,5
2020-12-03,113,5
2020-12-04,123,5
2020-12-07,103,5
2020-12-08,94,5
2020-12-09,111,5
2020-12-10,95,5
2020-12-11,113,5
2020-12-14,95,5
2020-12-15,103,5
2020-12-16,94,5
2020-12-17,113,5
2020-12-18,113,5
2020-12-21,106,5
2020-12-22,123,5
2020-12-23,122,5
2020-12-24,104,5
2020-12-29,101,5
2020-12-30,93,5
2020-12-31,106,5
2021-01-04,86,5
2021-01-05,84,5
2021-01-06,95,5
2021-01-07,115,5
2021-01-08,84,5
2021-01-11,95,5
2021-01-12,87,5
2021-01-13,114,5
2021-01-14,97,5
2021-01-15,91,5
2021-01-18,72,5
2021-01-19,87,5
2021-01-20,83,5
2021-01-21,89,5
2021-01-22,91,5
2021-01-25,90,5
2021-01-26,89,5
2021-01-27,94,5
2021-01-28,79,5
2021-01-29,91,5
2021-02-01,83,5
2021-02-02,91,5
2021-02-03,90,5
2021-02-04,74,5
2021-02-05,99,5
2021-02-08,85,5
2021-02-09,86,5
2021-02-10,97,5
2021-02-11,90,5
2021-02-12,108,5
2021-02-16,87,5
2021-02-17,106,5
2021-02-18,85,5
2021-02-19,95,5
2021-02-22,86,5
2021-02-23,72,5
2021-02-24,92,5
2021-02-25,101,5
2021-02-26,110,5
2021-03-01,86,5
2021-03-02,95,5
2021-03-03,91,5
2021-03-04,102,5
2021-03-05,100,5
2021-03-08,107,5
2021-03-09,110,5
2021-03-10,114,5
2021-03-11,103,5
2021-03-12,132,5
2021-03-15,95,5
2021-03-16,108,5
2021-03-17,116,5
2021-03-18,111,5
2021-03-19,141,5
2021-03-22,131,5
2021-03-23,114,5
2021-03-24,104,5
2021-03-25,121,5
2021-03-26,116,5
2021-03-29,115,5
