date,ridership Kitchener UNION STATION,total_train_trips Kitchener UNION STATION
2019-01-02,6020,14
2019-01-03,6412,14
2019-01-04,5651,14
2019-01-07,8285,14
2019-01-08,8294,14
2019-01-09,8083,14
2019-01-10,8073,14
2019-01-11,6004,12
2019-01-14,8499,14
2019-01-15,8639,14
2019-01-16,8423,14
2019-01-17,8296,14
2019-01-18,7536,14
2019-01-21,7315,14
2019-01-22,8436,14
2019-01-23,7996,14
2019-01-24,8365,14
2019-01-25,7646,14
2019-01-28,8378,14
2019-01-29,4927,14
2019-01-30,8145,14
2019-01-31,7131,14
2019-02-01,7268,14
2019-02-04,7358,14
2019-02-05,8511,14
2019-02-06,7264,14
2019-02-07,8155,14
2019-02-08,7380,14
2019-02-11,8206,14
2019-02-12,4825,14
2019-02-13,7387,15
2019-02-14,8373,15
2019-02-15,7171,15
2019-02-19,8035,15
2019-02-20,7986,15
2019-02-21,7684,15
2019-02-22,7094,15
2019-02-25,7440,14
2019-02-26,8341,15
2019-02-27,7699,15
2019-02-28,4733,12
2019-03-01,7430,15
2019-03-04,8165,12
2019-03-05,8265,15
2019-03-06,8186,15
2019-03-07,8131,15
2019-03-08,7568,15
2019-03-11,7798,15
2019-03-12,7994,15
2019-03-13,7706,13
2019-03-14,7673,15
2019-03-15,6893,15
2019-03-18,8279,13
2019-03-19,8435,15
2019-03-20,8273,15
2019-03-21,8211,13
2019-03-22,7354,15
2019-03-25,8381,15
2019-03-26,8489,15
2019-03-27,8347,15
2019-03-28,8163,15
2019-03-29,7351,14
2019-04-01,8281,15
2019-04-02,8415,15
2019-04-03,8226,15
2019-04-04,8167,15
2019-04-05,7406,15
2019-04-08,8292,15
2019-04-09,8276,15
2019-04-10,8162,15
2019-04-11,8085,15
2019-04-12,7210,15
2019-04-15,8118,15
2019-04-16,8213,15
2019-04-17,8084,15
2019-04-18,7713,15
2019-04-22,5161,15
2019-04-23,7285,15
2019-04-24,7190,15
2019-04-25,6974,15
2019-04-26,6137,15
2019-04-29,6967,15
2019-04-30,7042,15
2019-05-01,6791,15
2019-05-02,6868,15
2019-05-03,6029,15
2019-05-06,7121,15
2019-05-07,7252,15
2019-05-08,7189,15
2019-05-09,7134,15
2019-05-10,6445,15
2019-05-13,7152,15
2019-05-14,7432,15
2019-05-15,7289,15
2019-05-16,7256,15
