date,ridership Kitchener UNION STATION Midday,total_train_trips Kitchener UNION STATION Midday
2019-01-02,380,6
2019-01-03,423,6
2019-01-04,469,6
2019-01-07,560,6
2019-01-08,484,6
2019-01-09,543,6
2019-01-10,543,6
2019-01-11,739,6
2019-01-14,623,6
2019-01-15,650,6
2019-01-16,674,6
2019-01-17,623,6
2019-01-18,747,6
2019-01-21,580,6
2019-01-22,631,6
2019-01-23,641,6
2019-01-24,659,6
2019-01-25,778,6
2019-01-28,1444,6
2019-01-29,463,6
2019-01-30,625,6
2019-01-31,533,6
2019-02-01,696,6
2019-02-04,550,6
2019-02-05,651,6
2019-02-06,1224,6
2019-02-07,659,6
2019-02-08,720,6
2019-02-11,592,6
2019-02-12,1527,6
2019-02-13,600,6
2019-02-14,698,6
2019-02-15,930,6
2019-02-19,503,6
2019-02-20,515,6
2019-02-21,513,6
2019-02-22,609,6
2019-02-25,495,5
2019-02-26,648,6
2019-02-27,1111,6
2019-02-28,624,6
2019-03-01,697,6
2019-03-04,405,5
2019-03-05,666,6
2019-03-06,659,6
2019-03-07,640,6
2019-03-08,749,6
2019-03-11,586,6
2019-03-12,646,6
2019-03-13,604,4
2019-03-14,688,6
2019-03-15,768,6
2019-03-18,632,6
2019-03-19,613,6
2019-03-20,637,6
2019-03-21,270,4
2019-03-22,742,6
2019-03-25,660,6
2019-03-26,655,6
2019-03-27,666,6
2019-03-28,657,6
2019-03-29,762,5
2019-04-01,595,6
2019-04-02,639,6
2019-04-03,651,6
2019-04-04,623,6
2019-04-05,737,6
2019-04-08,603,6
2019-04-09,615,6
2019-04-10,616,6
2019-04-11,690,6
2019-04-12,675,6
2019-04-15,648,6
2019-04-16,646,6
2019-04-17,659,6
2019-04-18,903,6
2019-04-22,471,6
2019-04-23,549,6
2019-04-24,554,6
2019-04-25,481,6
2019-04-26,555,6
2019-04-29,417,6
2019-04-30,418,6
2019-05-01,429,6
2019-05-02,401,6
2019-05-03,483,6
2019-05-06,427,6
2019-05-07,439,6
2019-05-08,435,6
2019-05-09,462,6
2019-05-10,534,6
2019-05-13,429,6
2019-05-14,424,6
2019-05-15,473,6
2019-05-16,486,6
2019-05-17,879,6
2019-05-21,453,6
2019-05-22,453,6
2019-05-23,446,4
2019-05-24,569,6
2019-05-27,415,6
2019-05-28,444,6
2019-05-29,469,6
2019-05-30,448,6
2019-05-31,599,6
2019-06-03,456,6
2019-06-04,501,6
2019-06-05,460,6
2019-06-06,493,6
2019-06-07,642,6
2019-06-10,445,6
2019-06-11,496,6
2019-06-12,467,6
2019-06-13,524,6
2019-06-14,672,6
2019-06-17,1845,6
2019-06-18,469,6
2019-06-19,464,6
2019-06-20,469,6
2019-06-21,614,6
2019-06-24,464,6
2019-06-25,474,6
2019-06-26,481,6
2019-06-27,464,6
2019-06-28,1038,6
2019-07-02,441,6
2019-07-03,427,6
2019-07-04,471,6
2019-07-05,595,6
2019-07-08,410,6
2019-07-09,458,6
2019-07-10,451,6
2019-07-11,497,6
2019-07-12,657,6
2019-07-15,431,6
2019-07-16,443,6
2019-07-17,434,6
2019-07-18,460,6
2019-07-19,637,6
2019-07-22,402,6
2019-07-23,468,6
2019-07-24,460,6
2019-07-25,502,6
2019-07-26,624,6
2019-07-29,447,6
2019-07-30,460,6
2019-07-31,483,6
2019-08-01,499,6
2019-08-02,968,6
