date,ridership Kitchener UNION STATION PM Peak,total_train_trips Kitchener UNION STATION PM Peak
2019-01-02,5130,6
2019-01-03,5378,6
2019-01-04,4689,6
2019-01-07,6020,5
2019-01-08,6026,5
2019-01-09,5762,5
2019-01-10,5782,5
2019-01-11,5197,5
2019-01-14,6014,5
2019-01-15,6114,5
2019-01-16,5818,5
2019-01-17,5805,5
2019-01-18,5235,5
2019-01-21,4956,5
2019-01-22,5835,5
2019-01-23,5438,5
2019-01-24,5761,5
2019-01-25,5225,5
2019-01-28,5809,5
2019-01-29,3237,5
2019-01-30,5579,5
2019-01-31,4827,5
2019-02-01,5004,5
2019-02-04,5029,5
2019-02-05,5935,5
2019-02-06,4691,5
2019-02-07,5607,5
2019-02-08,5064,5
2019-02-11,5729,5
2019-02-12,2701,5
2019-02-13,5067,6
2019-02-14,5875,6
2019-02-15,4891,6
2019-02-19,5723,6
2019-02-20,5770,6
2019-02-21,5447,6
2019-02-22,4988,6
2019-02-25,5168,6
2019-02-26,5826,6
2019-02-27,5213,6
2019-02-28,4026,5
2019-03-01,5130,6
2019-03-04,3700,4
2019-03-05,5761,6
2019-03-06,5709,6
2019-03-07,5702,6
2019-03-08,5223,6
2019-03-11,5454,6
2019-03-12,5551,6
2019-03-13,5354,6
2019-03-14,5153,6
2019-03-15,4577,6
2019-03-18,5873,4
2019-03-19,5972,6
2019-03-20,5865,6
2019-03-21,6102,6
2019-03-22,5056,6
2019-03-25,5874,6
2019-03-26,6032,6
2019-03-27,5803,6
2019-03-28,5637,6
2019-03-29,5011,6
2019-04-01,5840,6
2019-04-02,5921,6
2019-04-03,5757,6
2019-04-04,5734,6
2019-04-05,5140,6
2019-04-08,5969,6
2019-04-09,5886,6
2019-04-10,5738,6
2019-04-11,5704,6
2019-04-12,5087,6
2019-04-15,5766,6
2019-04-16,5858,6
2019-04-17,5569,6
2019-04-18,5159,6
2019-04-22,3613,6
2019-04-23,5416,6
2019-04-24,5171,6
2019-04-25,5125,6
2019-04-26,4427,6
2019-04-29,5235,6
2019-04-30,5235,6
2019-05-01,5085,6
2019-05-02,5118,6
2019-05-03,4451,6
2019-05-06,5390,6
2019-05-07,5460,6
2019-05-08,5376,6
2019-05-09,5263,6
2019-05-10,4752,6
2019-05-13,5373,6
2019-05-14,5602,6
2019-05-15,5473,6
2019-05-16,5365,6
2019-05-17,4038,6
2019-05-21,5463,6
2019-05-22,5495,6
2019-05-23,5396,6
2019-05-24,4645,6
2019-05-27,5438,6
2019-05-28,5524,6
2019-05-29,5468,6
2019-05-30,5375,6
2019-05-31,4656,6
2019-06-03,5397,6
2019-06-04,5413,6
2019-06-05,5182,6
2019-06-06,5310,6
2019-06-07,4618,6
2019-06-10,5143,6
2019-06-11,5572,6
2019-06-12,5470,6
2019-06-13,5307,6
2019-06-14,4536,6
2019-06-17,6883,6
2019-06-18,5539,6
2019-06-19,5400,6
2019-06-20,5162,6
2019-06-21,4447,6
2019-06-24,5361,6
2019-06-25,5520,6
2019-06-26,3953,5
2019-06-27,4995,6
2019-06-28,3750,6
2019-07-02,4914,6
2019-07-03,5289,6
2019-07-04,5120,6
2019-07-05,4402,6
2019-07-08,5308,6
2019-07-09,5290,6
2019-07-10,5380,6
2019-07-11,5230,6
2019-07-12,4458,6
2019-07-15,5316,6
2019-07-16,5537,6
2019-07-17,5169,6
2019-07-18,5076,6
2019-07-19,4403,6
2019-07-22,5264,6
2019-07-23,5421,6
2019-07-24,5319,6
2019-07-25,5167,6
2019-07-26,4248,6
2019-07-29,5256,6
2019-07-30,5363,6
2019-07-31,5160,6
2019-08-01,4967,6
2019-08-02,3569,6
2019-08-06,5151,6
2019-08-07,5111,6
2019-08-08,5035,6
2019-08-09,4176,6
2019-08-12,5016,6
2019-08-13,5338,6
2019-08-14,5307,6
2019-08-15,5112,6
2019-08-16,4318,6
2019-08-19,5097,6
2019-08-20,5384,6
2019-08-21,5345,6
2019-08-22,5087,6
2019-08-23,4237,6
2019-08-26,5091,6
2019-08-27,5235,6
2019-08-28,5020,6
2019-08-29,4785,6
2019-08-30,3441,6
2019-09-03,5229,7
2019-09-04,5896,7
2019-09-05,5872,7
2019-09-06,5057,7
2019-09-09,5679,7
2019-09-10,6139,7
2019-09-11,5893,7
2019-09-12,5776,7
2019-09-13,5194,7
2019-09-16,6024,7
2019-09-17,6133,7
2019-09-18,5949,7
2019-09-19,5840,7
2019-09-20,5050,7
2019-09-23,5954,7
2019-09-24,5995,7
2019-09-25,5925,7
2019-09-26,5853,7
2019-09-27,5200,7
2019-09-30,5853,7
2019-10-01,6163,7
2019-10-02,5934,7
2019-10-03,5892,7
2019-10-04,5155,7
2019-10-07,5935,7
2019-10-08,6170,7
2019-10-09,5921,7
2019-10-10,5867,7
2019-10-11,4601,7
2019-10-15,5747,7
2019-10-16,5704,7
2019-10-17,5460,7
2019-10-18,4967,7
2019-10-21,6030,7
2019-10-22,5708,7
2019-10-23,5810,7
2019-10-24,5694,7
2019-10-25,5099,7
2019-10-28,5694,7
2019-10-29,6010,7
2019-10-30,5781,7
2019-10-31,5883,7
2019-11-01,5031,7
2019-11-04,5999,7
2019-11-05,6046,7
2019-11-06,6012,7
2019-11-07,5705,7
2019-11-08,4939,7
2019-11-11,3401,7
2019-11-12,5741,7
2019-11-13,5899,6
2019-11-14,5784,7
2019-11-15,4933,7
2019-11-18,5819,7
2019-11-19,6074,7
2019-11-20,5871,7
2019-11-21,5669,7
2019-11-22,5059,7
2019-11-25,5851,7
2019-11-26,5957,7
2019-11-27,5709,7
2019-11-28,5490,7
2019-11-29,4633,7
2019-12-02,5118,7
2019-12-03,5706,7
2019-12-04,5664,7
2019-12-05,5428,7
2019-12-06,4490,7
2019-12-09,5584,7
2019-12-10,5630,7
2019-12-11,5426,7
2019-12-12,5060,7
2019-12-13,4503,7
2019-12-16,5191,7
2019-12-17,5179,7
2019-12-18,4905,7
2019-12-19,4548,7
2019-12-20,3813,7
2019-12-23,3153,7
2019-12-24,979,7
2019-12-27,1461,7
2019-12-30,2394,7
2019-12-31,2202,14
2020-01-02,3784,7
2020-01-03,3355,7
2020-01-06,6036,7
2020-01-07,6029,7
2020-01-08,5824,7
2020-01-09,5757,7
2020-01-10,5104,7
2020-01-13,6039,7
2020-01-14,5954,7
2020-01-15,5862,7
2020-01-16,5677,7
2020-01-17,5040,7
2020-01-20,5619,7
2020-01-21,5857,7
2020-01-22,5826,7
2020-01-23,5749,7
2020-01-24,5153,7
2020-01-27,5815,7
2020-01-28,5782,7
2020-01-29,5603,7
2020-01-30,5625,7
2020-01-31,4773,7
2020-02-03,5770,7
2020-02-04,5670,7
2020-02-05,5689,7
2020-02-06,5008,7
2020-02-07,4637,7
2020-02-10,5525,7
2020-02-11,5561,7
2020-02-12,5608,7
2020-02-13,5277,7
2020-02-14,3950,7
2020-02-18,5450,7
2020-02-19,5492,7
2020-02-20,5291,7
2020-02-21,4379,7
2020-02-24,5681,7
2020-02-25,4964,6
2020-02-26,5051,7
2020-02-27,4698,7
2020-02-28,4633,7
2020-03-02,5593,7
2020-03-03,5663,7
2020-03-04,5512,7
2020-03-05,5291,7
2020-03-06,4717,7
2020-03-09,5234,7
2020-03-10,5276,7
2020-03-11,5035,7
2020-03-12,4638,7
2020-03-13,3203,7
2020-03-16,1468,7
2020-03-17,919,7
2020-03-18,672,5
2020-03-19,524,5
2020-03-20,404,5
2020-03-23,313,5
2020-03-24,269,5
2020-03-25,218,5
2020-03-26,202,5
2020-03-27,183,5
2020-03-30,194,5
2020-03-31,182,5
2020-04-01,173,5
2020-04-02,173,5
2020-04-03,145,5
2020-04-06,155,5
2020-04-07,150,5
2020-04-08,136,4
2020-04-09,122,4
2020-04-13,111,4
2020-04-14,125,4
2020-04-15,119,4
2020-04-16,121,4
2020-04-17,101,3
2020-04-20,120,4
2020-04-21,124,4
2020-04-22,119,4
2020-04-23,121,4
2020-04-24,114,4
2020-04-27,126,4
2020-04-28,111,4
2020-04-29,109,4
2020-04-30,126,4
2020-05-01,108,4
2020-05-04,134,4
2020-05-05,135,4
2020-05-06,131,4
2020-05-07,137,4
2020-05-08,124,4
2020-05-11,125,4
2020-05-12,128,4
2020-05-13,141,4
2020-05-14,126,4
2020-05-15,126,4
2020-05-19,161,4
2020-05-20,159,4
2020-05-21,157,4
2020-05-22,156,4
2020-05-25,151,4
2020-05-26,163,4
2020-05-27,170,4
2020-05-28,154,4
2020-05-29,140,4
2020-06-01,165,4
2020-06-02,181,4
2020-06-03,167,4
2020-06-04,174,4
2020-06-05,160,4
2020-06-08,159,4
2020-06-09,187,4
2020-06-10,180,4
2020-06-11,186,4
2020-06-12,192,4
2020-06-15,197,4
2020-06-16,222,4
2020-06-17,217,4
2020-06-18,213,4
2020-06-19,237,4
2020-06-22,216,4
2020-06-23,230,4
2020-06-24,258,4
2020-06-25,231,4
2020-06-26,243,4
2020-06-29,242,4
