date,ridership Lakeshore East,total_train_trips Lakeshore East
2019-01-01,5408,72
2019-01-02,25057,118
2019-01-03,27819,119
2019-01-04,25222,112
2019-01-05,7751,69
2019-01-06,5418,69
2019-01-07,32815,98
2019-01-08,32736,118
2019-01-09,32772,115
2019-01-10,31791,117
2019-01-11,30902,114
2019-01-12,7646,69
2019-01-13,4381,72
2019-01-14,33253,118
2019-01-15,32874,117
2019-01-16,32829,116
2019-01-17,33581,116
2019-01-18,30682,117
2019-01-19,9556,60
2019-01-20,6531,63
2019-01-21,26886,99
2019-01-22,32788,105
2019-01-23,33387,113
2019-01-24,32840,113
2019-01-25,30949,118
2019-01-26,8275,57
2019-01-27,5897,58
2019-01-28,31456,106
2019-01-29,22502,113
2019-01-30,31691,90
2019-01-31,29274,89
2019-02-01,30566,118
2019-02-02,8030,68
2019-02-03,5535,71
2019-02-04,33286,116
2019-02-05,29475,67
2019-02-06,31782,116
2019-02-07,32334,119
2019-02-08,29880,119
2019-02-09,6590,71
2019-02-10,4939,71
2019-02-11,32880,118
2019-02-12,21704,95
2019-02-13,29828,114
2019-02-14,34163,114
2019-02-15,30910,115
2019-02-16,9373,68
2019-02-17,5805,54
2019-02-18,7315,67
2019-02-19,32759,117
2019-02-20,33271,108
2019-02-21,33387,117
2019-02-22,31174,115
2019-02-23,9308,57
2019-02-24,5996,54
2019-02-25,31767,116
2019-02-26,33726,110
2019-02-27,32214,78
2019-02-28,32109,111
2019-03-01,31326,114
2019-03-02,8855,72
2019-03-03,7055,72
2019-03-04,29138,81
2019-03-05,33103,122
2019-03-06,32506,118
2019-03-07,33541,124
2019-03-08,31971,124
2019-03-09,8923,72
2019-03-10,5858,72
2019-03-11,31014,118
2019-03-12,31754,124
2019-03-13,32708,122
2019-03-14,32445,124
2019-03-15,30776,124
2019-03-16,10521,72
2019-03-17,7583,72
2019-03-18,32321,124
2019-03-19,32771,124
2019-03-20,33933,122
2019-03-21,32349,124
2019-03-22,30607,124
2019-03-23,8879,72
2019-03-24,6376,72
2019-03-25,33165,124
2019-03-26,33902,124
2019-03-27,33479,122
2019-03-28,36131,124
2019-03-29,33433,122
2019-03-30,10469,72
2019-03-31,6234,73
2019-04-01,32984,124
2019-04-02,34964,124
2019-04-03,34271,122
2019-04-04,33760,123
2019-04-05,30336,123
2019-04-06,10062,74
2019-04-07,6116,72
2019-04-08,31750,123
2019-04-09,32794,123
2019-04-10,32638,122
2019-04-11,32752,124
2019-04-12,31040,124
2019-04-13,11126,69
2019-04-14,6269,72
2019-04-15,32803,124
2019-04-16,33425,122
2019-04-17,34669,123
2019-04-18,31285,123
2019-04-19,6566,39
2019-04-20,6836,66
2019-04-21,7983,72
2019-04-22,24744,126
2019-04-23,35002,106
2019-04-24,34359,124
2019-04-25,32453,126
2019-04-26,31284,126
2019-04-27,11343,68
2019-04-28,7351,72
2019-04-29,31899,125
2019-04-30,32311,126
2019-05-01,32146,125
2019-05-02,32227,125
2019-05-03,30207,126
2019-05-04,8995,72
2019-05-05,6369,72
2019-05-06,32697,126
2019-05-07,34669,125
2019-05-08,34036,121
2019-05-09,32755,124
2019-05-10,31597,123
2019-05-11,11571,72
2019-05-12,8923,71
2019-05-13,31765,124
2019-05-14,33394,126
2019-05-15,34863,124
2019-05-16,32724,126
2019-05-17,28131,124
2019-05-18,8362,72
2019-05-19,7143,72
2019-05-20,7726,74
2019-05-21,34689,122
2019-05-22,34224,126
2019-05-23,34730,126
2019-05-24,32527,125
2019-05-25,12083,71
2019-05-26,10486,69
2019-05-27,31966,126
