date,ridership Lakeshore East UNION STATION AM Peak,total_train_trips Lakeshore East UNION STATION AM Peak
2019-01-02,22,4
2019-01-03,18,4
2019-01-04,18,4
2019-01-07,23,4
2019-01-08,23,4
2019-01-09,22,4
2019-01-10,21,4
2019-01-11,19,4
2019-01-14,19,4
2019-01-15,31,4
2019-01-16,21,4
2019-01-17,21,4
2019-01-18,18,4
2019-01-21,19,4
2019-01-22,24,4
2019-01-23,29,4
2019-01-24,20,4
2019-01-25,18,4
2019-01-28,29,4
2019-01-29,18,3
2019-01-30,30,4
2019-01-31,16,4
2019-02-01,22,4
2019-02-04,31,4
2019-02-05,22,3
2019-02-06,25,4
2019-02-07,28,4
2019-02-08,23,4
2019-02-11,21,4
2019-02-12,23,4
2019-02-13,26,4
2019-02-14,21,4
2019-02-15,23,4
2019-02-19,25,4
2019-02-20,25,4
2019-02-21,21,4
2019-02-22,19,4
2019-02-25,31,4
2019-02-26,25,4
2019-02-27,28,3
2019-02-28,24,4
2019-03-01,25,4
2019-03-04,441,9
2019-03-05,412,11
2019-03-06,406,11
2019-03-07,394,12
2019-03-08,379,12
2019-03-11,404,10
2019-03-12,378,12
2019-03-13,399,12
2019-03-14,377,12
2019-03-15,366,12
2019-03-18,423,12
2019-03-19,441,12
2019-03-20,403,12
2019-03-21,417,12
2019-03-22,392,12
2019-03-25,400,12
2019-03-26,427,12
2019-03-27,421,12
2019-03-28,390,12
2019-03-29,397,12
2019-04-01,419,12
2019-04-02,425,12
2019-04-03,433,12
2019-04-04,426,12
2019-04-05,389,12
2019-04-08,407,12
2019-04-09,401,12
2019-04-10,403,12
2019-04-11,402,12
2019-04-12,365,12
2019-04-15,396,12
2019-04-16,404,12
2019-04-17,400,12
2019-04-18,400,12
2019-04-22,270,12
2019-04-23,395,12
2019-04-24,377,12
2019-04-25,392,12
2019-04-26,357,12
2019-04-29,393,11
2019-04-30,403,12
2019-05-01,367,12
2019-05-02,400,12
2019-05-03,351,12
2019-05-06,412,12
2019-05-07,408,12
2019-05-08,429,12
2019-05-09,391,12
2019-05-10,400,12
