date,ridership Lakeshore East UNION STATION,total_train_trips Lakeshore East UNION STATION
2019-01-01,26,1
2019-01-02,3397,14
2019-01-03,3615,14
2019-01-04,3130,14
2019-01-05,226,1
2019-01-06,32,1
2019-01-07,4510,12
2019-01-08,4486,13
2019-01-09,4447,13
2019-01-10,4314,14
2019-01-11,3804,14
2019-01-12,184,1
2019-01-13,21,1
2019-01-14,4601,14
2019-01-15,4613,14
2019-01-16,4386,13
2019-01-17,4384,14
2019-01-18,3839,14
2019-01-19,320,1
2019-01-20,27,1
2019-01-21,3962,13
2019-01-22,4394,14
2019-01-23,4313,14
2019-01-24,4249,13
2019-01-25,3830,14
2019-01-26,322,1
2019-01-27,18,1
2019-01-28,2965,14
2019-01-29,2971,13
2019-01-30,4482,11
2019-01-31,3723,10
2019-02-01,3748,14
2019-02-02,205,1
2019-02-03,29,1
2019-02-04,4460,14
2019-02-05,3544,5
2019-02-06,3796,14
2019-02-07,4242,14
2019-02-08,3766,14
2019-02-09,190,1
2019-02-10,22,1
2019-02-11,4464,14
2019-02-12,1995,9
2019-02-13,3828,13
2019-02-14,4490,14
2019-02-15,3507,14
2019-02-16,271,1
2019-02-17,34,1
2019-02-18,25,1
2019-02-19,4504,14
2019-02-20,5077,13
2019-02-21,4235,14
2019-02-22,3709,14
2019-02-23,322,1
2019-02-24,26,1
2019-02-25,4247,14
2019-02-26,4409,14
2019-02-27,3391,7
2019-02-28,4221,13
2019-03-01,3845,14
2019-03-02,4251,36
2019-03-03,3409,36
2019-03-04,13510,43
2019-03-05,16358,60
2019-03-06,16056,59
2019-03-07,16445,62
2019-03-08,15584,62
2019-03-09,4282,36
2019-03-10,2887,36
2019-03-11,15414,59
2019-03-12,15667,62
2019-03-13,16091,61
2019-03-14,15874,62
2019-03-15,15200,62
2019-03-16,4955,36
2019-03-17,3696,36
2019-03-18,15879,62
2019-03-19,16160,62
2019-03-20,16688,61
2019-03-21,16000,62
2019-03-22,14892,62
2019-03-23,4313,36
2019-03-24,3100,36
2019-03-25,16382,62
2019-03-26,16745,62
2019-03-27,16557,61
2019-03-28,17775,62
2019-03-29,16318,61
2019-03-30,5011,36
2019-03-31,3017,37
2019-04-01,16208,62
2019-04-02,17257,62
2019-04-03,16922,61
2019-04-04,16649,62
2019-04-05,14857,62
2019-04-06,4829,38
2019-04-07,2866,36
2019-04-08,15681,62
2019-04-09,16162,62
2019-04-10,16169,61
2019-04-11,16168,62
2019-04-12,15140,62
2019-04-13,5248,34
2019-04-14,3097,36
2019-04-15,16145,62
2019-04-16,16516,61
2019-04-17,17104,61
2019-04-18,15420,61
2019-04-19,3389,21
2019-04-20,3452,34
2019-04-21,3634,36
2019-04-22,11904,63
2019-04-23,17037,53
2019-04-24,16862,62
2019-04-25,15922,63
2019-04-26,15157,63
2019-04-27,5363,34
2019-04-28,3639,36
2019-04-29,15655,62
2019-04-30,15899,63
2019-05-01,15849,62
2019-05-02,15807,63
2019-05-03,14694,63
2019-05-04,4220,36
2019-05-05,3068,36
2019-05-06,16039,63
2019-05-07,17053,63
2019-05-08,16731,61
2019-05-09,16003,62
2019-05-10,15439,62
2019-05-11,5702,36
2019-05-12,4283,35
2019-05-13,15563,62
2019-05-14,16508,63
2019-05-15,17174,62
2019-05-16,16145,63
2019-05-17,13841,61
2019-05-18,4080,36
2019-05-19,3440,36
2019-05-20,3515,37
2019-05-21,16982,60
2019-05-22,16827,63
2019-05-23,17086,63
2019-05-24,15836,63
2019-05-25,5602,36
2019-05-26,5102,34
2019-05-27,15756,63
2019-05-28,17337,61
2019-05-29,16688,61
2019-05-30,16995,63
2019-05-31,14998,63
2019-06-01,4216,36
2019-06-02,4042,36
2019-06-03,16235,63
2019-06-04,16557,63
2019-06-05,16575,62
2019-06-06,17057,63
2019-06-07,16229,62
2019-06-08,5005,36
2019-06-09,3850,36
2019-06-10,16992,63
2019-06-11,17245,63
2019-06-12,16723,62
2019-06-13,16511,63
2019-06-14,15483,63
2019-06-15,4899,36
2019-06-16,3841,36
