date,ridership Lakeshore East UNION STATION Evening,total_train_trips Lakeshore East UNION STATION Evening
2019-01-02,540,1
2019-01-03,699,1
2019-01-04,513,1
2019-01-07,755,1
2019-01-08,815,1
2019-01-09,784,1
2019-01-10,776,1
2019-01-11,626,1
2019-01-14,827,1
2019-01-15,759,1
2019-01-16,770,1
2019-01-17,765,1
2019-01-18,613,1
2019-01-21,730,1
2019-01-22,808,1
2019-01-23,769,1
2019-01-24,789,1
2019-01-25,673,1
2019-01-28,424,1
2019-01-29,545,1
2019-01-30,818,1
2019-01-31,768,1
2019-02-01,648,1
2019-02-04,760,1
2019-02-06,625,1
2019-02-07,740,1
2019-02-08,631,1
2019-02-11,842,1
2019-02-12,254,1
2019-02-13,710,1
2019-02-14,758,1
2019-02-15,582,1
2019-02-19,817,1
2019-02-20,1009,1
2019-02-21,762,1
2019-02-22,642,1
2019-02-25,717,1
2019-02-26,782,1
2019-02-27,668,1
2019-02-28,788,1
2019-03-01,672,1
2019-03-04,4147,13
2019-03-05,4592,14
2019-03-06,4404,15
2019-03-07,4904,15
2019-03-08,4950,15
2019-03-11,4499,15
2019-03-12,4513,15
2019-03-13,5252,15
2019-03-14,5075,15
2019-03-15,5411,15
2019-03-18,4150,15
2019-03-19,4162,15
2019-03-20,4888,15
2019-03-21,4418,15
2019-03-22,4390,15
2019-03-25,4511,15
2019-03-26,4692,15
2019-03-27,4608,15
2019-03-28,6154,15
2019-03-29,5444,15
2019-04-01,4439,15
2019-04-02,5232,15
2019-04-03,5030,15
2019-04-04,5066,15
2019-04-05,4333,15
2019-04-08,3838,15
2019-04-09,4165,15
2019-04-10,4325,15
2019-04-11,4368,15
2019-04-12,4666,15
2019-04-15,4356,15
2019-04-16,4509,14
2019-04-17,5320,15
2019-04-18,4012,13
2019-04-22,3489,15
2019-04-23,5341,15
2019-04-24,5097,15
2019-04-25,4317,15
2019-04-26,5009,15
2019-04-29,4034,15
2019-04-30,4158,15
2019-05-01,4209,15
2019-05-02,4401,15
2019-05-03,4335,15
2019-05-06,4045,15
2019-05-07,5023,15
2019-05-08,4575,15
2019-05-09,4981,15
2019-05-10,4538,15
2019-05-13,3681,14
2019-05-14,4145,15
2019-05-15,5037,15
2019-05-16,4309,15
2019-05-17,3401,15
2019-05-21,4943,14
2019-05-22,4493,15
2019-05-23,4862,15
2019-05-24,4957,15
2019-05-27,3609,15
2019-05-28,5076,15
2019-05-29,4640,15
2019-05-30,4979,15
2019-05-31,3964,15
2019-06-03,4183,15
2019-06-04,4476,15
2019-06-05,4688,15
2019-06-06,5284,15
2019-06-07,5549,14
2019-06-10,5188,15
2019-06-11,4786,15
2019-06-12,4525,15
2019-06-13,4544,15
2019-06-14,4575,15
2019-06-17,6450,15
2019-06-18,4934,15
2019-06-19,5679,15
2019-06-20,5169,15
2019-06-21,4498,15
2019-06-24,4053,15
2019-06-25,4771,15
2019-06-26,5757,15
2019-06-27,5378,15
2019-06-28,3854,15
2019-07-02,4204,15
2019-07-03,4920,15
2019-07-04,5388,15
2019-07-05,4635,15
2019-07-08,4388,15
2019-07-09,4831,15
2019-07-10,4936,15
2019-07-11,5994,15
2019-07-12,4252,15
2019-07-15,3853,15
2019-07-16,4525,15
2019-07-17,6012,15
2019-07-18,5415,15
2019-07-19,4032,15
2019-07-22,4510,15
2019-07-23,5503,15
2019-07-24,5246,15
2019-07-25,4835,15
2019-07-26,5945,14
2019-07-29,4185,15
2019-07-30,4721,15
2019-07-31,5313,15
2019-08-01,5556,15
2019-08-02,3731,15
2019-08-06,4769,15
2019-08-07,5343,15
2019-08-08,5617,15
2019-08-09,5180,14
2019-08-12,4676,15
2019-08-13,5729,15
2019-08-14,6134,15
2019-08-15,4767,15
2019-08-16,6962,15
2019-08-19,5566,15
2019-08-20,6094,15
2019-08-21,5335,15
2019-08-22,6702,15
2019-08-23,7032,15
2019-08-26,5707,15
2019-08-27,5300,15
2019-08-28,7323,15
2019-08-29,7505,15
2019-08-30,6453,15
2019-09-03,4443,15
2019-09-04,4753,15
2019-09-05,6007,15
2019-09-06,6801,15
2019-09-09,4547,15
2019-09-10,5471,15
2019-09-11,5339,15
2019-09-12,6201,15
2019-09-13,5188,15
2019-09-16,4246,15
2019-09-17,4794,15
2019-09-18,4909,15
2019-09-19,5322,15
2019-09-20,5628,15
2019-09-23,4635,15
2019-09-24,5108,15
2019-09-25,6488,15
2019-09-26,5264,15
2019-09-27,5396,15
2019-09-30,4318,15
2019-10-01,4321,14
2019-10-02,5200,15
2019-10-03,5505,13
2019-10-04,4895,15
2019-10-07,4749,15
2019-10-08,5136,15
2019-10-09,5202,15
2019-10-10,5690,15
2019-10-11,4462,15
2019-10-15,5414,15
2019-10-16,4698,15
2019-10-17,4985,15
2019-10-18,4683,15
2019-10-21,4406,15
2019-10-22,5103,15
2019-10-23,5423,15
2019-10-24,5619,14
2019-10-25,4904,15
2019-10-28,4810,15
2019-10-29,5388,15
2019-10-30,5507,14
2019-10-31,3451,15
2019-11-01,5016,15
2019-11-04,4113,15
2019-11-05,5173,15
2019-11-06,5223,15
2019-11-07,5754,15
2019-11-08,4699,15
2019-11-11,3576,15
2019-11-12,5107,15
2019-11-13,5129,15
2019-11-14,4792,13
2019-11-15,5025,14
2019-11-18,4605,15
2019-11-19,4584,15
2019-11-20,5413,15
2019-11-21,5197,15
2019-11-22,5118,15
2019-11-25,4674,15
2019-11-26,5361,15
2019-11-27,5226,15
2019-11-28,5118,15
2019-11-29,5017,14
2019-12-02,4049,15
2019-12-03,5308,15
2019-12-04,5535,15
2019-12-05,5664,15
2019-12-06,4640,15
2019-12-09,4414,15
2019-12-10,5190,15
2019-12-11,5306,15
2019-12-12,5159,15
2019-12-13,4793,15
2019-12-16,4629,15
