date,ridership Lakeshore East UNION STATION Midday,total_train_trips Lakeshore East UNION STATION Midday
2019-01-02,275,7
2019-01-03,326,7
2019-01-04,362,7
2019-01-07,309,5
2019-01-08,336,6
2019-01-09,344,6
2019-01-10,351,7
2019-01-11,464,7
2019-01-14,399,7
2019-01-15,491,7
2019-01-16,361,6
2019-01-17,404,7
2019-01-18,551,7
2019-01-21,441,6
2019-01-22,351,7
2019-01-23,441,7
2019-01-24,354,6
2019-01-25,456,7
2019-01-28,838,7
2019-01-29,331,7
2019-01-30,359,4
2019-01-31,222,3
2019-02-01,420,7
2019-02-04,374,7
2019-02-05,291,0
2019-02-06,680,7
2019-02-07,396,7
2019-02-08,462,7
2019-02-11,376,7
2019-02-12,669,2
2019-02-13,349,6
2019-02-14,447,7
2019-02-15,640,7
2019-02-19,394,7
2019-02-20,359,6
2019-02-21,355,7
2019-02-22,417,7
2019-02-25,348,7
2019-02-26,370,7
2019-02-27,545,1
2019-02-28,492,6
2019-03-01,489,7
2019-03-04,468,12
2019-03-05,1153,24
2019-03-06,1168,22
2019-03-07,1200,24
2019-03-08,1444,24
2019-03-11,1126,23
2019-03-12,1188,24
2019-03-13,1239,23
2019-03-14,1308,24
2019-03-15,1486,24
2019-03-18,1201,24
2019-03-19,1153,24
2019-03-20,1216,23
2019-03-21,1279,24
2019-03-22,1383,24
2019-03-25,1176,24
2019-03-26,1203,24
2019-03-27,1244,23
2019-03-28,1247,24
2019-03-29,1502,24
2019-04-01,1147,24
2019-04-02,1185,24
2019-04-03,1226,23
2019-04-04,1260,24
2019-04-05,1398,24
2019-04-08,1160,24
2019-04-09,1168,24
2019-04-10,1238,23
2019-04-11,1315,24
2019-04-12,1302,24
2019-04-15,1221,24
2019-04-16,1232,24
2019-04-17,1303,22
2019-04-18,1794,24
2019-04-22,1110,24
2019-04-23,1100,14
2019-04-24,1211,23
2019-04-25,1219,24
2019-04-26,1304,24
2019-04-29,1049,24
2019-04-30,1127,24
2019-05-01,1103,23
2019-05-02,1101,24
2019-05-03,1281,24
2019-05-06,1104,24
2019-05-07,1129,24
2019-05-08,1188,22
2019-05-09,1171,24
2019-05-10,1328,23
2019-05-13,1077,24
2019-05-14,1141,24
2019-05-15,1135,23
2019-05-16,1230,24
2019-05-17,2246,23
2019-05-21,1172,22
2019-05-22,1187,24
2019-05-23,1230,24
2019-05-24,1481,24
