date,ridership Lakeshore East UNION STATION PM Peak,total_train_trips Lakeshore East UNION STATION PM Peak
2019-01-02,2560,2
2019-01-03,2572,2
2019-01-04,2237,2
2019-01-07,3423,2
2019-01-08,3312,2
2019-01-09,3297,2
2019-01-10,3166,2
2019-01-11,2695,2
2019-01-14,3356,2
2019-01-15,3332,2
2019-01-16,3234,2
2019-01-17,3194,2
2019-01-18,2657,2
2019-01-21,2772,2
2019-01-22,3211,2
2019-01-23,3074,2
2019-01-24,3086,2
2019-01-25,2683,2
2019-01-28,1674,2
2019-01-29,2077,2
2019-01-30,3275,2
2019-01-31,2717,2
2019-02-01,2658,2
2019-02-04,3295,2
2019-02-05,3231,2
2019-02-06,2466,2
2019-02-07,3078,2
2019-02-08,2650,2
2019-02-11,3225,2
2019-02-12,1049,2
2019-02-13,2743,2
2019-02-14,3264,2
2019-02-15,2262,2
2019-02-19,3268,2
2019-02-20,3684,2
2019-02-21,3097,2
2019-02-22,2631,2
2019-02-25,3151,2
2019-02-26,3232,2
2019-02-27,2150,2
2019-02-28,2917,2
2019-03-01,2659,2
2019-03-04,8454,9
2019-03-05,10201,11
2019-03-06,10078,11
2019-03-07,9947,11
2019-03-08,8811,11
2019-03-11,9385,11
2019-03-12,9588,11
2019-03-13,9201,11
2019-03-14,9114,11
2019-03-15,7937,11
2019-03-18,10105,11
2019-03-19,10404,11
2019-03-20,10181,11
2019-03-21,9886,11
2019-03-22,8727,11
2019-03-25,10295,11
2019-03-26,10423,11
2019-03-27,10284,11
2019-03-28,9984,11
2019-03-29,8975,10
2019-04-01,10203,11
2019-04-02,10415,11
2019-04-03,10233,11
2019-04-04,9897,11
2019-04-05,8737,11
2019-04-08,10276,11
2019-04-09,10428,11
2019-04-10,10203,11
2019-04-11,10083,11
2019-04-12,8807,11
2019-04-15,10172,11
2019-04-16,10371,11
2019-04-17,10081,12
2019-04-18,9214,12
2019-04-22,7035,12
2019-04-23,10201,12
2019-04-24,10177,12
2019-04-25,9994,12
2019-04-26,8487,12
2019-04-29,10179,12
2019-04-30,10211,12
2019-05-01,10170,12
2019-05-02,9905,12
2019-05-03,8727,12
2019-05-06,10478,12
2019-05-07,10493,12
2019-05-08,10539,12
2019-05-09,9460,11
2019-05-10,9173,12
2019-05-13,10401,12
2019-05-14,10803,12
2019-05-15,10563,12
2019-05-16,10188,12
2019-05-17,7839,12
2019-05-21,10431,12
2019-05-22,10694,12
2019-05-23,10569,12
2019-05-24,8990,12
2019-05-27,10554,12
2019-05-28,10715,12
2019-05-29,10474,12
2019-05-30,10434,12
2019-05-31,8996,12
2019-06-03,10457,12
2019-06-04,10510,12
2019-06-05,10304,12
2019-06-06,10100,12
2019-06-07,8602,12
2019-06-10,10210,12
2019-06-11,10609,12
2019-06-12,10516,12
2019-06-13,10292,12
2019-06-14,8748,12
2019-06-17,12807,12
2019-06-18,10811,11
2019-06-19,10551,12
2019-06-20,10169,12
2019-06-21,8547,12
2019-06-24,10439,12
2019-06-25,10585,12
2019-06-26,10185,12
2019-06-27,9653,12
2019-06-28,7104,12
2019-07-02,9674,12
2019-07-03,10167,12
2019-07-04,9800,11
2019-07-05,8414,12
2019-07-08,10292,12
2019-07-09,9680,9
2019-07-10,10489,12
2019-07-11,10072,12
2019-07-12,8609,12
2019-07-15,10301,12
2019-07-16,10728,12
2019-07-17,10182,12
2019-07-18,10034,12
2019-07-19,8280,12
2019-07-22,10300,12
2019-07-23,10539,12
2019-07-24,10331,12
2019-07-25,9808,12
2019-07-26,8351,12
2019-07-29,10061,12
2019-07-30,10105,12
2019-07-31,10211,12
2019-08-01,9515,12
2019-08-02,6899,12
2019-08-06,9430,12
2019-08-07,9805,12
2019-08-08,9470,12
2019-08-09,8131,12
2019-08-12,9866,12
2019-08-13,10361,12
2019-08-14,10601,12
2019-08-15,9889,12
2019-08-16,8531,12
2019-08-19,10254,12
2019-08-20,10598,12
2019-08-21,10201,12
2019-08-22,9976,12
2019-08-23,8664,12
2019-08-26,10172,12
2019-08-27,10120,12
2019-08-28,10036,12
2019-08-29,9519,12
2019-08-30,7055,12
2019-09-03,9414,13
2019-09-04,10647,13
2019-09-05,10580,13
2019-09-06,9224,13
2019-09-09,10832,13
2019-09-10,10960,13
2019-09-11,10765,13
2019-09-12,10627,13
2019-09-13,9363,13
2019-09-16,10968,13
2019-09-17,11104,13
2019-09-18,10849,13
2019-09-19,10774,13
2019-09-20,9187,13
2019-09-23,10782,13
2019-09-24,11140,13
2019-09-25,10729,13
2019-09-26,10512,13
2019-09-27,9656,13
2019-09-30,10694,13
2019-10-01,11245,13
2019-10-02,10956,13
2019-10-03,10514,13
2019-10-04,9328,13
2019-10-07,10967,13
2019-10-08,11135,13
2019-10-09,10972,13
2019-10-10,10481,13
2019-10-11,7868,13
2019-10-15,10520,13
2019-10-16,10556,13
2019-10-17,10381,13
2019-10-18,9080,13
2019-10-21,10792,12
2019-10-22,10814,13
2019-10-23,10763,13
2019-10-24,10526,13
2019-10-25,9225,13
2019-10-28,10751,13
2019-10-29,11145,13
2019-10-30,10899,13
2019-10-31,11066,13
2019-11-01,9317,13
2019-11-04,11177,13
2019-11-05,11429,13
2019-11-06,11308,13
2019-11-07,10637,13
2019-11-08,9120,13
2019-11-11,7102,13
2019-11-12,10457,13
2019-11-13,10883,13
2019-11-14,10629,13
2019-11-15,8865,13
2019-11-18,10891,13
2019-11-19,11143,13
2019-11-20,10802,13
2019-11-21,10463,13
2019-11-22,9173,13
2019-11-25,10878,13
2019-11-26,11073,13
2019-11-27,10620,11
2019-11-28,10127,13
2019-11-29,8566,13
2019-12-02,9769,13
2019-12-03,10779,13
2019-12-04,10596,13
2019-12-05,10025,13
2019-12-06,8543,13
2019-12-09,10533,13
2019-12-10,10539,13
2019-12-11,10281,13
2019-12-12,9660,13
2019-12-13,8301,13
2019-12-16,10067,13
2019-12-17,10027,13
2019-12-18,9547,13
2019-12-19,8799,13
2019-12-20,7572,13
2019-12-23,6164,13
2019-12-24,2120,11
2019-12-27,2940,13
2019-12-30,4777,13
2019-12-31,4758,20
2020-01-02,7118,13
2020-01-03,6313,13
2020-01-06,11305,13
2020-01-07,11193,13
2020-01-08,11020,13
2020-01-09,10796,13
2020-01-10,9466,13
2020-01-13,10997,13
2020-01-14,11203,13
2020-01-15,10813,13
2020-01-16,10614,13
2020-01-17,9027,13
2020-01-20,10650,13
2020-01-21,10919,13
2020-01-22,10743,13
2020-01-23,10692,13
2020-01-24,9435,13
2020-01-27,10802,13
2020-01-28,10795,13
2020-01-29,10652,13
2020-01-30,9999,13
2020-01-31,8996,13
2020-02-03,10603,13
2020-02-04,10684,13
2020-02-05,10638,13
2020-02-06,9646,13
2020-02-07,8956,13
2020-02-10,10429,13
2020-02-11,10687,13
2020-02-12,10679,13
2020-02-13,10315,13
2020-02-14,7754,13
2020-02-18,10490,13
2020-02-19,10694,13
2020-02-20,10372,13
2020-02-21,8927,13
2020-02-24,10841,13
2020-02-25,7806,9
2020-02-26,9598,13
2020-02-27,8651,13
2020-02-28,9008,13
2020-03-02,10745,13
2020-03-03,10753,13
2020-03-04,10542,13
2020-03-05,10034,13
2020-03-06,9037,13
2020-03-09,9962,12
2020-03-10,10081,13
2020-03-11,9678,13
2020-03-12,8755,13
2020-03-13,5968,13
2020-03-16,3100,13
2020-03-17,2024,13
2020-03-18,1525,8
2020-03-19,1230,8
2020-03-20,883,8
2020-03-23,761,8
2020-03-24,617,8
2020-03-25,552,8
2020-03-26,513,8
2020-03-27,434,8
2020-03-30,476,8
2020-03-31,476,8
2020-04-01,452,8
2020-04-02,442,8
2020-04-03,332,8
2020-04-06,339,8
2020-04-07,346,8
2020-04-08,314,3
2020-04-09,309,3
2020-04-13,210,3
2020-04-14,321,3
2020-04-15,307,3
2020-04-16,301,3
2020-04-17,261,3
2020-04-20,299,3
2020-04-21,293,3
2020-04-22,301,3
2020-04-23,275,3
2020-04-24,263,3
2020-04-27,291,3
2020-04-28,299,3
2020-04-29,276,3
2020-04-30,311,3
2020-05-01,262,3
2020-05-04,316,3
2020-05-05,316,3
2020-05-06,294,3
2020-05-07,296,3
2020-05-08,281,3
2020-05-11,316,3
2020-05-12,339,3
2020-05-13,316,3
2020-05-14,328,3
2020-05-15,268,3
2020-05-19,360,3
2020-05-20,373,3
2020-05-21,371,3
2020-05-22,328,3
2020-05-25,449,6
2020-05-26,450,6
2020-05-27,449,6
2020-05-28,441,6
2020-05-29,412,6
2020-06-01,531,6
2020-06-02,512,6
2020-06-03,518,6
2020-06-04,545,6
2020-06-05,423,6
2020-06-08,532,6
2020-06-09,558,6
2020-06-10,545,6
2020-06-11,551,6
2020-06-12,495,6
2020-06-15,609,6
2020-06-16,624,6
2020-06-17,574,6
2020-06-18,570,6
2020-06-19,546,6
2020-06-22,602,6
2020-06-23,654,6
2020-06-24,672,6
2020-06-25,655,6
2020-06-26,617,6
2020-06-29,695,6
2020-06-30,701,6
2020-07-02,665,6
2020-07-03,650,6
2020-07-06,721,6
2020-07-07,740,6
2020-07-08,762,6
2020-07-09,752,6
2020-07-10,681,6
2020-07-13,741,6
2020-07-14,753,6
2020-07-15,806,6
2020-07-16,740,6
2020-07-17,717,6
2020-07-20,696,6
2020-07-21,701,6
2020-07-22,705,6
2020-07-23,747,6
2020-07-24,742,6
2020-07-27,699,6
2020-07-28,760,6
2020-07-29,773,6
2020-07-30,778,6
2020-07-31,719,6
2020-08-04,796,6
2020-08-05,846,6
2020-08-06,900,6
2020-08-07,793,6
2020-08-10,827,6
2020-08-11,871,6
2020-08-12,1125,6
2020-08-13,1116,6
2020-08-14,1021,6
2020-08-17,1060,6
2020-08-18,1153,6
2020-08-19,1151,6
2020-08-20,1143,6
2020-08-21,1007,6
2020-08-24,1106,6
2020-08-25,1160,6
2020-08-26,1188,6
2020-08-27,1176,6
2020-08-28,1081,6
2020-08-31,1169,6
2020-09-01,1280,6
2020-09-02,1178,6
2020-09-03,1336,6
2020-09-04,1133,6
2020-09-08,1226,7
2020-09-09,1320,7
2020-09-10,1329,6
2020-09-11,1208,7
2020-09-14,1294,7
2020-09-15,1344,7
2020-09-16,1366,7
2020-09-17,1309,7
2020-09-18,1194,7
2020-09-21,1337,7
2020-09-22,1392,7
2020-09-23,1358,7
2020-09-24,1334,7
2020-09-25,1172,7
2020-09-28,1290,7
2020-09-29,1352,7
2020-09-30,1339,7
2020-10-01,1246,7
2020-10-02,1135,7
2020-10-05,1253,7
2020-10-06,1308,7
2020-10-07,1318,7
2020-10-08,1290,7
2020-10-09,1106,7
2020-10-13,1256,7
2020-10-14,1287,7
2020-10-15,1234,7
2020-10-16,1104,7
2020-10-19,1239,7
2020-10-20,1295,7
2020-10-21,1228,7
2020-10-22,1287,7
2020-10-23,1098,7
2020-10-26,1248,7
2020-10-27,1295,7
2020-10-28,1304,7
2020-10-29,1315,7
2020-10-30,1117,7
2020-11-02,1264,7
2020-11-03,1344,7
2020-11-04,1300,7
2020-11-05,1271,7
2020-11-06,1168,7
2020-11-09,1252,7
2020-11-10,1348,7
2020-11-11,1099,7
2020-11-12,1271,7
2020-11-13,1109,7
2020-11-16,1222,7
2020-11-17,1284,7
2020-11-18,1227,7
2020-11-20,1067,7
2020-11-23,1158,6
2020-11-24,1172,7
2020-11-25,1143,7
2020-11-26,1129,7
2020-11-27,977,7
2020-11-30,1086,7
2020-12-01,1180,7
2020-12-02,1149,7
2020-12-03,1106,7
2020-12-04,978,7
2020-12-07,1118,7
2020-12-08,1130,7
2020-12-09,1141,7
2020-12-10,1100,7
2020-12-11,953,7
2020-12-14,1119,7
2020-12-15,1132,7
2020-12-16,1115,7
2020-12-17,1040,7
2020-12-18,970,7
2020-12-21,978,7
2020-12-22,916,7
2020-12-23,809,7
2020-12-24,454,7
2020-12-28,152,3
2020-12-29,598,7
2020-12-30,602,7
2020-12-31,428,7
2021-01-04,950,7
2021-01-05,996,7
2021-01-06,1009,7
2021-01-07,975,7
2021-01-08,829,7
2021-01-11,1001,7
2021-01-12,1022,7
2021-01-13,964,7
2021-01-14,873,7
2021-01-15,705,7
2021-01-18,850,7
2021-01-19,854,7
2021-01-20,840,7
2021-01-21,851,7
2021-01-22,728,7
2021-01-25,851,7
2021-01-26,871,7
2021-01-27,825,7
2021-01-28,845,7
2021-01-29,727,7
2021-02-01,830,7
2021-02-02,858,7
2021-02-03,854,7
2021-02-04,869,7
2021-02-05,773,7
2021-02-08,833,7
2021-02-09,876,7
2021-02-10,863,7
2021-02-11,840,7
2021-02-12,749,7
2021-02-16,879,7
2021-02-17,950,7
2021-02-18,928,7
2021-02-19,873,7
2021-02-22,918,7
2021-02-23,916,6
2021-02-24,916,7
2021-02-25,939,7
2021-02-26,871,7
2021-03-01,916,7
2021-03-02,962,7
2021-03-03,968,7
2021-03-04,945,6
2021-03-05,904,7
2021-03-08,982,7
2021-03-09,1027,7
2021-03-10,1031,7
2021-03-11,1032,7
2021-03-12,896,7
2021-03-15,953,7
2021-03-16,1016,7
2021-03-17,1034,7
2021-03-18,974,7
2021-03-19,867,7
2021-03-22,987,7
2021-03-23,1033,7
2021-03-24,1024,7
2021-03-25,1044,7
2021-03-26,891,7
2021-03-29,1021,7
2021-03-30,1094,7
2021-03-31,1071,7
2021-04-01,1011,7
2021-04-05,706,7
2021-04-06,1025,7
2021-04-07,964,7
2021-04-08,912,7
2021-04-09,784,7
2021-04-12,840,7
2021-04-13,884,7
2021-04-14,885,7
2021-04-15,852,7
2021-04-16,743,7
2021-04-19,801,7
2021-04-20,786,7
2021-04-21,784,7
2021-04-22,782,6
