date,ridership Lakeshore West ALDERSHOT GO AM Peak,total_train_trips Lakeshore West ALDERSHOT GO AM Peak
2019-01-02,2422,4
2019-01-03,2604,4
2019-01-04,2431,4
2019-01-07,3651,4
2019-01-08,3562,4
2019-01-09,3553,4
2019-01-10,3524,4
2019-01-11,3069,4
2019-01-14,4226,4
2019-01-15,3543,4
2019-01-16,3468,4
2019-01-17,3905,4
2019-01-18,3005,4
2019-01-21,1869,3
2019-01-22,3456,4
2019-01-23,3258,3
2019-01-24,3834,4
2019-01-25,2899,4
2019-01-28,3869,4
2019-01-29,1440,3
2019-01-30,3364,3
2019-01-31,3167,4
2019-02-01,2862,4
2019-02-04,3559,4
2019-02-05,2233,3
2019-02-06,2920,4
2019-02-07,3356,4
2019-02-08,3071,4
2019-02-11,3467,4
2019-02-12,2113,4
2019-02-13,3024,4
2019-02-14,3466,4
2019-02-15,2810,4
2019-02-19,3522,4
2019-02-20,3555,4
2019-02-21,3397,4
2019-02-22,3021,4
2019-02-25,3817,4
2019-02-26,3562,4
2019-02-27,1862,3
2019-02-28,3357,4
2019-03-01,3116,4
2019-03-04,3692,4
2019-03-05,3525,4
2019-03-06,3467,4
2019-03-07,3489,4
2019-03-08,3032,4
2019-03-11,3257,4
2019-03-12,3260,4
2019-03-13,3067,4
2019-03-14,3040,4
2019-03-15,2603,4
2019-03-18,3485,4
2019-03-19,4116,4
2019-03-20,4538,4
2019-03-21,3456,4
2019-03-22,3039,4
2019-03-25,3588,4
2019-03-26,3549,4
2019-03-27,3544,4
2019-03-28,3488,4
2019-03-29,3089,4
2019-04-01,3520,4
2019-04-02,3562,4
2019-04-03,3557,4
2019-04-04,3480,4
2019-04-05,3033,4
2019-04-08,2057,3
2019-04-09,3550,4
2019-04-10,3546,4
2019-04-11,3392,4
2019-04-12,2941,4
2019-04-15,3371,4
2019-04-16,3540,4
2019-04-17,3428,4
2019-04-18,3294,4
2019-04-22,2565,4
2019-04-23,3585,4
2019-04-24,3494,4
2019-04-25,3487,4
2019-04-26,2837,4
2019-04-29,3517,4
2019-04-30,3511,4
2019-05-01,3485,4
2019-05-02,3605,4
2019-05-03,2984,4
2019-05-06,3668,4
2019-05-07,3538,4
2019-05-08,3529,4
2019-05-09,3692,4
2019-05-10,3113,4
2019-05-13,3532,4
2019-05-14,3586,4
2019-05-15,3570,4
2019-05-16,3511,4
2019-05-17,2695,5
2019-05-21,3628,4
2019-05-22,3658,4
2019-05-23,3538,4
2019-05-24,3097,4
2019-05-27,3482,4
2019-05-28,3550,4
2019-05-29,3611,4
2019-05-30,3630,4
2019-05-31,2986,4
2019-06-03,3586,4
2019-06-04,3585,4
2019-06-05,3506,4
2019-06-06,3509,4
2019-06-07,2960,4
2019-06-10,3439,4
2019-06-11,3399,4
2019-06-12,3636,4
2019-06-13,3412,4
2019-06-14,3291,4
2019-06-17,4977,4
2019-06-18,3649,4
2019-06-19,3605,4
2019-06-20,3422,4
2019-06-21,3310,4
2019-06-24,3165,3
2019-06-25,3646,4
2019-06-26,3576,4
2019-06-27,3446,4
2019-06-28,2276,3
2019-07-02,3354,4
2019-07-03,3469,4
2019-07-04,3331,4
2019-07-05,2780,5
2019-07-08,3546,4
2019-07-09,3660,4
2019-07-10,3541,4
2019-07-11,3528,4
2019-07-12,2960,4
2019-07-15,3454,4
2019-07-16,3609,4
2019-07-17,3527,4
2019-07-18,3490,4
2019-07-19,2850,4
2019-07-22,3440,4
2019-07-23,3605,4
2019-07-24,3464,4
2019-07-25,3421,4
2019-07-26,2761,4
2019-07-29,3430,4
2019-07-30,3516,4
2019-07-31,3438,4
2019-08-01,3367,4
2019-08-02,2408,4
2019-08-06,3332,4
2019-08-07,3423,4
2019-08-08,3256,4
2019-08-09,2809,4
2019-08-12,3454,4
2019-08-13,3538,4
2019-08-14,3472,4
2019-08-15,3380,4
2019-08-16,2745,4
2019-08-19,3387,4
2019-08-20,3512,4
2019-08-21,3446,4
2019-08-22,3343,4
2019-08-23,2755,5
2019-08-26,3238,4
2019-08-27,3314,4
2019-08-28,3293,4
2019-08-29,3074,4
2019-08-30,2295,4
2019-09-03,631,2
2019-09-04,2050,3
2019-09-05,2103,3
2019-09-06,1816,4
2019-09-09,2080,3
2019-09-10,2131,3
2019-09-11,2022,2
2019-09-12,2051,3
2019-09-13,1808,4
2019-09-16,2041,3
2019-09-17,2131,3
2019-09-18,2134,3
2019-09-19,2172,3
2019-09-20,1795,3
2019-09-23,2163,3
2019-09-24,2089,3
2019-09-25,2061,3
2019-09-26,2143,3
2019-09-27,1863,4
2019-09-30,2120,3
2019-10-01,2172,3
2019-10-02,2107,3
2019-10-03,2136,3
2019-10-04,1841,3
2019-10-07,2168,3
2019-10-08,2159,3
2019-10-09,2168,3
2019-10-10,2100,3
2019-10-11,1614,3
2019-10-15,2196,3
2019-10-16,2158,3
2019-10-17,2126,3
2019-10-18,1867,4
2019-10-21,2129,3
2019-10-22,2144,3
2019-10-23,2190,3
2019-10-24,2192,3
2019-10-25,1831,3
2019-10-28,2196,3
2019-10-29,2232,3
2019-10-30,2177,3
2019-10-31,2035,3
2019-11-01,1846,3
2019-11-04,2183,3
2019-11-05,2238,3
2019-11-06,2233,3
2019-11-07,2185,3
2019-11-08,1793,3
2019-11-11,1452,3
2019-11-12,2083,3
2019-11-13,2136,3
2019-11-14,2195,3
2019-11-15,1907,3
2019-11-18,2239,3
2019-11-19,2214,3
2019-11-20,2247,3
2019-11-21,2143,3
2019-11-22,1800,3
2019-11-25,2272,3
2019-11-26,2192,3
2019-11-27,2228,3
2019-11-28,2121,3
2019-11-29,1806,3
2019-12-02,2109,3
2019-12-03,2237,3
2019-12-04,2212,3
2019-12-05,2199,3
2019-12-06,1830,3
2019-12-09,2168,3
2019-12-10,2297,3
2019-12-11,2234,3
2019-12-12,2136,3
2019-12-13,1826,3
2019-12-16,2153,3
2019-12-17,2137,3
2019-12-18,2120,3
2019-12-19,1973,3
2019-12-20,1583,3
2019-12-23,1110,3
2019-12-24,547,3
2019-12-27,489,3
2019-12-30,845,3
2019-12-31,1071,6
2020-01-02,1265,3
2020-01-03,1099,3
2020-01-06,2206,3
2020-01-07,2186,3
2020-01-08,2188,3
2020-01-09,2227,3
2020-01-10,1810,3
2020-01-13,2217,3
2020-01-14,2181,3
2020-01-15,2158,3
2020-01-16,2202,3
2020-01-17,1839,3
2020-01-20,2137,3
2020-01-21,2165,3
2020-01-22,2217,3
2020-01-23,2176,3
2020-01-24,1846,3
2020-01-27,2133,3
2020-01-28,2175,3
2020-01-29,2177,3
2020-01-30,2131,3
2020-01-31,1748,3
2020-02-03,2110,3
2020-02-04,1650,2
2020-02-05,2219,3
2020-02-06,2048,3
