date,ridership Lakeshore West ALDERSHOT GO Evening,total_train_trips Lakeshore West ALDERSHOT GO Evening
2019-01-02,941,10
2019-01-03,1086,10
2019-01-04,1667,9
2019-01-07,1472,10
2019-01-08,1560,10
2019-01-09,1306,9
2019-01-10,1098,10
2019-01-11,2775,10
2019-01-14,1536,10
2019-01-15,1056,10
2019-01-16,1089,10
2019-01-17,1772,10
2019-01-18,2137,10
2019-01-21,958,10
2019-01-22,1590,8
2019-01-23,1719,9
2019-01-24,1217,9
2019-01-25,1788,10
2019-01-28,805,7
2019-01-29,776,10
2019-01-30,993,4
2019-01-31,1571,9
2019-02-01,2207,10
2019-02-04,1562,10
2019-02-05,1252,9
2019-02-06,1391,9
2019-02-07,1161,10
2019-02-08,1582,10
2019-02-11,1573,10
2019-02-12,483,9
2019-02-13,1574,10
2019-02-14,1676,9
2019-02-15,2310,10
2019-02-19,1284,10
2019-02-20,1469,8
2019-02-21,1880,10
2019-02-22,2389,8
2019-02-25,1733,10
2019-02-26,2233,5
2019-02-27,2085,7
2019-02-28,1224,9
2019-03-01,2399,10
2019-03-04,1402,10
2019-03-05,1705,14
2019-03-06,1130,14
2019-03-07,2051,14
2019-03-08,3060,14
2019-03-11,1696,14
2019-03-12,1398,13
2019-03-13,2364,14
2019-03-14,2215,14
2019-03-15,2593,14
2019-03-18,1837,13
2019-03-19,1180,14
2019-03-20,1986,14
2019-03-21,1352,13
2019-03-22,2430,14
2019-03-25,1719,14
2019-03-26,1661,14
2019-03-27,1286,14
2019-03-28,1853,13
2019-03-29,4839,14
2019-04-01,1903,14
2019-04-02,2113,14
2019-04-03,1797,13
2019-04-04,1917,14
2019-04-05,2100,14
2019-04-08,1139,14
2019-04-09,1537,14
2019-04-10,1219,14
2019-04-11,1383,14
2019-04-12,2588,11
2019-04-15,1588,14
2019-04-16,1866,13
2019-04-17,1921,14
2019-04-18,1706,14
2019-04-22,1954,14
2019-04-23,2427,12
2019-04-24,1649,14
2019-04-25,1422,14
2019-04-26,3327,14
2019-04-29,1829,14
2019-04-30,1234,14
2019-05-01,1554,14
2019-05-02,1558,13
2019-05-03,2592,12
2019-05-06,1501,13
2019-05-07,2371,14
2019-05-08,1638,13
2019-05-09,1497,14
2019-05-10,2528,13
2019-05-13,1193,14
2019-05-14,1241,14
2019-05-15,3614,14
2019-05-16,1449,13
2019-05-17,2455,14
2019-05-21,3019,14
2019-05-22,1694,13
2019-05-23,1985,12
2019-05-24,3310,14
2019-05-27,1267,14
2019-05-28,2512,13
2019-05-29,2094,14
2019-05-30,2987,14
2019-05-31,2210,12
2019-06-03,2659,14
2019-06-04,1690,14
2019-06-05,2164,14
2019-06-06,2073,14
2019-06-07,6313,11
2019-06-10,5182,14
2019-06-11,3085,14
2019-06-12,1459,14
2019-06-13,2904,14
2019-06-14,3595,13
2019-06-17,2460,14
2019-06-18,2085,14
2019-06-19,2527,14
2019-06-20,2234,13
2019-06-21,2930,11
2019-06-24,1620,13
2019-06-25,1859,14
2019-06-26,4316,14
2019-06-27,3110,13
2019-06-28,2237,14
2019-07-02,1653,14
2019-07-03,1936,13
2019-07-04,3678,14
2019-07-05,2295,14
