date,ridership Lakeshore West ALDERSHOT GO Midday,total_train_trips Lakeshore West ALDERSHOT GO Midday
2019-01-02,3384,15
2019-01-03,4930,15
2019-01-04,3371,15
2019-01-07,3584,10
2019-01-08,3581,15
2019-01-09,3605,15
2019-01-10,3391,14
2019-01-11,3543,12
2019-01-14,3739,15
2019-01-15,3589,13
2019-01-16,3839,14
2019-01-17,3872,15
2019-01-18,3844,14
2019-01-21,2087,10
2019-01-22,3314,12
2019-01-23,3827,12
2019-01-24,4092,15
2019-01-25,3690,15
2019-01-28,3480,13
2019-01-29,2635,13
2019-01-30,3911,15
2019-01-31,3907,14
2019-02-01,3543,15
2019-02-04,3629,14
2019-02-05,5570,9
2019-02-06,2980,15
2019-02-07,3883,15
2019-02-08,3582,15
2019-02-11,3769,15
2019-02-12,1805,15
2019-02-13,3961,15
2019-02-14,3925,14
2019-02-15,4071,15
2019-02-19,4100,14
2019-02-20,3989,15
2019-02-21,4005,13
2019-02-22,3651,14
2019-02-25,3610,13
2019-02-26,3696,15
2019-02-27,4867,12
2019-02-28,3881,12
2019-03-01,2891,12
2019-03-04,3572,12
2019-03-05,3515,12
2019-03-06,3809,12
2019-03-07,3708,12
2019-03-08,3402,11
2019-03-11,4319,12
2019-03-12,4311,11
2019-03-13,4746,12
2019-03-14,4835,12
2019-03-15,4418,12
2019-03-18,3605,12
2019-03-19,3683,12
2019-03-20,3884,12
2019-03-21,3767,12
2019-03-22,3568,12
2019-03-25,3681,12
2019-03-26,3760,12
2019-03-27,4020,12
2019-03-28,5522,12
2019-03-29,3828,12
2019-04-01,3737,12
2019-04-02,3747,12
2019-04-03,3950,12
2019-04-04,3783,12
2019-04-05,3429,12
2019-04-08,3557,12
2019-04-09,3543,12
2019-04-10,3778,12
2019-04-11,3615,12
2019-04-12,3287,11
2019-04-15,3614,12
2019-04-16,3464,12
2019-04-17,3868,12
2019-04-18,3615,12
2019-04-22,3067,12
2019-04-23,3642,12
2019-04-24,4336,12
2019-04-25,3500,12
2019-04-26,3544,12
2019-04-29,3440,12
2019-04-30,3636,12
2019-05-01,3762,12
2019-05-02,3684,12
2019-05-03,3345,12
2019-05-06,3369,12
2019-05-07,3587,12
2019-05-08,3650,12
2019-05-09,3595,12
2019-05-10,3345,10
2019-05-13,3533,12
2019-05-14,3653,12
2019-05-15,3627,12
2019-05-16,3498,12
2019-05-17,3039,12
2019-05-21,3300,7
2019-05-22,3899,12
2019-05-23,4347,12
2019-05-24,3467,12
2019-05-27,3515,12
2019-05-28,3593,12
2019-05-29,3735,12
2019-05-30,3776,12
2019-05-31,3372,12
2019-06-03,3447,11
2019-06-04,3438,12
2019-06-05,3669,12
2019-06-06,4010,12
2019-06-07,3869,12
2019-06-10,4007,12
2019-06-11,4170,12
2019-06-12,3879,12
2019-06-13,3986,12
2019-06-14,3724,12
2019-06-17,10252,12
2019-06-18,3774,12
2019-06-19,3918,12
2019-06-20,4032,12
2019-06-21,3573,12
2019-06-24,3676,12
2019-06-25,3968,12
2019-06-26,4010,11
2019-06-27,3907,12
2019-06-28,3275,12
