date,ridership Lakeshore West ALDERSHOT GO PM Peak,total_train_trips Lakeshore West ALDERSHOT GO PM Peak
2019-01-02,998,5
2019-01-03,1027,5
2019-01-04,1318,5
2019-01-07,1403,5
2019-01-08,1262,5
2019-01-09,1133,5
2019-01-10,948,4
2019-01-11,1718,5
2019-01-14,1381,5
2019-01-15,959,5
2019-01-16,1027,5
2019-01-17,1289,5
2019-01-18,1438,5
2019-01-21,819,5
2019-01-22,1392,5
2019-01-23,1457,5
2019-01-24,1145,5
2019-01-25,1484,5
2019-01-28,996,5
2019-01-29,793,5
2019-01-30,833,5
2019-01-31,1326,5
2019-02-01,1301,5
2019-02-04,1445,5
2019-02-05,1055,5
2019-02-06,1340,5
2019-02-07,1218,5
2019-02-08,1182,5
2019-02-11,1172,5
2019-02-12,541,5
2019-02-13,1245,5
2019-02-14,1285,5
2019-02-15,1656,5
2019-02-19,1129,5
2019-02-20,722,3
2019-02-21,1607,5
2019-02-22,1610,5
2019-02-25,1477,5
2019-02-26,1261,5
2019-02-27,1020,3
2019-02-28,1137,5
2019-03-01,1558,5
2019-03-04,1083,5
2019-03-05,1112,6
2019-03-06,1046,6
2019-03-07,1245,5
2019-03-08,1798,6
2019-03-11,1449,6
2019-03-12,1158,6
2019-03-13,1167,5
2019-03-14,1470,5
2019-03-15,2126,6
2019-03-18,710,5
2019-03-19,1004,6
2019-03-20,1504,6
2019-03-21,1064,6
2019-03-22,1605,6
2019-03-25,1370,6
2019-03-26,1225,6
2019-03-27,1112,6
2019-03-28,1727,6
2019-03-29,1977,6
2019-04-01,1144,5
2019-04-02,1574,6
2019-04-03,1516,6
2019-04-04,1543,6
2019-04-05,1473,6
2019-04-08,964,6
2019-04-09,1111,6
2019-04-10,1079,6
2019-04-11,1475,6
2019-04-12,2012,6
2019-04-15,1543,6
2019-04-16,1237,6
2019-04-17,1861,6
2019-04-18,1221,6
2019-04-22,1602,6
2019-04-23,2031,5
2019-04-24,1454,6
2019-04-25,1318,6
2019-04-26,2165,6
2019-04-29,1127,6
2019-04-30,1109,6
2019-05-01,1130,6
2019-05-02,1244,6
2019-05-03,1492,6
2019-05-06,1282,6
2019-05-07,1523,6
2019-05-08,1376,6
2019-05-09,1200,6
2019-05-10,1759,6
2019-05-13,1137,6
2019-05-14,1186,6
2019-05-15,1342,6
2019-05-16,1221,6
2019-05-17,1498,6
2019-05-21,1688,6
2019-05-22,1421,5
2019-05-23,1355,6
2019-05-24,1936,6
2019-05-27,1119,6
2019-05-28,1602,6
2019-05-29,1267,6
2019-05-30,1620,6
2019-05-31,1418,6
2019-06-03,1383,6
2019-06-04,1449,6
2019-06-05,1498,6
2019-06-06,1863,6
2019-06-07,2385,6
2019-06-10,2319,6
2019-06-11,1599,6
2019-06-12,1239,6
2019-06-13,1582,6
2019-06-14,1732,6
2019-06-17,1652,4
2019-06-18,1525,6
2019-06-19,1963,6
2019-06-20,1525,5
2019-06-21,1820,6
2019-06-24,1272,6
2019-06-25,1645,6
2019-06-26,1733,6
2019-06-27,1364,4
2019-06-28,1738,6
2019-07-02,1387,6
2019-07-03,1540,6
2019-07-04,1787,6
2019-07-05,1930,6
2019-07-08,1291,6
2019-07-09,1225,3
2019-07-10,1441,6
2019-07-11,1948,6
2019-07-12,1785,6
2019-07-15,1160,6
2019-07-16,1281,6
2019-07-17,1857,6
2019-07-18,1735,5
2019-07-19,1601,6
2019-07-22,1449,6
2019-07-23,1795,6
2019-07-24,1705,6
2019-07-25,1372,6
2019-07-26,2902,6
2019-07-29,1219,6
2019-07-30,1554,6
2019-07-31,1603,6
2019-08-01,1499,6
2019-08-02,1564,6
2019-08-06,1773,6
2019-08-07,1808,6
2019-08-08,2006,6
2019-08-09,2061,6
2019-08-12,1638,6
2019-08-13,1746,6
2019-08-14,1727,6
2019-08-15,1418,6
2019-08-16,3062,6
2019-08-19,2392,6
2019-08-20,2529,6
2019-08-21,1685,6
2019-08-22,2237,4
2019-08-23,3014,6
2019-08-26,2272,6
2019-08-27,2006,6
2019-08-28,3018,6
2019-08-29,3126,6
2019-08-30,3494,6
2019-09-03,1348,6
2019-09-04,1252,6
2019-09-05,1748,6
2019-09-06,3325,6
2019-09-09,1294,6
2019-09-10,1611,6
2019-09-11,1560,6
2019-09-12,1825,6
2019-09-13,2181,6
2019-09-16,1238,6
2019-09-17,1346,6
2019-09-18,1346,5
2019-09-19,1566,6
2019-09-20,2151,6
2019-09-23,1347,6
2019-09-24,1533,6
2019-09-25,2087,6
2019-09-26,1429,6
2019-09-27,1984,6
2019-09-30,1213,6
2019-10-01,1193,6
2019-10-02,1680,6
2019-10-03,1602,6
2019-10-04,1877,6
2019-10-07,1568,6
2019-10-08,1521,6
2019-10-09,1519,6
2019-10-10,1795,6
2019-10-11,1772,6
2019-10-15,1903,6
2019-10-16,1265,6
2019-10-17,1480,6
2019-10-18,1799,6
2019-10-21,1624,6
2019-10-22,1597,6
2019-10-23,1707,6
2019-10-24,1775,6
2019-10-25,2096,6
2019-10-28,1497,6
2019-10-29,1637,6
2019-10-30,1411,6
2019-10-31,1159,6
2019-11-01,2202,6
2019-11-04,1108,5
2019-11-05,1832,6
2019-11-06,1679,6
2019-11-07,2183,6
2019-11-08,1908,6
2019-11-11,1336,5
2019-11-12,1675,6
2019-11-13,1428,6
2019-11-14,1439,6
2019-11-15,2212,6
2019-11-18,1395,6
2019-11-19,1215,6
2019-11-20,1474,5
2019-11-21,1550,6
2019-11-22,2255,6
2019-11-25,1532,6
2019-11-26,1737,6
2019-11-27,1617,6
2019-11-28,1624,6
2019-11-29,2252,6
2019-12-02,1083,6
2019-12-03,1520,6
2019-12-04,1875,6
2019-12-05,1650,6
2019-12-06,1700,6
2019-12-09,1393,6
2019-12-10,1608,6
2019-12-11,1657,6
2019-12-12,1452,6
2019-12-13,1851,6
2019-12-16,1405,6
2019-12-17,1966,6
2019-12-18,1503,6
2019-12-19,1711,6
2019-12-20,2247,6
2019-12-23,1246,6
2019-12-24,712,6
2019-12-27,1164,6
2019-12-30,1322,6
2019-12-31,3774,12
2020-01-02,1217,6
2020-01-03,1284,6
2020-01-06,1477,6
2020-01-07,1391,6
2020-01-08,1460,6
2020-01-09,1160,6
