date,ridership Lakeshore West,total_train_trips Lakeshore West
2019-01-01,7056,72
2019-01-02,29978,107
2019-01-03,34463,108
2019-01-04,30343,102
2019-01-05,11118,69
2019-01-06,7836,69
2019-01-07,42187,90
2019-01-08,42896,106
2019-01-09,41465,105
2019-01-10,40761,106
2019-01-11,41271,104
2019-01-12,11577,69
2019-01-13,5926,72
2019-01-14,42713,105
2019-01-15,41707,106
2019-01-16,41405,106
2019-01-17,42655,104
2019-01-18,39972,106
2019-01-19,14370,60
2019-01-20,9199,63
2019-01-21,35471,84
2019-01-22,42574,91
2019-01-23,42879,101
2019-01-24,41582,103
2019-01-25,38931,107
2019-01-26,11005,56
2019-01-27,7187,58
2019-01-28,39264,95
2019-01-29,27793,101
2019-01-30,39718,84
2019-01-31,40225,87
2019-02-01,38114,106
2019-02-02,11554,69
2019-02-03,8198,71
2019-02-04,42072,105
2019-02-05,40818,72
2019-02-06,36154,106
2019-02-07,40549,108
2019-02-08,37851,108
2019-02-09,9389,71
2019-02-10,6963,71
2019-02-11,41929,107
2019-02-12,23715,93
2019-02-13,39563,105
2019-02-14,42824,104
2019-02-15,38828,104
2019-02-16,14571,68
2019-02-17,8472,54
2019-02-18,9534,67
2019-02-19,42059,106
2019-02-20,41730,99
2019-02-21,43068,106
2019-02-22,39987,104
2019-02-23,14420,57
2019-02-24,8499,55
2019-02-25,41610,105
2019-02-26,43782,99
2019-02-27,36785,78
2019-02-28,40370,99
2019-03-01,40420,103
2019-03-02,13055,72
2019-03-03,10596,73
2019-03-04,41091,101
2019-03-05,42482,112
2019-03-06,41225,112
2019-03-07,42816,112
2019-03-08,41563,111
2019-03-09,12920,72
2019-03-10,8561,70
2019-03-11,40700,111
2019-03-12,39808,107
2019-03-13,42244,111
2019-03-14,41896,112
2019-03-15,39191,113
2019-03-16,15502,72
2019-03-17,12709,71
2019-03-18,40508,111
2019-03-19,40361,111
2019-03-20,42936,110
2019-03-21,40751,112
2019-03-22,39711,113
2019-03-23,13017,71
2019-03-24,9772,72
2019-03-25,42849,112
2019-03-26,43049,112
2019-03-27,42366,113
2019-03-28,47026,110
2019-03-29,46107,113
2019-03-30,15037,70
2019-03-31,9243,73
2019-04-01,42786,111
2019-04-02,44296,113
2019-04-03,43745,111
2019-04-04,43186,112
2019-04-05,38808,113
2019-04-06,17242,72
2019-04-07,9068,72
2019-04-08,39993,111
2019-04-09,41926,112
2019-04-10,41083,113
2019-04-11,41782,112
2019-04-12,39363,101
2019-04-13,14534,36
2019-04-14,7529,35
2019-04-15,41868,112
2019-04-16,42638,112
2019-04-17,44106,112
2019-04-18,40153,113
2019-04-19,11452,70
2019-04-20,9136,72
2019-04-21,11507,72
2019-04-22,32616,113
2019-04-23,45477,109
2019-04-24,43995,112
2019-04-25,41388,112
2019-04-26,41707,113
2019-04-27,18794,65
2019-04-28,10955,70
