date,ridership Lakeshore West HAMILTON GO CENTRE AM Peak,total_train_trips Lakeshore West HAMILTON GO CENTRE AM Peak
2019-01-02,2751,4
2019-01-03,2786,4
2019-01-04,2469,4
2019-01-07,4433,4
2019-01-08,4486,4
2019-01-09,4317,4
2019-01-10,4337,4
2019-01-11,3721,4
2019-01-14,2907,3
2019-01-15,4553,4
2019-01-16,4332,4
2019-01-17,4277,4
2019-01-18,3622,4
2019-01-21,4554,4
2019-01-22,3552,3
2019-01-23,4273,4
2019-01-24,4186,4
2019-01-25,3712,4
2019-01-28,4314,4
2019-01-29,2598,4
2019-01-30,4257,4
2019-01-31,5045,4
2019-02-01,3489,4
2019-02-04,4244,4
2019-02-05,5551,4
2019-02-06,3559,4
2019-02-07,4120,4
2019-02-08,3653,4
2019-02-11,4311,4
2019-02-12,2672,4
2019-02-13,3731,4
2019-02-14,4224,4
2019-02-15,4090,4
2019-02-19,4365,4
2019-02-20,4237,4
2019-02-21,4159,4
2019-02-22,3662,4
2019-02-25,3983,4
2019-02-26,4392,4
2019-02-27,3638,4
2019-02-28,3879,4
2019-03-01,4610,4
2019-03-04,4415,4
2019-03-05,4521,4
2019-03-06,4389,4
2019-03-07,4316,4
2019-03-08,3676,4
2019-03-11,3798,4
2019-03-12,3814,4
2019-03-13,3040,3
2019-03-14,3531,4
2019-03-15,2882,4
2019-03-18,4134,4
2019-03-19,2357,2
2019-03-20,2232,2
2019-03-21,4088,4
2019-03-22,3516,4
2019-03-25,4402,4
2019-03-26,4439,4
2019-03-27,4348,4
2019-03-28,4171,4
2019-03-29,3629,4
2019-04-01,4297,4
2019-04-02,4432,4
2019-04-03,4355,4
2019-04-04,4265,4
2019-04-05,3763,4
2019-04-08,5636,4
2019-04-09,4350,4
2019-04-10,4218,4
2019-04-11,4261,4
2019-04-12,3550,4
2019-04-15,5291,4
2019-04-16,4428,4
2019-04-17,4301,4
2019-04-18,3875,4
2019-04-22,2990,4
2019-04-23,4375,4
2019-04-24,4189,4
2019-04-25,4333,4
2019-04-26,3566,4
2019-04-29,4236,4
2019-04-30,4348,4
2019-05-01,4030,4
2019-05-02,4180,4
2019-05-03,3527,4
2019-05-06,5494,4
2019-05-07,4362,4
2019-05-08,4391,4
2019-05-09,4434,4
2019-05-10,3721,4
2019-05-13,4453,4
2019-05-14,4488,4
2019-05-15,4393,4
2019-05-16,4416,4
2019-05-17,3283,4
2019-05-21,4497,4
2019-05-22,4380,4
2019-05-23,4443,4
2019-05-24,3724,4
2019-05-27,4385,4
2019-05-28,4541,4
2019-05-29,4427,4
2019-05-30,4381,4
2019-05-31,3686,4
2019-06-03,4455,4
2019-06-04,4478,4
2019-06-05,4251,4
2019-06-06,4368,4
2019-06-07,3535,4
2019-06-10,4294,4
2019-06-11,4171,4
2019-06-12,4410,4
2019-06-13,4245,4
2019-06-14,3405,4
2019-06-17,5700,4
2019-06-18,4579,4
2019-06-19,4364,4
2019-06-20,4327,4
2019-06-21,3603,4
