date,ridership Lakeshore West UNION STATION AM Peak,total_train_trips Lakeshore West UNION STATION AM Peak
2019-01-02,116,5
2019-01-03,126,5
2019-01-04,118,6
2019-01-07,241,5
2019-01-08,43,3
2019-01-09,206,5
2019-01-10,159,5
2019-01-11,150,6
2019-01-14,179,5
2019-01-15,153,5
2019-01-16,156,5
2019-01-17,176,4
2019-01-18,145,5
2019-01-21,16,1
2019-01-22,37,3
2019-01-23,110,4
2019-01-24,174,5
2019-01-25,157,5
2019-01-28,126,4
2019-01-29,54,4
2019-01-30,146,5
2019-01-31,139,4
2019-02-01,76,4
2019-02-04,173,5
2019-02-05,136,4
2019-02-06,209,5
2019-02-07,157,5
2019-02-08,152,5
2019-02-11,160,5
2019-02-12,151,5
2019-02-13,154,5
2019-02-14,222,5
2019-02-15,143,5
2019-02-19,174,5
2019-02-20,191,5
2019-02-21,159,5
2019-02-22,164,5
2019-02-25,173,5
2019-02-26,152,5
2019-02-27,141,5
2019-02-28,108,4
2019-03-01,152,5
2019-03-04,1061,9
2019-03-05,1031,11
2019-03-06,1045,10
2019-03-07,1020,11
2019-03-08,994,11
2019-03-11,957,9
2019-03-12,749,8
2019-03-13,978,11
2019-03-14,970,11
2019-03-15,862,11
2019-03-18,1041,11
2019-03-19,1025,11
2019-03-20,1044,11
2019-03-21,1029,11
2019-03-22,930,11
2019-03-25,1051,10
2019-03-26,1044,11
2019-03-27,1088,11
2019-03-28,1051,11
2019-03-29,972,11
2019-04-01,1098,11
2019-04-02,1042,11
2019-04-03,1062,11
2019-04-04,1094,10
2019-04-05,968,11
2019-04-08,1007,10
2019-04-09,1040,11
2019-04-10,1062,11
2019-04-11,1172,11
2019-04-12,939,11
2019-04-15,1055,11
2019-04-16,1063,11
2019-04-17,1071,11
2019-04-18,1036,11
2019-04-22,816,11
2019-04-23,1066,11
2019-04-24,1050,10
2019-04-25,1169,11
2019-04-26,906,11
2019-04-29,1029,11
2019-04-30,1086,11
2019-05-01,1044,11
2019-05-02,1062,11
2019-05-03,963,11
