date,ridership Lakeshore West UNION STATION,total_train_trips Lakeshore West UNION STATION
2019-01-01,14,1
2019-01-02,3742,10
2019-01-03,3874,10
2019-01-04,3410,10
2019-01-05,21,1
2019-01-06,15,1
2019-01-07,6987,10
2019-01-08,6614,8
2019-01-09,6676,10
2019-01-10,6575,10
2019-01-11,5986,11
2019-01-12,29,1
2019-01-13,17,1
2019-01-14,6710,9
2019-01-15,6837,10
2019-01-16,6555,10
2019-01-17,6496,9
2019-01-18,5898,10
2019-01-19,21,1
2019-01-20,12,1
2019-01-21,6210,6
2019-01-22,6900,8
2019-01-23,5562,8
2019-01-24,6549,10
2019-01-25,5759,10
2019-01-27,12,1
2019-01-28,5727,9
2019-01-29,4115,9
2019-01-30,9433,10
2019-01-31,6238,8
2019-02-01,5484,9
2019-02-02,19,1
2019-02-03,14,1
2019-02-04,6607,10
2019-02-05,6700,7
2019-02-06,5056,10
2019-02-07,6199,10
2019-02-08,5771,10
2019-02-09,31,1
2019-02-10,15,1
2019-02-11,6645,10
2019-02-12,4367,9
2019-02-13,5937,10
2019-02-14,6844,10
2019-02-15,5246,10
2019-02-16,27,1
2019-02-17,13,1
2019-02-18,21,1
2019-02-19,6655,10
2019-02-20,7510,10
2019-02-21,6266,10
2019-02-22,5685,10
2019-02-23,28,1
2019-02-24,11,1
2019-02-25,6157,10
2019-02-26,6493,10
2019-02-27,6667,8
2019-02-28,6046,8
2019-03-01,6138,10
2019-03-02,6261,37
2019-03-03,5057,37
2019-03-04,19880,50
2019-03-05,20843,56
2019-03-06,20237,55
2019-03-07,20806,56
2019-03-08,20240,56
2019-03-09,6038,37
2019-03-10,4152,36
2019-03-11,19685,54
2019-03-12,19441,52
2019-03-13,20634,56
2019-03-14,20419,56
2019-03-15,18993,56
2019-03-16,7330,37
2019-03-17,6007,37
2019-03-18,19896,56
2019-03-19,19829,56
2019-03-20,21049,56
2019-03-21,19984,56
2019-03-22,19321,56
2019-03-23,6147,37
2019-03-24,4611,37
2019-03-25,20895,55
2019-03-26,21102,56
2019-03-27,20813,56
2019-03-28,22945,54
2019-03-29,22164,56
2019-03-30,7132,36
2019-03-31,4436,37
2019-04-01,20901,55
2019-04-02,21630,56
2019-04-03,21362,55
2019-04-04,21058,55
2019-04-05,18802,56
2019-04-06,8162,37
2019-04-07,4363,37
2019-04-08,19616,55
2019-04-09,20592,55
2019-04-10,20128,56
2019-04-11,20375,56
2019-04-12,18960,51
2019-04-13,6754,19
2019-04-14,3585,18
2019-04-15,20478,56
2019-04-16,20855,56
2019-04-17,21453,55
2019-04-18,19792,56
2019-04-19,5765,36
2019-04-20,4649,37
2019-04-21,5160,37
2019-04-22,15527,56
2019-04-23,21970,55
2019-04-24,21491,55
2019-04-25,20205,55
2019-04-26,19985,56
2019-04-27,8613,34
2019-04-28,5307,36
2019-04-29,20087,56
2019-04-30,20099,56
2019-05-01,20097,56
2019-05-02,20208,55
2019-05-03,18809,53
2019-05-04,5336,20
2019-05-05,4002,20
2019-05-06,20344,56
2019-05-07,21762,56
2019-05-08,20985,55
2019-05-09,20640,56
2019-05-10,19451,52
2019-05-11,9491,37
2019-05-12,6514,36
2019-05-13,19972,55
2019-05-14,20801,55
2019-05-15,22655,56
2019-05-16,20313,55
2019-05-17,17628,55
2019-05-18,6868,40
2019-05-19,5260,40
2019-05-20,5673,41
2019-05-21,22276,48
2019-05-22,21677,56
2019-05-23,22060,56
2019-05-24,20560,56
2019-05-25,9061,37
2019-05-26,8642,37
2019-05-27,20206,56
2019-05-28,22384,56
2019-05-29,21574,54
2019-05-30,22351,56
2019-05-31,19026,53
2019-06-01,5309,20
2019-06-02,6061,23
2019-06-03,21631,55
2019-06-04,21169,56
2019-06-05,21139,56
2019-06-06,21929,56
