date,ridership Lakeshore West UNION STATION Midday,total_train_trips Lakeshore West UNION STATION Midday
2019-01-02,57,2
2019-01-03,64,2
2019-01-04,59,2
2019-01-07,80,2
2019-01-08,68,2
2019-01-09,70,2
2019-01-10,75,2
2019-01-11,90,2
2019-01-14,33,1
2019-01-15,70,2
2019-01-16,70,2
2019-01-17,74,2
2019-01-18,61,2
2019-01-21,681,2
2019-01-22,404,2
2019-01-23,91,2
2019-01-24,85,2
2019-01-25,79,2
2019-01-28,68,2
2019-01-29,75,2
2019-01-30,79,2
2019-01-31,342,1
2019-02-01,68,2
2019-02-04,78,2
2019-02-06,62,2
2019-02-07,74,2
2019-02-08,78,2
2019-02-11,222,2
2019-02-12,27,1
2019-02-13,80,2
2019-02-14,91,2
2019-02-15,66,2
2019-02-19,82,2
2019-02-20,82,2
2019-02-21,70,2
2019-02-22,81,2
2019-02-25,78,2
2019-02-26,84,2
2019-02-28,36,1
2019-03-01,73,2
2019-03-04,1553,17
2019-03-05,1613,17
2019-03-06,1673,17
2019-03-07,1773,17
2019-03-08,2228,17
2019-03-11,1900,17
2019-03-12,2098,17
2019-03-13,2086,17
2019-03-14,2196,17
2019-03-15,2292,17
2019-03-18,1659,17
2019-03-19,1608,17
2019-03-20,1672,17
2019-03-21,1752,17
2019-03-22,1948,17
2019-03-25,1639,17
2019-03-26,1697,17
2019-03-27,1843,17
2019-03-28,1917,17
2019-03-29,2297,17
2019-04-01,1622,16
2019-04-02,1710,17
2019-04-03,1692,17
2019-04-04,1733,17
2019-04-05,1957,17
2019-04-08,1606,17
2019-04-09,1694,16
2019-04-10,1622,17
2019-04-11,1799,17
2019-04-12,1907,15
2019-04-15,1662,17
2019-04-16,1717,17
2019-04-17,1714,16
2019-04-18,2474,17
2019-04-22,1446,17
2019-04-23,1632,17
2019-04-24,1694,17
2019-04-25,1743,16
2019-04-26,1854,17
2019-04-29,1499,17
2019-04-30,1587,17
2019-05-01,1548,17
2019-05-02,1592,17
2019-05-03,1816,17
2019-05-06,1523,17
2019-05-07,1564,17
2019-05-08,1625,17
2019-05-09,1743,17
2019-05-10,1771,13
2019-05-13,1491,16
2019-05-14,1629,16
2019-05-15,1645,17
2019-05-16,1787,17
2019-05-17,2784,17
2019-05-21,1940,10
2019-05-22,1855,17
2019-05-23,1789,17
2019-05-24,2072,17
2019-05-27,1660,17
2019-05-28,1585,17
2019-05-29,1673,17
2019-05-30,1827,17
2019-05-31,2280,17
2019-06-03,1598,16
2019-06-04,1612,17
2019-06-05,1592,17
2019-06-06,1805,17
2019-06-07,2354,17
2019-06-10,1636,17
2019-06-11,2000,17
2019-06-12,1799,17
2019-06-13,1796,17
2019-06-14,2514,17
2019-06-17,7460,18
2019-06-18,1764,17
2019-06-19,1788,17
2019-06-20,1839,17
2019-06-21,2425,17
2019-06-24,1816,17
2019-06-25,1766,17
2019-06-26,1830,16
2019-06-27,1970,17
2019-06-28,3251,17
2019-07-02,1587,17
2019-07-03,1730,17
2019-07-04,1691,17
2019-07-05,2280,17
2019-07-08,1552,17
2019-07-09,1436,12
2019-07-10,1704,17
2019-07-11,1839,17
2019-07-12,2893,17
2019-07-15,1637,17
2019-07-16,1709,17
2019-07-17,1707,17
2019-07-18,1929,16
2019-07-19,2573,17
2019-07-22,1610,17
2019-07-23,1698,17
2019-07-24,1777,17
2019-07-25,1764,17
2019-07-26,2431,17
2019-07-29,1741,17
2019-07-30,1637,17
2019-07-31,1824,17
2019-08-01,1838,17
2019-08-02,3038,17
2019-08-06,1534,17
2019-08-07,1722,17
2019-08-08,1776,17
2019-08-09,2427,17
2019-08-12,1701,17
2019-08-13,1751,17
2019-08-14,1908,17
2019-08-15,1901,17
2019-08-16,4066,17
2019-08-19,2667,16
2019-08-20,3015,17
2019-08-21,2487,17
2019-08-22,3500,16
2019-08-23,4207,17
2019-08-26,3588,17
2019-08-27,2277,17
2019-08-28,3589,15
2019-08-29,3554,17
2019-08-30,5174,17
2019-09-03,1755,16
2019-09-04,2004,17
2019-09-05,2037,17
2019-09-06,2364,17
2019-09-09,1888,17
2019-09-10,1906,17
2019-09-11,2008,17
2019-09-12,2045,17
2019-09-13,2489,17
2019-09-16,1962,17
2019-09-17,1940,17
2019-09-18,2024,17
2019-09-19,2334,17
2019-09-20,2535,17
2019-09-23,1950,17
2019-09-24,1978,17
2019-09-25,2057,17
2019-09-26,2087,16
2019-09-27,2657,17
2019-09-30,1947,17
2019-10-01,1914,17
2019-10-02,1938,17
2019-10-03,2035,17
2019-10-04,2474,17
2019-10-07,1932,17
2019-10-08,2041,16
2019-10-09,2017,17
2019-10-10,2223,17
2019-10-11,3364,17
2019-10-15,1943,17
2019-10-16,1929,17
2019-10-17,1983,16
2019-10-18,2431,17
2019-10-21,1989,17
2019-10-22,1796,17
2019-10-23,1894,17
2019-10-24,2065,17
2019-10-25,2317,17
2019-10-28,1960,16
2019-10-29,1951,17
2019-10-30,2006,17
2019-10-31,2293,17
2019-11-01,2492,17
2019-11-04,2090,17
2019-11-05,2234,17
2019-11-06,2342,17
2019-11-07,2481,17
2019-11-08,2756,17
2019-11-11,2145,16
2019-11-12,2020,13
2019-11-13,1962,17
2019-11-14,2125,17
2019-11-15,2330,16
2019-11-18,1847,17
2019-11-19,1921,16
2019-11-20,1978,17
2019-11-21,2173,17
2019-11-22,2575,17
2019-11-25,2118,17
2019-11-26,2143,17
2019-11-27,2198,17
2019-11-28,2294,17
2019-11-29,2562,17
2019-12-02,2191,17
2019-12-03,2099,16
2019-12-04,2040,17
2019-12-05,2092,17
2019-12-06,2541,17
2019-12-09,1931,17
2019-12-10,1913,17
2019-12-11,2059,17
2019-12-12,2130,17
2019-12-13,2340,17
2019-12-16,1781,17
2019-12-17,1771,17
2019-12-18,1890,17
2019-12-19,2011,17
2019-12-20,2471,17
2019-12-23,2146,17
2019-12-24,4448,19
2019-12-27,1414,17
2019-12-30,1521,17
2019-12-31,5949,38
2020-01-02,1461,17
2020-01-03,1576,17
2020-01-06,1666,17
2020-01-07,1656,17
2020-01-08,1801,17
2020-01-09,1850,17
2020-01-10,2076,17
2020-01-13,1753,17
2020-01-14,1760,17
2020-01-15,1891,17
2020-01-16,1951,17
2020-01-17,2122,17
2020-01-20,1895,17
2020-01-21,1877,17
2020-01-22,2018,17
2020-01-23,2074,17
2020-01-24,2319,17
2020-01-27,1772,17
2020-01-28,1871,17
2020-01-29,1900,17
2020-01-30,1989,17
2020-01-31,2074,17
2020-02-03,1784,17
2020-02-04,1749,17
2020-02-05,1812,17
2020-02-06,1805,17
2020-02-07,2103,17
2020-02-10,1770,17
2020-02-11,1756,17
2020-02-12,1866,17
2020-02-13,1956,17
2020-02-14,2387,17
2020-02-18,1691,17
2020-02-19,1767,17
2020-02-20,1788,17
2020-02-21,2190,17
2020-02-24,1666,17
2020-02-25,1742,17
2020-02-26,2052,16
2020-02-27,1817,17
2020-02-28,1904,17
2020-03-02,1576,10
2020-03-03,1789,17
2020-03-04,2092,17
2020-03-05,1925,17
2020-03-06,2072,17
2020-03-09,1670,15
2020-03-10,1690,17
2020-03-11,1787,17
2020-03-12,1744,17
2020-03-13,1660,17
2020-03-16,747,17
2020-03-17,452,17
2020-03-18,353,12
2020-03-19,289,12
2020-03-20,305,12
2020-03-23,185,12
2020-03-24,137,12
2020-03-25,122,12
2020-03-26,122,12
2020-03-27,145,12
2020-03-30,109,12
2020-03-31,128,12
2020-04-01,119,12
2020-04-02,111,12
2020-04-03,120,12
2020-04-06,90,11
2020-04-07,83,12
2020-04-08,93,6
2020-04-09,99,6
2020-04-13,71,6
2020-04-14,86,6
2020-04-15,91,6
2020-04-16,80,6
2020-04-17,102,6
2020-04-20,95,6
2020-04-21,95,6
2020-04-22,88,6
2020-04-23,31,1
2020-04-24,106,6
2020-04-27,93,6
2020-04-28,102,6
2020-04-29,110,6
2020-04-30,103,6
2020-05-01,126,6
2020-05-04,114,6
2020-05-05,109,6
2020-05-06,127,6
2020-05-07,119,6
2020-05-08,121,6
2020-05-11,93,6
2020-05-12,111,6
2020-05-13,123,6
2020-05-14,122,6
2020-05-15,147,6
2020-05-19,143,6
2020-05-20,165,6
2020-05-21,147,6
2020-05-22,187,6
2020-05-25,155,6
2020-05-26,137,6
2020-05-27,166,6
2020-05-28,155,6
2020-05-29,191,6
2020-06-01,190,6
2020-06-02,160,6
2020-06-03,171,6
2020-06-04,208,6
2020-06-05,241,6
2020-06-08,233,6
2020-06-09,215,6
2020-06-10,219,6
2020-06-11,235,6
2020-06-12,280,6
2020-06-15,217,6
2020-06-16,233,6
2020-06-17,257,6
2020-06-18,257,6
2020-06-19,366,6
2020-06-22,240,6
2020-06-23,269,6
2020-06-24,274,6
2020-06-25,285,6
2020-06-26,374,6
2020-06-29,314,6
2020-06-30,353,6
2020-07-02,348,6
2020-07-03,404,6
2020-07-06,328,6
2020-07-07,314,6
2020-07-08,330,6
2020-07-09,345,6
2020-07-10,402,6
2020-07-13,340,6
2020-07-14,388,6
2020-07-15,339,6
2020-07-16,354,6
2020-07-17,499,6
2020-07-20,361,6
2020-07-21,344,6
2020-07-22,301,6
2020-07-23,367,6
2020-07-24,464,6
2020-07-27,345,6
2020-07-28,386,6
2020-07-29,362,6
2020-07-30,411,6
2020-07-31,559,6
2020-08-04,377,6
2020-08-05,426,6
2020-08-06,442,6
2020-08-07,496,6
2020-08-10,390,6
2020-08-11,397,6
2020-08-12,444,6
2020-08-13,513,6
2020-08-14,623,6
2020-08-17,456,6
2020-08-18,463,6
2020-08-19,520,6
2020-08-20,561,6
2020-08-21,672,6
2020-08-24,523,6
2020-08-25,494,6
2020-08-26,529,6
2020-08-27,540,6
2020-08-28,713,7
2020-08-31,547,6
2020-09-01,491,6
2020-09-02,496,6
2020-09-03,565,6
2020-09-04,731,6
2020-09-08,520,12
2020-09-09,539,12
2020-09-10,588,12
2020-09-11,637,12
2020-09-14,504,12
2020-09-15,485,12
2020-09-16,542,12
2020-09-17,537,12
2020-09-18,657,12
2020-09-21,480,12
2020-09-22,517,12
2020-09-23,489,12
2020-09-24,544,12
2020-09-25,659,12
2020-09-28,502,12
2020-09-29,471,12
2020-09-30,479,12
2020-10-01,518,12
2020-10-02,564,12
2020-10-05,449,12
2020-10-06,415,12
2020-10-07,443,12
2020-10-08,514,12
2020-10-09,633,12
2020-10-13,491,12
2020-10-14,470,12
2020-10-15,467,12
2020-10-16,534,12
2020-10-19,410,12
2020-10-20,450,12
2020-10-21,448,12
2020-10-22,462,12
2020-10-23,565,12
2020-10-26,461,12
2020-10-27,447,12
2020-10-28,513,12
2020-10-29,486,12
2020-10-30,584,12
2020-11-02,439,12
2020-11-03,438,12
2020-11-04,476,12
2020-11-05,458,12
2020-11-06,611,12
2020-11-09,499,12
2020-11-10,497,12
2020-11-11,467,12
2020-11-12,495,12
2020-11-13,600,12
2020-11-16,440,12
2020-11-17,434,12
2020-11-18,400,12
2020-11-19,433,12
2020-11-20,535,8
2020-11-23,371,12
2020-11-24,367,12
2020-11-25,397,12
2020-11-26,439,12
2020-11-27,515,12
2020-11-30,414,12
2020-12-01,373,11
2020-12-02,386,12
2020-12-03,423,12
2020-12-04,496,12
2020-12-07,375,12
2020-12-08,428,12
2020-12-09,395,12
2020-12-10,429,12
2020-12-11,458,12
2020-12-14,401,12
2020-12-15,402,12
2020-12-16,394,12
2020-12-17,383,12
2020-12-18,504,12
2020-12-21,406,12
2020-12-22,461,12
2020-12-23,503,12
2020-12-24,670,12
2020-12-28,199,7
2020-12-29,293,12
2020-12-30,265,12
2020-12-31,449,12
2021-01-04,264,12
2021-01-05,277,12
2021-01-06,297,12
2021-01-07,283,12
2021-01-08,293,12
2021-01-11,293,12
2021-01-12,266,12
2021-01-13,293,12
2021-01-14,224,12
2021-01-15,262,12
