date,ridership Lakeshore West UNION STATION PM Peak,total_train_trips Lakeshore West UNION STATION PM Peak
2019-01-02,3569,3
2019-01-03,3684,3
2019-01-04,3233,2
2019-01-07,6666,3
2019-01-08,6503,3
2019-01-09,6400,3
2019-01-10,6341,3
2019-01-11,5746,3
2019-01-14,6498,3
2019-01-15,6614,3
2019-01-16,6329,3
2019-01-17,6246,3
2019-01-18,5692,3
2019-01-21,5513,3
2019-01-22,6459,3
2019-01-23,5361,2
2019-01-24,6290,3
2019-01-25,5523,3
2019-01-28,5533,3
2019-01-29,3986,3
2019-01-30,9208,3
2019-01-31,5757,3
2019-02-01,5340,3
2019-02-04,6356,3
2019-02-05,6564,3
2019-02-06,4785,3
2019-02-07,5968,3
2019-02-08,5541,3
2019-02-11,6263,3
2019-02-12,4189,3
2019-02-13,5703,3
2019-02-14,6531,3
2019-02-15,5037,3
2019-02-19,6399,3
2019-02-20,7237,3
2019-02-21,6037,3
2019-02-22,5440,3
2019-02-25,5906,3
2019-02-26,6257,3
2019-02-27,6526,3
2019-02-28,5902,3
2019-03-01,5913,3
2019-03-04,11316,10
2019-03-05,11787,12
2019-03-06,11738,12
2019-03-07,11344,12
2019-03-08,10511,12
2019-03-11,10910,12
2019-03-12,10896,11
2019-03-13,10626,12
2019-03-14,10330,12
2019-03-15,9214,12
2019-03-18,11520,12
2019-03-19,11715,12
2019-03-20,11486,12
2019-03-21,11357,12
2019-03-22,10442,12
2019-03-25,12018,12
2019-03-26,11987,12
2019-03-27,11828,12
2019-03-28,11498,11
2019-03-29,10828,12
2019-04-01,11856,12
2019-04-02,11862,12
2019-04-03,11760,11
2019-04-04,11437,12
2019-04-05,10691,12
2019-04-08,11959,12
2019-04-09,12005,12
2019-04-10,11622,12
2019-04-11,11518,12
2019-04-12,10135,12
2019-04-15,11719,12
2019-04-16,11854,12
2019-04-17,11506,12
2019-04-18,11030,12
2019-04-22,8347,12
2019-04-23,12060,11
2019-04-24,11849,12
2019-04-25,11517,12
2019-04-26,10094,12
2019-04-29,11950,12
2019-04-30,11881,12
2019-05-01,11682,12
2019-05-02,11543,12
2019-05-03,10566,12
2019-05-06,12283,12
2019-05-07,12150,12
2019-05-08,12029,11
2019-05-09,11938,12
2019-05-10,10794,12
2019-05-13,12163,12
2019-05-14,12391,12
