date,ridership Milton,total_train_trips Milton
2019-01-02,14600,20
2019-01-03,15327,20
2019-01-04,13328,20
2019-01-07,20580,20
2019-01-08,20777,20
2019-01-09,20593,20
2019-01-10,20543,20
2019-01-11,18081,20
2019-01-14,21091,20
2019-01-15,21290,20
2019-01-16,20721,20
2019-01-17,20464,20
2019-01-18,17877,20
2019-01-21,18508,20
2019-01-22,20681,18
2019-01-23,20281,20
2019-01-24,20611,20
2019-01-25,17840,20
2019-01-28,17735,18
2019-01-29,11806,20
2019-01-30,19758,20
2019-01-31,19319,20
2019-02-01,17495,20
2019-02-04,20812,20
2019-02-05,20761,20
2019-02-06,17001,20
2019-02-07,20100,20
2019-02-08,17591,20
2019-02-11,20824,20
2019-02-12,10896,20
2019-02-13,17651,20
2019-02-14,20785,20
2019-02-15,16621,20
2019-02-19,20182,20
2019-02-20,20017,20
2019-02-21,19246,20
2019-02-22,17219,20
2019-02-25,17465,14
2019-02-26,20057,20
2019-02-27,17198,20
2019-02-28,19879,20
2019-03-01,17902,20
2019-03-04,20299,19
2019-03-05,20501,20
2019-03-06,20237,20
2019-03-07,20231,20
2019-03-08,17571,20
2019-03-11,18437,20
2019-03-12,18980,20
2019-03-13,18261,20
2019-03-14,18003,20
2019-03-15,15278,19
2019-03-18,19974,20
2019-03-19,20396,20
2019-03-20,20059,20
2019-03-21,19534,20
2019-03-22,17157,20
2019-03-25,20533,20
2019-03-26,20839,20
2019-03-27,20195,20
2019-03-28,19987,20
2019-03-29,17350,20
2019-04-01,20575,20
2019-04-02,20837,20
2019-04-03,20186,20
2019-04-04,19933,20
2019-04-05,17341,20
2019-04-08,20224,20
2019-04-09,20425,20
2019-04-10,20014,20
2019-04-11,19702,20
2019-04-12,16755,20
2019-04-15,19963,20
2019-04-16,20215,20
2019-04-17,19799,20
2019-04-18,17603,20
2019-04-22,14046,20
2019-04-23,20172,20
2019-04-24,19754,20
2019-04-25,19368,20
2019-04-26,16271,20
2019-04-29,19469,20
2019-04-30,19679,20
2019-05-01,18951,19
2019-05-02,19204,20
2019-05-03,16416,20
2019-05-06,20071,20
2019-05-07,20307,20
2019-05-08,20099,20
2019-05-09,19961,20
2019-05-10,17196,20
2019-05-13,19907,20
2019-05-14,20414,20
2019-05-15,19925,20
2019-05-16,19827,20
2019-05-17,14627,20
2019-05-21,20024,20
2019-05-22,20161,20
2019-05-23,19927,20
2019-05-24,16992,20
2019-05-27,19796,20
2019-05-28,20192,20
2019-05-29,20163,20
2019-05-30,20019,20
2019-05-31,16627,20
2019-06-03,20108,20
2019-06-04,19191,20
2019-06-05,19125,20
2019-06-06,18415,19
2019-06-07,16880,20
2019-06-10,19527,20
2019-06-11,20183,20
2019-06-12,20278,20
2019-06-13,19690,20
2019-06-14,16116,20
2019-06-17,24170,19
2019-06-18,20665,20
2019-06-19,20279,20
2019-06-20,19660,20
2019-06-21,16358,20
2019-06-24,19999,20
2019-06-25,20135,19
2019-06-26,19621,20
2019-06-27,18981,20
2019-06-28,13609,20
2019-07-02,18475,20
2019-07-03,19443,20
2019-07-04,18892,20
2019-07-05,15673,20
2019-07-08,19656,20
2019-07-09,20167,20
2019-07-10,19327,20
2019-07-11,19465,20
2019-07-12,15922,19
2019-07-15,19486,20
2019-07-16,20079,20
2019-07-17,19271,20
2019-07-18,19177,20
2019-07-19,15493,20
2019-07-20,28,2
2019-07-21,42,2
2019-07-22,19402,20
2019-07-23,20097,20
2019-07-24,19613,20
2019-07-25,19094,20
2019-07-26,15301,20
2019-07-29,19041,20
2019-07-30,19407,20
2019-07-31,19119,20
2019-08-01,18745,20
2019-08-02,12662,20
2019-08-03,152,2
2019-08-06,18341,20
2019-08-07,18813,20
2019-08-08,18446,20
2019-08-09,14917,20
2019-08-12,18222,20
2019-08-13,19556,20
2019-08-14,19030,20
2019-08-15,18559,20
2019-08-16,14960,20
2019-08-19,18455,20
2019-08-20,19165,20
2019-08-21,9534,10
2019-08-22,17961,20
2019-08-23,14598,20
2019-08-26,17771,20
2019-08-27,18642,20
2019-08-28,18131,20
2019-08-29,17180,20
2019-08-30,11807,20
2019-08-31,177,2
2019-09-01,128,2
2019-09-02,104,2
2019-09-03,18399,20
2019-09-04,20955,20
2019-09-05,20777,20
2019-09-06,17637,20
2019-09-09,21130,20
2019-09-10,21415,20
2019-09-11,20898,19
2019-09-12,20690,20
2019-09-13,17583,20
2019-09-16,21050,20
2019-09-17,21543,20
2019-09-18,21090,20
2019-09-19,21119,20
2019-09-20,17465,20
2019-09-23,20922,20
2019-09-24,21335,20
2019-09-25,21097,20
2019-09-26,20796,20
2019-09-27,17528,20
2019-09-30,20916,20
2019-10-01,21475,20
2019-10-02,20969,20
2019-10-03,20898,20
2019-10-04,17685,20
2019-10-07,20796,20
2019-10-08,21613,20
2019-10-09,21129,20
2019-10-10,20979,20
2019-10-11,14957,20
2019-10-15,20415,20
2019-10-16,19904,20
2019-10-17,19950,20
2019-10-18,17107,20
2019-10-21,20547,20
2019-10-22,20846,20
2019-10-23,20625,20
2019-10-24,20376,20
2019-10-25,17129,20
2019-10-28,20397,20
2019-10-29,21476,20
2019-10-30,21064,20
2019-10-31,20259,20
2019-11-01,17334,20
2019-11-04,21168,20
2019-11-05,21551,20
2019-11-06,21411,20
2019-11-07,20412,20
2019-11-08,16856,20
2019-11-11,12084,20
2019-11-12,20050,20
2019-11-13,20838,20
2019-11-14,20305,20
2019-11-15,16989,20
2019-11-17,108,2
2019-11-18,20536,20
2019-11-19,21274,20
2019-11-20,20696,20
2019-11-21,20241,19
2019-11-22,16870,20
2019-11-25,20697,20
2019-11-26,21221,19
2019-11-27,20462,20
2019-11-28,19751,20
2019-11-29,15702,20
2019-12-02,18615,20
2019-12-03,20549,20
2019-12-04,20246,20
2019-12-05,19577,20
2019-12-06,15922,20
2019-12-09,19910,20
2019-12-10,20248,20
2019-12-11,19675,20
2019-12-12,18760,20
2019-12-13,15248,20
2019-12-16,18282,20
2019-12-17,18536,20
2019-12-18,17481,20
2019-12-19,16725,20
2019-12-20,13279,20
2019-12-23,9799,20
2019-12-24,5204,20
2019-12-27,4412,19
2019-12-30,7579,20
2019-12-31,9387,40
2020-01-02,12047,20
2020-01-03,10723,20
2020-01-06,20152,19
2020-01-07,20540,20
2020-01-08,20238,20
2020-01-09,20349,20
2020-01-10,17599,20
2020-01-13,21071,20
2020-01-14,21332,20
2020-01-15,20728,20
2020-01-16,20658,20
2020-01-17,14296,19
2020-01-20,20347,20
2020-01-21,21364,20
2020-01-22,22241,20
2020-01-23,20819,20
2020-01-24,17570,20
2020-01-27,20642,20
2020-01-28,20871,20
2020-01-29,20149,20
2020-01-30,20114,20
2020-01-31,16429,20
2020-02-03,20548,20
2020-02-04,20510,20
2020-02-05,20616,20
2020-02-06,18359,19
2020-02-07,16572,20
2020-02-10,20443,20
2020-02-11,20727,20
2020-02-12,20643,20
2020-02-13,19990,20
2020-02-14,14537,20
2020-02-18,19642,20
2020-02-19,19987,20
2020-02-20,19663,20
2020-02-21,15772,20
2020-02-24,20747,20
2020-02-25,16247,15
2020-02-26,16991,20
2020-02-27,18071,20
2020-02-28,16874,20
2020-03-02,20725,20
2020-03-03,20863,20
2020-03-04,20284,20
2020-03-05,19915,20
2020-03-06,16511,20
2020-03-09,18892,20
2020-03-10,19037,20
2020-03-11,18225,20
2020-03-12,16447,20
2020-03-13,10986,20
2020-03-16,4852,20
2020-03-17,2707,20
2020-03-18,1616,12
2020-03-19,1209,12
2020-03-20,889,12
2020-03-23,716,12
2020-03-24,581,12
2020-03-25,470,12
2020-03-26,446,12
2020-03-27,381,12
2020-03-30,396,12
2020-03-31,397,12
2020-04-01,385,12
2020-04-02,355,12
2020-04-03,309,12
2020-04-06,304,12
2020-04-07,290,12
2020-04-08,298,8
2020-04-09,266,8
2020-04-13,189,8
2020-04-14,258,8
2020-04-15,259,8
2020-04-16,254,8
2020-04-17,222,8
2020-04-20,261,8
2020-04-21,251,8
2020-04-22,263,8
2020-04-23,260,8
2020-04-24,218,8
2020-04-27,264,8
2020-04-28,251,8
2020-04-29,263,8
2020-04-30,258,8
2020-05-01,244,8
2020-05-04,261,8
2020-05-05,257,8
2020-05-06,248,8
2020-05-07,236,8
2020-05-08,220,8
2020-05-11,237,8
2020-05-12,230,8
2020-05-13,248,8
2020-05-14,242,8
2020-05-15,213,8
2020-05-19,287,8
2020-05-20,285,8
2020-05-21,257,8
2020-05-22,227,8
2020-05-25,265,8
2020-05-26,257,8
2020-05-27,245,8
2020-05-28,236,8
2020-05-29,222,8
2020-06-01,277,8
2020-06-02,275,8
2020-06-03,286,8
2020-06-04,307,8
2020-06-05,240,8
2020-06-08,281,8
2020-06-09,302,8
2020-06-10,289,8
2020-06-11,335,8
2020-06-12,273,8
2020-06-15,351,8
2020-06-16,342,8
2020-06-17,327,8
2020-06-18,351,8
2020-06-19,317,8
2020-06-22,363,8
2020-06-23,364,8
2020-06-24,369,8
2020-06-25,352,8
2020-06-26,318,8
2020-06-29,382,8
2020-06-30,398,8
2020-07-02,386,8
2020-07-03,346,8
2020-07-06,451,8
2020-07-07,450,8
2020-07-08,448,8
2020-07-09,454,8
2020-07-10,390,8
2020-07-13,439,8
2020-07-14,473,8
2020-07-15,490,8
2020-07-16,473,8
2020-07-17,445,8
2020-07-20,411,8
2020-07-21,436,8
2020-07-22,415,8
2020-07-23,443,8
2020-07-24,372,8
2020-07-27,441,8
2020-07-28,467,8
2020-07-29,468,8
2020-07-30,478,8
2020-07-31,404,8
2020-08-04,508,8
2020-08-05,518,8
