date,ridership Milton MILTON GO AM Peak,total_train_trips Milton MILTON GO AM Peak
2019-01-02,5814,8
2019-01-03,6011,8
2019-01-04,5306,8
2019-01-07,8170,8
2019-01-08,8265,8
2019-01-09,8213,8
2019-01-10,8134,8
2019-01-11,7137,8
2019-01-14,8289,8
2019-01-15,8381,8
2019-01-16,8067,8
2019-01-17,8025,8
2019-01-18,7034,8
2019-01-21,7132,8
2019-01-22,8234,7
2019-01-23,7723,8
2019-01-24,8023,8
2019-01-25,7132,8
2019-01-28,6826,7
2019-01-29,4438,8
2019-01-30,7774,8
2019-01-31,7548,8
2019-02-01,6929,8
2019-02-04,8134,8
2019-02-05,8358,8
2019-02-06,7010,8
2019-02-07,7815,8
2019-02-08,7093,8
2019-02-11,8023,8
2019-02-12,5043,8
2019-02-13,6563,8
2019-02-14,8025,8
2019-02-15,6544,8
2019-02-19,7996,8
2019-02-20,8019,8
2019-02-21,7724,8
2019-02-22,6945,8
2019-02-25,7497,8
2019-02-26,7686,8
2019-02-27,6894,8
2019-02-28,7614,8
2019-03-01,7165,8
2019-03-04,8052,8
2019-03-05,8516,8
2019-03-06,8093,8
2019-03-07,8084,8
2019-03-08,7093,8
2019-03-11,7009,8
2019-03-12,7431,8
2019-03-13,7175,8
2019-03-14,7047,8
2019-03-15,5998,8
2019-03-18,7800,8
2019-03-19,7862,8
2019-03-20,7904,8
2019-03-21,7573,8
2019-03-22,6826,8
2019-03-25,8134,8
2019-03-26,8335,8
2019-03-27,8089,8
2019-03-28,7898,8
2019-03-29,6919,8
2019-04-01,8015,8
2019-04-02,8317,8
2019-04-03,8060,8
2019-04-04,7965,8
2019-04-05,6926,8
2019-04-08,7826,8
2019-04-09,8162,8
2019-04-10,7968,8
2019-04-11,7893,8
2019-04-12,6795,8
2019-04-15,7858,8
2019-04-16,8197,8
2019-04-17,7969,8
2019-04-18,7187,8
2019-04-22,5625,8
2019-04-23,8146,8
2019-04-24,7911,8
2019-04-25,7899,8
2019-04-26,6416,8
2019-04-29,7743,8
2019-04-30,7893,8
2019-05-01,7555,8
2019-05-02,7600,8
2019-05-03,6559,8
2019-05-06,8055,8
2019-05-07,8118,8
2019-05-08,8100,8
2019-05-09,8051,8
2019-05-10,6845,8
2019-05-13,7852,8
2019-05-14,8195,8
2019-05-15,8034,8
2019-05-16,7992,8
2019-05-17,6111,8
2019-05-21,8129,8
2019-05-22,8101,8
2019-05-23,8032,8
2019-05-24,6839,8
2019-05-27,7840,8
2019-05-28,7875,8
2019-05-29,8033,8
2019-05-30,8010,8
2019-05-31,6602,8
2019-06-03,7928,8
2019-06-04,7860,8
2019-06-05,7572,8
2019-06-06,7058,7
2019-06-07,6859,8
2019-06-10,7683,8
2019-06-11,7898,8
2019-06-12,8051,8
2019-06-13,7662,8
2019-06-14,6337,8
2019-06-17,8635,7
2019-06-18,8309,8
2019-06-19,8152,8
2019-06-20,7838,8
2019-06-21,6686,8
2019-06-24,7882,8
2019-06-25,7111,7
2019-06-26,8012,8
2019-06-27,7741,8
2019-06-28,5670,8
2019-07-02,7396,8
