date,ridership Milton MILTON GO,total_train_trips Milton MILTON GO
2019-01-02,7304,10
2019-01-03,7665,10
2019-01-04,6737,10
2019-01-07,10407,10
2019-01-08,10533,10
2019-01-09,10459,10
2019-01-10,10454,10
2019-01-11,9277,10
2019-01-14,10675,10
2019-01-15,10851,10
2019-01-16,10524,10
2019-01-17,10484,10
2019-01-18,9176,10
2019-01-21,9325,10
2019-01-22,10508,8
2019-01-23,10307,10
2019-01-24,10534,10
2019-01-25,9175,10
2019-01-28,8856,9
2019-01-29,5921,10
2019-01-30,9918,10
2019-01-31,9859,10
2019-02-01,8962,10
2019-02-04,10592,10
2019-02-05,10594,10
2019-02-06,8912,10
2019-02-07,10333,10
2019-02-08,9048,10
2019-02-11,10583,10
2019-02-12,5913,10
2019-02-13,8897,10
2019-02-14,10532,10
2019-02-15,8620,10
2019-02-19,10263,10
2019-02-20,10173,10
2019-02-21,9877,10
2019-02-22,8893,10
2019-02-25,9730,10
2019-02-26,9979,10
2019-02-27,8752,10
2019-02-28,10128,10
2019-03-01,9267,10
2019-03-04,10357,10
2019-03-05,10706,10
2019-03-06,10373,10
2019-03-07,10434,10
2019-03-08,9087,10
2019-03-11,9293,10
2019-03-12,9636,10
2019-03-13,9328,10
2019-03-14,9230,10
2019-03-15,7857,10
2019-03-18,10179,10
2019-03-19,10326,10
2019-03-20,10227,10
2019-03-21,9838,10
2019-03-22,8840,10
2019-03-25,10453,10
2019-03-26,10661,10
2019-03-27,10305,10
2019-03-28,10223,10
2019-03-29,8949,10
2019-04-01,10442,10
2019-04-02,10614,10
2019-04-03,10311,10
2019-04-04,10222,10
2019-04-05,8938,10
2019-04-08,10193,10
2019-04-09,10397,10
2019-04-10,10232,10
2019-04-11,10072,10
2019-04-12,8605,10
2019-04-15,10130,10
2019-04-16,10298,10
2019-04-17,10085,10
2019-04-18,9121,10
2019-04-22,7123,10
2019-04-23,10304,10
2019-04-24,10055,10
2019-04-25,9947,10
2019-04-26,8335,10
2019-04-29,9875,10
2019-04-30,9990,10
2019-05-01,9645,10
2019-05-02,9791,10
2019-05-03,8420,10
2019-05-06,10145,10
2019-05-07,10293,10
2019-05-08,10217,10
2019-05-09,10177,10
2019-05-10,8803,10
2019-05-13,10070,10
2019-05-14,10361,10
2019-05-15,10119,10
2019-05-16,10098,10
2019-05-17,7660,10
2019-05-21,10185,10
2019-05-22,10233,10
2019-05-23,10139,10
2019-05-24,8756,10
2019-05-27,9983,10
2019-05-28,10049,10
