date,ridership Milton MILTON GO Midday,total_train_trips Milton MILTON GO Midday
2019-01-02,1490,2
2019-01-03,1654,2
2019-01-04,1431,2
2019-01-07,2237,2
2019-01-08,2268,2
2019-01-09,2246,2
2019-01-10,2320,2
2019-01-11,2140,2
2019-01-14,2386,2
2019-01-15,2470,2
2019-01-16,2457,2
2019-01-17,2459,2
2019-01-18,2142,2
2019-01-21,2193,2
2019-01-22,2274,1
2019-01-23,2584,2
2019-01-24,2511,2
2019-01-25,2043,2
2019-01-28,2030,2
2019-01-29,1483,2
2019-01-30,2144,2
2019-01-31,2311,2
2019-02-01,2033,2
2019-02-04,2458,2
2019-02-05,2236,2
2019-02-06,1902,2
2019-02-07,2518,2
2019-02-08,1955,2
2019-02-11,2560,2
2019-02-12,870,2
2019-02-13,2334,2
2019-02-14,2507,2
2019-02-15,2076,2
2019-02-19,2267,2
2019-02-20,2154,2
2019-02-21,2153,2
2019-02-22,1948,2
2019-02-25,2233,2
2019-02-26,2293,2
2019-02-27,1858,2
2019-02-28,2514,2
2019-03-01,2102,2
2019-03-04,2305,2
2019-03-05,2190,2
2019-03-06,2280,2
2019-03-07,2350,2
2019-03-08,1994,2
2019-03-11,2284,2
2019-03-12,2205,2
2019-03-13,2153,2
2019-03-14,2183,2
2019-03-15,1859,2
2019-03-18,2379,2
2019-03-19,2464,2
2019-03-20,2323,2
2019-03-21,2265,2
2019-03-22,2014,2
2019-03-25,2319,2
2019-03-26,2326,2
2019-03-27,2216,2
2019-03-28,2325,2
2019-03-29,2030,2
2019-04-01,2427,2
2019-04-02,2297,2
2019-04-03,2251,2
2019-04-04,2257,2
2019-04-05,2012,2
2019-04-08,2367,2
2019-04-09,2235,2
2019-04-10,2264,2
2019-04-11,2179,2
2019-04-12,1810,2
2019-04-15,2272,2
2019-04-16,2101,2
2019-04-17,2116,2
2019-04-18,1934,2
2019-04-22,1498,2
2019-04-23,2158,2
2019-04-24,2144,2
2019-04-25,2048,2
2019-04-26,1919,2
2019-04-29,2132,2
2019-04-30,2097,2
2019-05-01,2090,2
2019-05-02,2191,2
2019-05-03,1861,2
2019-05-06,2090,2
2019-05-07,2175,2
2019-05-08,2117,2
2019-05-09,2126,2
2019-05-10,1958,2
2019-05-13,2218,2
2019-05-14,2166,2
2019-05-15,2085,2
2019-05-16,2106,2
2019-05-17,1549,2
2019-05-21,2056,2
2019-05-22,2132,2
2019-05-23,2107,2
2019-05-24,1917,2
2019-05-27,2143,2
2019-05-28,2174,2
2019-05-29,2232,2
2019-05-30,2217,2
2019-05-31,1936,2
2019-06-03,2223,2
2019-06-04,1903,2
2019-06-05,2090,2
2019-06-06,2081,2
2019-06-07,1843,2
2019-06-10,2294,2
2019-06-11,2237,2
2019-06-12,2288,2
2019-06-13,2353,2
2019-06-14,1952,2
2019-06-17,4244,2
2019-06-18,2202,2
2019-06-19,2232,2
2019-06-20,2245,2
2019-06-21,1779,2
2019-06-24,2244,2
2019-06-25,3111,2
2019-06-26,2083,2
2019-06-27,2043,2
2019-06-28,1577,2
2019-07-02,1975,2
2019-07-03,2020,2
2019-07-04,2034,2
2019-07-05,1763,2
2019-07-08,2090,2
2019-07-09,2107,2
2019-07-10,1948,2
2019-07-11,2161,2
2019-07-12,1834,2
2019-07-15,2061,2
2019-07-16,2154,2
2019-07-17,2166,2
2019-07-18,2119,2
2019-07-19,1715,2
2019-07-22,2146,2
2019-07-23,2050,2
2019-07-24,2140,2
2019-07-25,2144,2
2019-07-26,1756,2
2019-07-29,2074,2
2019-07-30,2178,2
2019-07-31,2038,2
2019-08-01,2109,2
2019-08-02,1469,2
2019-08-06,1950,2
2019-08-07,2111,2
2019-08-08,2017,2
2019-08-09,1742,2
2019-08-12,2103,2
2019-08-13,2095,2
2019-08-14,2271,2
2019-08-15,2079,2
2019-08-16,1762,2
2019-08-19,1998,2
2019-08-20,2113,2
2019-08-21,2099,2
2019-08-22,2083,2
2019-08-23,1841,2
2019-08-26,1961,2
2019-08-27,2179,2
2019-08-28,2115,2
2019-08-29,2022,2
2019-08-30,1463,2
