date,ridership Milton UNION STATION,total_train_trips Milton UNION STATION
2019-01-02,7296,10
2019-01-03,7662,10
2019-01-04,6591,10
2019-01-07,10173,10
2019-01-08,10244,10
2019-01-09,10134,10
2019-01-10,10089,10
2019-01-11,8804,10
2019-01-14,10416,10
2019-01-15,10439,10
2019-01-16,10197,10
2019-01-17,9980,10
2019-01-18,8701,10
2019-01-21,9183,10
2019-01-22,10173,10
2019-01-23,9974,10
2019-01-24,10077,10
2019-01-25,8665,10
2019-01-28,8879,9
2019-01-29,5885,10
2019-01-30,9840,10
2019-01-31,9460,10
2019-02-01,8533,10
2019-02-04,10220,10
2019-02-05,10167,10
2019-02-06,8089,10
2019-02-07,9767,10
2019-02-08,8543,10
2019-02-11,10241,10
2019-02-12,4983,10
2019-02-13,8754,10
2019-02-14,10253,10
2019-02-15,8001,10
2019-02-19,9919,10
2019-02-20,9844,10
2019-02-21,9369,10
2019-02-22,8326,10
2019-02-25,7735,4
2019-02-26,10078,10
2019-02-27,8446,10
2019-02-28,9751,10
2019-03-01,8635,10
2019-03-04,9942,9
2019-03-05,9795,10
2019-03-06,9864,10
2019-03-07,9797,10
2019-03-08,8484,10
2019-03-11,9144,10
2019-03-12,9344,10
2019-03-13,8933,10
2019-03-14,8773,10
2019-03-15,7421,9
2019-03-18,9795,10
2019-03-19,10070,10
2019-03-20,9832,10
2019-03-21,9696,10
2019-03-22,8317,10
2019-03-25,10080,10
2019-03-26,10178,10
2019-03-27,9890,10
2019-03-28,9764,10
2019-03-29,8401,10
2019-04-01,10133,10
2019-04-02,10223,10
2019-04-03,9875,10
2019-04-04,9711,10
2019-04-05,8403,10
2019-04-08,10031,10
2019-04-09,10028,10
2019-04-10,9782,10
2019-04-11,9630,10
2019-04-12,8150,10
2019-04-15,9833,10
2019-04-16,9917,10
2019-04-17,9714,10
2019-04-18,8482,10
2019-04-22,6923,10
2019-04-23,9868,10
2019-04-24,9699,10
2019-04-25,9421,10
2019-04-26,7936,10
2019-04-29,9594,10
2019-04-30,9689,10
2019-05-01,9306,9
2019-05-02,9413,10
2019-05-03,7996,10
2019-05-06,9926,10
2019-05-07,10014,10
2019-05-08,9882,10
2019-05-09,9784,10
2019-05-10,8393,10
2019-05-13,9837,10
2019-05-14,10053,10
2019-05-15,9806,10
2019-05-16,9729,10
2019-05-17,6967,10
2019-05-21,9839,10
2019-05-22,9928,10
2019-05-23,9788,10
2019-05-24,8236,10
2019-05-27,9813,10
2019-05-28,10143,10
2019-05-29,9898,10
2019-05-30,9792,10
2019-05-31,8089,10
2019-06-03,9957,10
2019-06-04,9428,10
2019-06-05,9463,10
2019-06-06,9276,10
2019-06-07,8178,10
2019-06-10,9550,10
2019-06-11,10048,10
2019-06-12,9939,10
2019-06-13,9675,10
2019-06-14,7827,10
2019-06-17,11291,10
2019-06-18,10154,10
2019-06-19,9895,10
2019-06-20,9577,10
2019-06-21,7893,10
2019-06-24,9873,10
2019-06-25,9913,10
2019-06-26,9526,10
2019-06-27,9197,10
2019-06-28,6362,10
2019-07-02,9104,10
2019-07-03,9544,10
2019-07-04,9225,10
2019-07-05,7513,10
2019-07-08,9682,10
2019-07-09,9884,10
2019-07-10,9693,10
2019-07-11,9501,10
2019-07-12,7590,9
2019-07-15,9637,10
2019-07-16,9887,10
2019-07-17,9481,10
2019-07-18,9305,10
2019-07-19,7466,10
2019-07-20,18,1
2019-07-21,31,1
2019-07-22,9597,10
2019-07-23,9868,10
2019-07-24,9584,10
2019-07-25,9273,10
2019-07-26,7334,10
2019-07-29,9423,10
2019-07-30,9549,10
2019-07-31,9334,10
2019-08-01,9230,10
2019-08-02,5998,10
2019-08-03,56,1
2019-08-06,9012,10
2019-08-07,9222,10
2019-08-08,9020,10
2019-08-09,7155,10
2019-08-12,9037,10
2019-08-13,9591,10
2019-08-14,9416,10
2019-08-15,9101,10
2019-08-16,7172,10
2019-08-19,9150,10
2019-08-20,9433,10
2019-08-22,8848,10
2019-08-23,7015,10
2019-08-26,8853,10
2019-08-27,9176,10
2019-08-28,8876,10
2019-08-29,8359,10
2019-08-30,5526,10
2019-08-31,86,1
2019-09-01,55,1
2019-09-02,45,1
2019-09-03,9128,10
2019-09-04,10297,10
2019-09-05,10164,10
2019-09-06,8509,10
2019-09-09,10327,10
2019-09-10,10460,10
2019-09-11,10181,9
2019-09-12,10034,10
2019-09-13,8536,10
2019-09-16,10350,10
2019-09-17,10586,10
2019-09-18,10318,10
2019-09-19,10216,10
2019-09-20,8438,10
2019-09-23,10295,10
2019-09-24,10383,10
2019-09-25,10248,10
2019-09-26,10088,10
2019-09-27,8512,10
2019-09-30,10245,10
2019-10-01,10490,10
2019-10-02,10248,10
2019-10-03,10195,10
2019-10-04,8574,10
2019-10-07,10210,10
2019-10-08,10561,10
2019-10-09,10329,10
2019-10-10,10227,10
2019-10-11,7119,10
2019-10-15,9995,10
2019-10-16,9781,10
2019-10-17,9720,10
2019-10-18,8364,10
2019-10-21,10236,10
2019-10-22,10204,10
2019-10-23,10066,10
2019-10-24,9923,10
2019-10-25,8326,10
2019-10-28,10019,10
2019-10-29,10522,10
2019-10-30,10336,10
2019-10-31,9986,10
2019-11-01,8441,10
2019-11-04,10480,10
2019-11-05,10564,10
2019-11-06,10501,10
2019-11-07,9932,10
2019-11-08,8124,10
2019-11-11,5927,10
2019-11-12,9948,10
2019-11-13,10275,10
2019-11-14,9936,10
2019-11-15,8370,10
2019-11-17,54,1
2019-11-18,10149,10
2019-11-19,10462,10
2019-11-20,10129,10
2019-11-21,9860,10
2019-11-22,8157,10
2019-11-25,10190,10
2019-11-26,10376,10
2019-11-27,10028,10
2019-11-28,9587,10
2019-11-29,7538,10
2019-12-02,9036,10
2019-12-03,10107,10
2019-12-04,9837,10
2019-12-05,9334,10
2019-12-06,7580,10
2019-12-09,9712,10
2019-12-10,9822,10
2019-12-11,9473,10
2019-12-12,8944,10
2019-12-13,7215,10
2019-12-16,8994,10
2019-12-17,9047,10
2019-12-18,8540,10
2019-12-19,8049,10
2019-12-20,6399,10
2019-12-23,4930,10
2019-12-24,2530,10
2019-12-27,2203,10
2019-12-30,3805,10
2019-12-31,4388,18
2020-01-02,6045,10
2020-01-03,5322,10
