date,ridership Milton UNION STATION Evening,total_train_trips Milton UNION STATION Evening
2019-01-02,821,2
2019-01-03,1002,2
2019-01-04,863,2
2019-01-07,1311,2
2019-01-08,1471,2
2019-01-09,1440,2
2019-01-10,1486,2
2019-01-11,1249,2
2019-01-14,1549,2
2019-01-15,1558,2
2019-01-16,1634,2
2019-01-17,1569,2
2019-01-18,1215,2
2019-01-21,1471,2
2019-01-22,1621,2
2019-01-23,1632,2
2019-01-24,1593,2
2019-01-25,1273,2
2019-01-28,1232,2
2019-01-29,1005,2
2019-01-30,1687,2
2019-01-31,1619,2
2019-02-01,1344,2
2019-02-04,1508,2
2019-02-05,1624,2
2019-02-06,1208,2
2019-02-07,1556,2
2019-02-08,1290,2
2019-02-11,1618,2
2019-02-12,466,2
2019-02-13,1487,2
2019-02-14,1506,2
2019-02-15,1105,2
2019-02-19,1545,2
2019-02-20,1449,2
2019-02-21,1501,2
2019-02-22,1139,2
2019-02-25,4782,1
2019-02-26,1604,2
2019-02-27,1083,2
2019-02-28,1628,2
2019-03-01,1324,2
2019-03-04,1701,2
2019-03-05,1676,2
2019-03-06,1519,2
2019-03-07,1623,2
2019-03-08,1243,2
2019-03-11,1424,2
2019-03-12,1565,2
2019-03-13,1436,2
2019-03-14,1424,2
2019-03-15,1121,2
2019-03-18,1466,2
2019-03-19,1532,2
2019-03-20,1538,2
2019-03-21,1507,2
2019-03-22,1226,2
2019-03-25,1463,2
2019-03-26,1554,2
2019-03-27,1545,2
2019-03-28,1596,2
2019-03-29,1229,2
2019-04-01,1524,2
2019-04-02,1583,2
2019-04-03,1565,2
2019-04-04,1465,2
2019-04-05,1145,2
2019-04-08,1453,2
2019-04-09,1464,2
2019-04-10,1484,2
2019-04-11,1506,2
2019-04-12,1086,2
2019-04-15,1418,2
2019-04-16,1452,2
2019-04-17,1468,2
2019-04-18,1127,2
2019-04-22,1013,2
2019-04-23,1315,2
2019-04-24,1503,2
2019-04-25,1458,2
2019-04-26,1104,2
2019-04-29,1327,2
2019-04-30,1472,2
2019-05-01,1397,2
2019-05-02,1435,2
2019-05-03,1073,2
2019-05-06,1219,2
2019-05-07,1324,2
2019-05-08,1366,2
2019-05-09,1342,2
2019-05-10,1083,2
2019-05-13,1296,2
2019-05-14,1373,2
2019-05-15,1350,2
2019-05-16,1366,2
2019-05-17,758,2
2019-05-21,1297,2
2019-05-22,1365,2
2019-05-23,1425,2
2019-05-24,1032,2
2019-05-27,1234,2
2019-05-28,1395,2
2019-05-29,1405,2
2019-05-30,1354,2
2019-05-31,1079,2
2019-06-03,1322,2
2019-06-04,1224,2
2019-06-05,1325,2
2019-06-06,1463,2
2019-06-07,1038,2
2019-06-10,1201,2
2019-06-11,1426,2
2019-06-12,1448,2
2019-06-13,1315,2
2019-06-14,1016,2
2019-06-17,1471,2
2019-06-18,1359,2
2019-06-19,1404,2
2019-06-20,1306,2
2019-06-21,1043,2
2019-06-24,1398,2
2019-06-25,1433,2
2019-06-26,1420,2
2019-06-27,1362,2
2019-06-28,721,2
2019-07-02,1217,2
2019-07-03,1381,2
2019-07-04,1309,2
2019-07-05,957,2
2019-07-08,1259,2
2019-07-09,1359,2
2019-07-10,1364,2
2019-07-11,1359,2
2019-07-12,937,2
2019-07-15,1256,2
2019-07-16,1283,2
2019-07-17,1377,2
2019-07-18,1422,2
2019-07-19,920,2
2019-07-22,1295,2
2019-07-23,1290,2
2019-07-24,1336,2
2019-07-25,1294,2
2019-07-26,899,2
2019-07-29,1214,2
2019-07-30,1301,2
2019-07-31,1364,2
2019-08-01,1376,2
2019-08-02,681,2
2019-08-06,1166,2
2019-08-07,1290,2
2019-08-08,1319,2
2019-08-09,880,2
2019-08-12,1249,2
2019-08-13,1306,2
2019-08-14,1354,2
2019-08-15,1241,2
2019-08-16,877,2
2019-08-19,1129,2
2019-08-20,1248,2
2019-08-22,1322,2
2019-08-23,893,2
2019-08-26,1192,2
2019-08-27,1252,2
2019-08-28,1306,2
2019-08-29,1210,2
2019-08-30,689,2
2019-09-03,1407,2
2019-09-04,1567,2
2019-09-05,1662,2
2019-09-06,1173,2
2019-09-09,1568,2
2019-09-10,1553,2
2019-09-11,1543,2
2019-09-12,1641,2
2019-09-13,1176,2
2019-09-16,1453,2
2019-09-17,1624,2
2019-09-18,1599,2
2019-09-19,1616,2
2019-09-20,1239,2
2019-09-23,1436,2
2019-09-24,1524,2
2019-09-25,1623,2
2019-09-26,1580,2
2019-09-27,1211,2
2019-09-30,1521,2
2019-10-01,1469,2
2019-10-02,1562,2
2019-10-03,1639,2
2019-10-04,1193,2
2019-10-07,1475,2
2019-10-08,1591,2
2019-10-09,1581,2
2019-10-10,1626,2
2019-10-11,915,2
2019-10-15,1448,2
2019-10-16,1428,2
2019-10-17,1431,2
2019-10-18,1177,2
2019-10-21,1286,2
2019-10-22,1533,2
2019-10-23,1573,2
2019-10-24,1500,2
2019-10-25,1082,2
2019-10-28,1436,2
2019-10-29,1583,2
2019-10-30,1532,2
2019-10-31,1257,2
2019-11-01,1118,2
2019-11-04,1467,2
2019-11-05,1479,2
2019-11-06,1449,2
2019-11-07,1560,2
2019-11-08,1070,2
2019-11-11,799,2
2019-11-12,1481,2
2019-11-13,1558,2
2019-11-14,1459,2
2019-11-15,1359,2
2019-11-18,1366,2
2019-11-19,1541,2
2019-11-20,1502,2
2019-11-21,1529,2
2019-11-22,1130,2
2019-11-25,1452,2
2019-11-26,1537,2
2019-11-27,1553,2
2019-11-28,1494,2
2019-11-29,1055,2
2019-12-02,1343,2
2019-12-03,1496,2
2019-12-04,1516,2
2019-12-05,1460,2
2019-12-06,1156,2
2019-12-09,1389,2
2019-12-10,1481,2
2019-12-11,1416,2
2019-12-12,1414,2
2019-12-13,992,2
2019-12-16,1313,2
2019-12-17,1327,2
2019-12-18,1272,2
2019-12-19,1291,2
2019-12-20,869,2
2019-12-23,620,2
2019-12-24,154,2
2019-12-27,257,2
2019-12-30,449,2
2019-12-31,171,4
2020-01-02,662,2
2020-01-03,621,2
2020-01-06,1236,2
2020-01-07,1354,2
2020-01-08,1385,2
2020-01-09,1442,2
2020-01-10,1149,2
2020-01-13,1545,2
2020-01-14,1525,2
2020-01-15,1521,2
2020-01-16,1569,2
2020-01-17,1065,2
2020-01-20,1535,2
2020-01-21,1543,2
2020-01-22,1602,2
2020-01-23,1586,2
2020-01-24,1173,2
2020-01-27,1474,2
2020-01-28,1502,2
2020-01-29,1576,2
2020-01-30,1613,2
2020-01-31,1168,2
2020-02-03,1500,2
2020-02-04,1573,2
2020-02-05,1608,2
2020-02-06,1471,2
2020-02-07,1198,2
2020-02-10,1501,2
2020-02-11,1554,2
2020-02-12,1597,2
2020-02-13,1561,2
2020-02-14,1045,2
2020-02-18,1362,2
2020-02-19,1488,2
2020-02-20,1514,2
2020-02-21,1116,2
2020-02-24,1490,2
2020-02-25,1383,1
2020-02-26,1231,2
2020-02-27,1525,2
2020-02-28,1202,2
2020-03-02,1559,2
2020-03-03,1509,2
2020-03-04,1531,2
2020-03-05,1741,2
2020-03-06,1122,2
2020-03-09,1392,2
2020-03-10,1421,2
2020-03-11,1362,2
2020-03-12,1289,2
2020-03-13,879,2
2020-03-16,328,2
2020-03-17,178,2
2020-03-18,78,1
2020-03-19,48,1
2020-03-20,49,1
2020-03-23,41,1
2020-03-24,22,1
2020-03-25,16,1
2020-03-26,16,1
2020-03-27,14,1
