date,ridership Milton UNION STATION PM Peak,total_train_trips Milton UNION STATION PM Peak
2019-01-02,6475,8
2019-01-03,6660,8
2019-01-04,5728,8
2019-01-07,8862,8
2019-01-08,8773,8
2019-01-09,8694,8
2019-01-10,8603,8
2019-01-11,7555,8
2019-01-14,8867,8
2019-01-15,8881,8
2019-01-16,8563,8
2019-01-17,8411,8
2019-01-18,7486,8
2019-01-21,7712,8
2019-01-22,8552,8
2019-01-23,8342,8
2019-01-24,8484,8
2019-01-25,7392,8
2019-01-28,7647,7
2019-01-29,4880,8
2019-01-30,8153,8
2019-01-31,7841,8
2019-02-01,7189,8
2019-02-04,8712,8
2019-02-05,8543,8
2019-02-06,6881,8
2019-02-07,8211,8
2019-02-08,7253,8
2019-02-11,8623,8
2019-02-12,4517,8
2019-02-13,7267,8
2019-02-14,8747,8
2019-02-15,6896,8
2019-02-19,8374,8
2019-02-20,8395,8
2019-02-21,7868,8
2019-02-22,7187,8
2019-02-25,2953,3
2019-02-26,8474,8
2019-02-27,7363,8
2019-02-28,8123,8
2019-03-01,7311,8
2019-03-04,8241,7
2019-03-05,8119,8
2019-03-06,8345,8
2019-03-07,8174,8
2019-03-08,7241,8
2019-03-11,7720,8
2019-03-12,7779,8
2019-03-13,7497,8
2019-03-14,7349,8
2019-03-15,6300,7
2019-03-18,8329,8
2019-03-19,8538,8
2019-03-20,8294,8
2019-03-21,8189,8
2019-03-22,7091,8
2019-03-25,8617,8
2019-03-26,8624,8
2019-03-27,8345,8
2019-03-28,8168,8
2019-03-29,7172,8
2019-04-01,8609,8
2019-04-02,8640,8
2019-04-03,8310,8
2019-04-04,8246,8
2019-04-05,7258,8
2019-04-08,8578,8
2019-04-09,8564,8
2019-04-10,8298,8
2019-04-11,8124,8
2019-04-12,7064,8
2019-04-15,8415,8
2019-04-16,8465,8
2019-04-17,8246,8
2019-04-18,7355,8
2019-04-22,5910,8
2019-04-23,8553,8
2019-04-24,8196,8
2019-04-25,7963,8
2019-04-26,6832,8
2019-04-29,8267,8
2019-04-30,8217,8
2019-05-01,7909,7
2019-05-02,7978,8
2019-05-03,6923,8
2019-05-06,8707,8
2019-05-07,8690,8
2019-05-08,8516,8
2019-05-09,8442,8
2019-05-10,7310,8
2019-05-13,8541,8
2019-05-14,8680,8
2019-05-15,8456,8
2019-05-16,8363,8
2019-05-17,6209,8
2019-05-21,8542,8
2019-05-22,8563,8
2019-05-23,8363,8
2019-05-24,7204,8
2019-05-27,8579,8
2019-05-28,8748,8
2019-05-29,8493,8
2019-05-30,8438,8
2019-05-31,7010,8
2019-06-03,8635,8
2019-06-04,8204,8
2019-06-05,8138,8
2019-06-06,7813,8
