date,ridership Richmond Hill,total_train_trips Richmond Hill
2019-01-02,5940,12
2019-01-03,6139,12
2019-01-04,5396,12
2019-01-07,8417,12
2019-01-08,8401,12
2019-01-09,8295,12
2019-01-10,8209,12
2019-01-11,7166,12
2019-01-14,8524,12
2019-01-15,8479,12
2019-01-16,8219,12
2019-01-17,8184,12
2019-01-18,6928,12
2019-01-21,6739,11
2019-01-22,8295,12
2019-01-23,7629,12
2019-01-24,8234,12
2019-01-25,7227,12
2019-01-28,8031,12
2019-01-29,5248,12
2019-01-30,8155,12
2019-01-31,6766,12
2019-02-01,6839,12
2019-02-04,8162,12
2019-02-05,8007,12
2019-02-06,7432,12
2019-02-07,7925,12
2019-02-08,7082,12
2019-02-11,8369,12
2019-02-12,4948,12
2019-02-13,7484,12
2019-02-14,8161,12
2019-02-15,6637,12
2019-02-19,8165,12
2019-02-20,8107,12
2019-02-21,7797,12
2019-02-22,6965,12
2019-02-25,7904,12
2019-02-26,7505,12
2019-02-27,7480,12
2019-02-28,7959,12
2019-03-01,7135,12
2019-03-04,8317,11
2019-03-05,8352,12
2019-03-06,8222,12
2019-03-07,8011,11
2019-03-08,7130,12
2019-03-11,7408,12
2019-03-12,7348,12
2019-03-13,7201,12
2019-03-14,6996,12
2019-03-15,5901,12
2019-03-18,8164,12
2019-03-19,8245,12
2019-03-20,7864,12
2019-03-21,7846,12
2019-03-22,6944,12
2019-03-25,8369,12
2019-03-26,8247,12
2019-03-27,8112,12
2019-03-28,8010,12
2019-03-29,7020,12
2019-04-01,8375,12
2019-04-02,8446,12
2019-04-03,8277,12
2019-04-04,8105,12
2019-04-05,7021,12
2019-04-08,8258,12
2019-04-09,7786,12
2019-04-10,8137,12
2019-04-11,8085,12
2019-04-12,6878,12
2019-04-15,8139,12
2019-04-16,8173,12
2019-04-17,7912,12
2019-04-18,7165,12
2019-04-22,5936,12
2019-04-23,8186,12
2019-04-24,8051,12
2019-04-25,7825,12
2019-04-26,6586,12
2019-04-29,8066,12
2019-04-30,7974,12
2019-05-01,7770,12
2019-05-02,7756,12
2019-05-03,6673,12
2019-05-06,8363,12
2019-05-07,8314,12
2019-05-08,8101,12
2019-05-09,7988,12
2019-05-10,6903,12
2019-05-13,8225,12
2019-05-14,8261,12
2019-05-15,8063,12
2019-05-16,8048,12
2019-05-17,5888,12
2019-05-21,8068,12
2019-05-22,8102,12
2019-05-23,8030,12
2019-05-24,6977,12
2019-05-27,8115,12
2019-05-28,7945,11
2019-05-29,8172,12
2019-05-30,8128,12
2019-05-31,6877,12
2019-06-03,8039,12
2019-06-04,8275,12
2019-06-05,8228,12
2019-06-06,7913,12
2019-06-07,6747,12
2019-06-10,7948,12
2019-06-11,8057,12
2019-06-12,8054,12
2019-06-13,7806,12
2019-06-14,6564,12
2019-06-17,8964,12
2019-06-18,8162,12
2019-06-19,8032,12
2019-06-20,7854,12
2019-06-21,6495,12
2019-06-24,8167,12
2019-06-25,8255,12
2019-06-26,8205,12
2019-06-27,7070,11
2019-06-28,5487,12
2019-07-02,7658,12
2019-07-03,7945,12
2019-07-04,7787,12
2019-07-05,6480,12
2019-07-08,8340,12
2019-07-09,8305,12
2019-07-10,8132,12
2019-07-11,7909,12
2019-07-12,6572,12
2019-07-15,8056,12
2019-07-16,8140,12
2019-07-17,7891,12
2019-07-18,7855,12
2019-07-19,6464,12
2019-07-22,7986,12
2019-07-23,8115,12
2019-07-24,8002,12
2019-07-25,7858,12
2019-07-26,6239,12
2019-07-29,7943,12
2019-07-30,7971,12
2019-07-31,7987,12
2019-08-01,7853,12
2019-08-02,5216,12
2019-08-06,7658,12
2019-08-07,7773,12
2019-08-08,7633,12
2019-08-09,6116,12
2019-08-12,7756,12
2019-08-13,7912,12
2019-08-14,7716,12
2019-08-15,7572,12
2019-08-16,6175,12
2019-08-19,7645,12
2019-08-20,7697,12
2019-08-21,7487,12
2019-08-22,7278,12
2019-08-23,5806,12
2019-08-26,7012,12
2019-08-27,7199,12
