date,ridership Richmond Hill UNION STATION,total_train_trips Richmond Hill UNION STATION
2019-01-02,2997,7
2019-01-03,3114,7
2019-01-04,2711,7
2019-01-07,4233,7
2019-01-08,4240,7
2019-01-09,4154,7
2019-01-10,4098,7
2019-01-11,3561,7
2019-01-14,4280,7
2019-01-15,4254,7
2019-01-16,4124,7
2019-01-17,4079,7
2019-01-18,3440,7
2019-01-21,3417,7
2019-01-22,4168,7
2019-01-23,3933,7
2019-01-24,4124,7
2019-01-25,3549,7
2019-01-28,4000,7
2019-01-29,2642,7
2019-01-30,4055,7
2019-01-31,3495,7
2019-02-01,3397,7
2019-02-04,4093,7
2019-02-05,3983,7
2019-02-06,3651,7
2019-02-07,3935,7
2019-02-08,3503,7
2019-02-11,4176,7
2019-02-12,2348,7
2019-02-13,3720,7
2019-02-14,4083,7
2019-02-15,3269,7
2019-02-19,4094,7
2019-02-20,4054,7
2019-02-21,3887,7
2019-02-22,3448,7
2019-02-25,3935,7
2019-02-26,4135,7
2019-02-27,3719,7
2019-02-28,3956,7
2019-03-01,3528,7
2019-03-04,4122,6
2019-03-05,4166,7
2019-03-06,4086,7
2019-03-07,3963,6
2019-03-08,3553,7
2019-03-11,3711,7
2019-03-12,3674,7
2019-03-13,3581,7
2019-03-14,3495,7
2019-03-15,2918,7
2019-03-18,4080,7
2019-03-19,4138,7
2019-03-20,3912,7
2019-03-21,3933,7
2019-03-22,3428,7
2019-03-25,4182,7
2019-03-26,4121,7
2019-03-27,4052,7
2019-03-28,4005,7
2019-03-29,3451,7
2019-04-01,4190,7
2019-04-02,4250,7
2019-04-03,4142,7
2019-04-04,4050,7
2019-04-05,3511,7
2019-04-08,4148,7
2019-04-09,3693,7
2019-04-10,4067,7
2019-04-11,4030,7
2019-04-12,3398,7
2019-04-15,4083,7
2019-04-16,4086,7
2019-04-17,3932,7
2019-04-18,3534,7
2019-04-22,2971,7
2019-04-23,4090,7
2019-04-24,4023,7
2019-04-25,3898,7
2019-04-26,3286,7
2019-04-29,4018,7
2019-04-30,4003,7
2019-05-01,3895,7
2019-05-02,3887,7
2019-05-03,3282,7
2019-05-06,4193,7
2019-05-07,4171,7
2019-05-08,4040,7
2019-05-09,3942,7
2019-05-10,3434,7
2019-05-13,4147,7
2019-05-14,4135,7
2019-05-15,4027,7
2019-05-16,3999,7
2019-05-17,2856,7
2019-05-21,4020,7
2019-05-22,4051,7
2019-05-23,4014,7
2019-05-24,3457,7
2019-05-27,4086,7
2019-05-28,3837,6
2019-05-29,4100,7
2019-05-30,4055,7
2019-05-31,3407,7
2019-06-03,4009,7
2019-06-04,4147,7
2019-06-05,4230,7
2019-06-06,3929,7
2019-06-07,3286,7
2019-06-10,3977,7
2019-06-11,4079,7
2019-06-12,4007,7
2019-06-13,3911,7
2019-06-14,3289,7
2019-06-17,4287,7
2019-06-18,4075,7
2019-06-19,3983,7
2019-06-20,3900,7
2019-06-21,3191,7
2019-06-24,4113,7
2019-06-25,4131,7
2019-06-26,4058,7
