date,ridership Richmond Hill UNION STATION PM Peak,total_train_trips Richmond Hill UNION STATION PM Peak
2019-01-02,2374,4
2019-01-03,2392,4
2019-01-04,2089,4
2019-01-07,3227,4
2019-01-08,3190,4
2019-01-09,3103,4
2019-01-10,3049,4
2019-01-11,2769,4
2019-01-14,3172,4
2019-01-15,3192,4
2019-01-16,3001,4
2019-01-17,3001,4
2019-01-18,2662,4
2019-01-21,2487,4
2019-01-22,3078,4
2019-01-23,2843,4
2019-01-24,2985,4
2019-01-25,2707,4
2019-01-28,3443,4
2019-01-29,1926,4
2019-01-30,2949,4
2019-01-31,2504,4
2019-02-01,2561,4
2019-02-04,3141,4
2019-02-05,2924,4
2019-02-06,2823,4
2019-02-07,2873,4
2019-02-08,2678,4
2019-02-11,3106,4
2019-02-12,1958,4
2019-02-13,2722,4
2019-02-14,3082,4
2019-02-15,2529,4
2019-02-19,3028,4
2019-02-20,3021,4
2019-02-21,2852,4
2019-02-22,2646,4
2019-02-25,2914,4
2019-02-26,3025,4
2019-02-27,2954,4
2019-02-28,2843,4
2019-03-01,2651,4
2019-03-04,2846,3
2019-03-05,3030,4
2019-03-06,2961,4
2019-03-07,2861,4
2019-03-08,2680,4
2019-03-11,2715,4
2019-03-12,2650,4
2019-03-13,2577,4
2019-03-14,2529,4
2019-03-15,2212,4
2019-03-18,2991,4
2019-03-19,3039,4
2019-03-20,2909,4
2019-03-21,2866,4
2019-03-22,2622,4
2019-03-25,3090,4
2019-03-26,3072,4
2019-03-27,2936,4
2019-03-28,2935,4
2019-03-29,2611,4
2019-04-01,3089,4
2019-04-02,3143,4
2019-04-03,3019,4
2019-04-04,2964,4
2019-04-05,2709,4
2019-04-08,3081,4
2019-04-09,2870,4
2019-04-10,2995,4
2019-04-11,2968,4
2019-04-12,2620,4
2019-04-15,3091,4
2019-04-16,3093,4
2019-04-17,2881,4
2019-04-18,2750,4
2019-04-22,2221,4
2019-04-23,3116,4
2019-04-24,2998,4
2019-04-25,2899,4
2019-04-26,2555,4
2019-04-29,3005,4
2019-04-30,2963,4
2019-05-01,2908,4
2019-05-02,2886,4
2019-05-03,2530,4
2019-05-06,3205,4
2019-05-07,3181,4
2019-05-08,3043,4
2019-05-09,2946,4
2019-05-10,2687,4
2019-05-13,3134,4
2019-05-14,3089,4
2019-05-15,3035,4
2019-05-16,2986,4
2019-05-17,2343,4
2019-05-21,3046,4
2019-05-22,3007,4
2019-05-23,3023,4
2019-05-24,2737,4
2019-05-27,3171,4
2019-05-28,3140,4
2019-05-29,3075,4
2019-05-30,3085,4
2019-05-31,2687,4
2019-06-03,3030,4
2019-06-04,3183,4
2019-06-05,3233,4
2019-06-06,2970,4
2019-06-07,2478,4
2019-06-10,3134,4
2019-06-11,3124,4
2019-06-12,3034,4
2019-06-13,2971,4
2019-06-14,2584,4
2019-06-17,3382,4
2019-06-18,3066,4
2019-06-19,3020,4
2019-06-20,2918,4
2019-06-21,2527,4
2019-06-24,3139,4
2019-06-25,3118,4
2019-06-26,3036,4
2019-06-27,2649,4
2019-06-28,2181,4
2019-07-02,2903,4
2019-07-03,2970,4
2019-07-04,2963,4
2019-07-05,2481,4
2019-07-08,3196,4
2019-07-09,3143,4
2019-07-10,3002,4
2019-07-11,2929,4
2019-07-12,2548,4
