date,ridership Stouffville,total_train_trips Stouffville
2019-01-02,9087,29
2019-01-03,9671,30
2019-01-04,8636,30
2019-01-07,12448,26
2019-01-08,12580,28
2019-01-09,12537,28
2019-01-10,12391,28
2019-01-11,11168,28
2019-01-14,12666,28
2019-01-15,12962,28
2019-01-16,12702,28
2019-01-17,12520,28
2019-01-18,10880,28
2019-01-21,10287,26
2019-01-22,12791,28
2019-01-23,12534,28
2019-01-24,12587,28
2019-01-25,11228,28
2019-01-28,12573,27
2019-01-29,9140,28
2019-01-30,12422,27
2019-01-31,12801,28
2019-02-01,10970,28
2019-02-04,12330,27
2019-02-05,12475,26
2019-02-06,11841,28
2019-02-07,12332,28
2019-02-08,11302,28
2019-02-11,12641,28
2019-02-12,8248,28
2019-02-13,11544,28
2019-02-14,12832,28
2019-02-15,10867,28
2019-02-19,12406,28
2019-02-20,12301,28
2019-02-21,12009,28
2019-02-22,10924,28
2019-02-25,11985,28
2019-02-26,11571,28
2019-02-27,11986,28
2019-02-28,12413,28
2019-03-01,11219,28
2019-03-04,12154,23
2019-03-05,12772,28
2019-03-06,12549,28
2019-03-07,12350,28
2019-03-08,11082,28
2019-03-11,11780,28
2019-03-12,11640,28
2019-03-13,11465,28
2019-03-14,11324,28
2019-03-15,9998,28
2019-03-18,12298,27
2019-03-19,12741,28
2019-03-20,12362,28
2019-03-21,12258,27
2019-03-22,10895,28
2019-03-25,12647,28
2019-03-26,12862,28
2019-03-27,12497,28
2019-03-28,12435,28
2019-03-29,11044,28
2019-04-01,12527,28
2019-04-02,12670,28
2019-04-03,12560,28
2019-04-04,12302,28
2019-04-05,10913,28
2019-04-08,12311,28
2019-04-09,12441,24
2019-04-10,12301,28
2019-04-11,12262,28
2019-04-12,10597,28
2019-04-15,12261,28
2019-04-16,12432,28
2019-04-17,12269,28
2019-04-18,11479,28
2019-04-22,9255,28
2019-04-23,12196,22
2019-04-24,12331,28
2019-04-25,11964,28
2019-04-26,10414,28
2019-04-29,11962,28
2019-04-30,12057,28
2019-05-01,11575,28
2019-05-02,11731,28
2019-05-03,10369,28
2019-05-06,12198,28
2019-05-07,12424,28
2019-05-08,12243,28
2019-05-09,12251,28
2019-05-10,10728,28
2019-05-13,12013,28
2019-05-14,12471,28
2019-05-15,12275,28
2019-05-16,12027,28
2019-05-17,9618,28
2019-05-21,12178,28
2019-05-22,12377,28
2019-05-23,12369,28
2019-05-24,10679,28
2019-05-27,12155,28
2019-05-28,12386,28
2019-05-29,12336,28
2019-05-30,12261,28
2019-05-31,10760,28
2019-06-03,12118,28
2019-06-04,12213,23
2019-06-05,12429,28
2019-06-06,12241,28
2019-06-07,10879,28
2019-06-10,12025,28
2019-06-11,12275,28
2019-06-12,12500,28
2019-06-13,12044,28
2019-06-14,10225,28
2019-06-17,17103,28
2019-06-18,12569,28
2019-06-19,12510,28
2019-06-20,12296,28
2019-06-21,10618,28
2019-06-24,12150,28
2019-06-25,12327,28
2019-06-26,12328,28
2019-06-27,11614,28
2019-06-28,9139,28
2019-07-02,11505,28
2019-07-03,12136,28
2019-07-04,11927,28
2019-07-05,10408,28
2019-07-08,12228,28
2019-07-09,12776,28
2019-07-10,12387,28
2019-07-11,12092,28
2019-07-12,10750,28
2019-07-15,12155,24
2019-07-16,12513,28
2019-07-17,12121,28
2019-07-18,12286,28
2019-07-19,10403,28
2019-07-22,12140,28
2019-07-23,12473,28
2019-07-24,12327,28
2019-07-25,12197,28
2019-07-26,10355,28
