date,ridership Stouffville MOUNT JOY GO,total_train_trips Stouffville MOUNT JOY GO
2019-04-08,196,5
2019-04-09,169,3
2019-04-10,229,5
2019-04-11,213,5
2019-04-12,213,5
2019-04-15,215,5
2019-04-16,218,5
2019-04-17,280,5
2019-04-18,263,5
2019-04-22,269,5
2019-04-23,175,2
2019-04-24,304,5
2019-04-25,233,5
2019-04-26,269,5
2019-04-29,206,5
2019-04-30,208,5
2019-05-01,212,5
2019-05-02,229,5
2019-05-03,254,5
2019-05-06,199,5
2019-05-07,250,5
2019-05-08,235,5
2019-05-09,227,5
2019-05-10,219,5
2019-05-13,191,5
2019-05-14,203,5
2019-05-15,236,5
2019-05-16,230,5
2019-05-17,233,5
2019-05-21,240,5
2019-05-22,239,5
2019-05-23,228,5
2019-05-24,227,5
2019-05-27,204,5
2019-05-28,216,5
2019-05-29,223,5
2019-05-30,247,5
2019-05-31,230,5
2019-06-03,216,5
2019-06-04,162,4
2019-06-05,209,5
2019-06-06,260,5
2019-06-07,317,5
2019-06-10,327,5
2019-06-11,235,5
2019-06-12,238,5
2019-06-13,257,5
2019-06-14,224,5
2019-06-17,332,5
2019-06-18,218,5
2019-06-19,266,5
2019-06-20,290,5
2019-06-21,270,5
2019-06-24,214,5
2019-06-25,234,5
2019-06-26,285,5
2019-06-27,263,5
2019-06-28,271,5
2019-07-02,225,5
2019-07-03,289,5
2019-07-04,288,5
2019-07-05,273,5
2019-07-08,224,5
2019-07-09,264,5
2019-07-10,244,5
2019-07-11,227,5
2019-07-12,260,5
2019-07-15,187,3
2019-07-16,226,5
2019-07-17,260,5
2019-07-18,285,5
2019-07-19,247,5
2019-07-22,249,5
2019-07-23,274,5
2019-07-24,300,5
2019-07-25,260,5
2019-07-26,333,5
2019-07-29,232,5
2019-07-30,256,5
2019-07-31,293,5
2019-08-01,285,5
2019-08-02,282,5
2019-08-06,229,5
2019-08-07,300,5
2019-08-08,320,5
2019-08-09,317,5
2019-08-12,245,5
2019-08-13,265,5
2019-08-14,302,5
2019-08-15,276,5
2019-08-16,378,5
2019-08-19,267,5
2019-08-20,284,5
2019-08-21,277,5
2019-08-22,373,5
2019-08-23,366,5
2019-08-26,296,5
2019-08-27,309,5
2019-08-28,415,5
2019-08-29,416,5
2019-08-30,464,5
2019-09-03,261,7
2019-09-04,286,7
2019-09-05,340,8
2019-09-06,344,8
2019-09-09,316,8
2019-09-10,294,8
2019-09-11,314,8
2019-09-12,364,8
2019-09-13,311,8
2019-09-16,255,7
2019-09-17,291,8
2019-09-18,316,8
2019-09-19,362,8
2019-09-20,331,8
2019-09-23,327,8
2019-09-24,291,7
2019-09-25,323,7
2019-09-26,365,8
2019-09-27,365,8
2019-09-30,294,8
2019-10-01,282,8
2019-10-02,297,8
2019-10-03,304,7
2019-10-04,299,8
2019-10-07,280,7
2019-10-08,290,7
2019-10-09,340,7
2019-10-10,355,8
2019-10-11,352,8
2019-10-15,266,5
2019-10-16,283,8
2019-10-17,328,8
2019-10-18,291,8
2019-10-21,311,8
2019-10-22,307,8
2019-10-23,335,8
2019-10-24,251,6
2019-10-25,307,7
2019-10-28,267,7
2019-10-29,306,8
2019-10-30,328,8
2019-10-31,269,8
2019-11-01,269,8
2019-11-02,385,13
2019-11-03,295,13
2019-11-04,284,8
2019-11-05,300,8
2019-11-06,303,8
2019-11-07,346,8
2019-11-08,327,8
2019-11-09,445,13
2019-11-10,327,13
2019-11-11,289,8
2019-11-12,325,8
2019-11-13,333,8
2019-11-14,405,8
2019-11-15,385,8
2019-11-16,375,9
2019-11-17,506,13
2019-11-18,324,8
2019-11-19,288,8
2019-11-20,334,8
2019-11-21,305,8
2019-11-22,347,8
2019-11-23,515,13
2019-11-24,346,13
2019-11-25,317,8
2019-11-26,318,8
2019-11-27,348,8
2019-11-28,361,8
2019-11-29,366,7
2019-11-30,553,13
2019-12-01,500,13
2019-12-02,318,8
2019-12-03,287,8
2019-12-04,333,8
2019-12-05,359,8
2019-12-06,379,8
2019-12-07,549,13
2019-12-08,330,12
2019-12-09,298,8
2019-12-10,329,8
2019-12-11,335,8
2019-12-12,320,8
2019-12-13,335,5
2019-12-16,279,8
2019-12-17,352,8
2019-12-18,330,8
2019-12-19,378,8
2019-12-20,490,8
2019-12-21,601,13
2019-12-22,529,13
2019-12-23,428,8
2019-12-24,222,8
2019-12-25,218,13
2019-12-26,466,13
2019-12-27,342,8
2019-12-28,514,13
2019-12-29,387,13
2019-12-30,402,8
2019-12-31,750,14
2020-01-01,259,13
2020-01-02,323,8
2020-01-03,381,8
2020-01-04,451,13
2020-01-05,270,13
2020-01-06,251,8
2020-01-07,248,8
2020-01-08,254,8
2020-01-09,242,8
2020-01-10,226,6
2020-01-11,332,13
2020-01-12,361,11
2020-01-13,296,7
2020-01-14,302,8
2020-01-15,269,8
2020-01-16,308,8
2020-01-17,325,8
2020-01-18,466,11
2020-01-19,329,13
2020-01-20,314,8
2020-01-21,282,8
2020-01-22,292,8
2020-01-23,313,8
2020-01-24,312,8
2020-01-25,471,13
2020-01-26,373,13
2020-01-27,301,8
2020-01-28,314,8
2020-01-29,286,8
2020-01-30,289,8
2020-01-31,308,8
2020-02-01,485,13
2020-02-02,334,13
2020-02-03,312,8
2020-02-04,303,8
2020-02-05,301,8
2020-02-06,329,8
2020-02-07,298,8
2020-02-08,418,12
2020-02-09,288,13
2020-02-10,303,8
2020-02-11,298,8
2020-02-12,296,8
2020-02-13,312,8
2020-02-14,298,7
2020-02-15,473,13
2020-02-16,365,13
2020-02-17,417,13
2020-02-18,297,8
2020-02-19,298,8
2020-02-20,317,8
2020-02-21,376,8
2020-02-22,560,13
2020-02-23,466,13
2020-02-24,289,8
2020-02-25,290,8
2020-02-26,287,8
2020-02-27,291,8
2020-02-28,285,8
2020-02-29,213,7
2020-03-01,297,13
2020-03-02,276,8
2020-03-03,268,8
2020-03-04,294,8
2020-03-05,271,8
2020-03-06,293,8
2020-03-07,452,13
2020-03-08,322,13
2020-03-09,311,8
2020-03-10,295,8
2020-03-11,284,7
2020-03-12,262,8
2020-03-13,181,8
2020-03-14,163,13
2020-03-15,130,13
2020-03-16,84,8
2020-03-17,49,7
2020-03-18,130,11
2020-03-19,103,11
2020-03-20,75,9
2020-03-21,33,12
2020-03-22,26,13
2020-03-23,66,11
2020-03-24,49,11
2020-03-25,38,10
2020-03-26,39,9
2020-03-27,43,10
2020-03-28,14,8
2020-03-29,12,10
2020-03-30,36,10
2020-03-31,37,11
2020-04-01,38,10
2020-04-02,29,10
2020-04-03,26,10
2020-04-04,16,11
2020-04-05,14,9
2020-04-06,26,10
2020-04-07,30,10
2020-04-08,36,10
2020-04-09,33,10
2020-04-10,14,9
2020-04-11,14,10
2020-04-12,14,9
2020-04-13,34,10
2020-04-14,40,11
2020-04-15,30,10
2020-04-16,27,11
2020-04-17,28,11
2020-04-18,20,11
2020-04-19,14,9
2020-04-20,25,10
2020-04-21,27,11
2020-04-22,22,11
2020-04-23,31,10
2020-04-24,27,9
2020-04-25,16,10
2020-04-26,18,11
2020-04-27,33,11
2020-04-28,31,10
2020-04-29,32,11
2020-04-30,27,10
2020-05-01,31,11
2020-05-02,33,12
2020-05-03,29,12
2020-05-04,36,11
2020-05-05,37,11
2020-05-06,28,10
2020-05-07,30,11
2020-05-08,29,10
2020-05-11,34,11
2020-05-12,36,11
2020-05-13,38,11
2020-05-14,30,11
2020-05-15,35,11
2020-05-16,34,11
2020-05-17,25,11
2020-05-18,19,11
2020-05-19,40,11
2020-05-20,45,11
2020-05-21,37,10
2020-05-22,51,11
2020-05-23,38,11
2020-05-24,28,12
2020-05-25,55,11
2020-05-26,42,11
2020-05-27,44,11
2020-05-28,44,10
2020-05-29,47,10
2020-06-01,50,11
2020-06-02,56,11
2020-06-03,52,10
2020-06-04,51,11
2020-06-05,59,11
2020-06-08,53,11
2020-06-09,47,10
2020-06-10,45,10
2020-06-11,58,10
2020-06-12,59,10
2020-06-15,70,11
2020-06-16,63,11
2020-06-17,66,11
2020-06-18,73,11
2020-06-19,89,11
2020-06-22,19,3
2020-06-23,15,3
2020-06-24,20,3
2020-06-25,19,3
2020-06-26,29,3
2020-06-29,18,3
2020-06-30,18,3
2020-07-02,16,3
2020-07-03,28,3
2020-07-06,24,3
2020-07-07,20,3
2020-07-08,19,3
2020-07-09,27,3
2020-07-10,32,3
2020-07-13,18,3
2020-07-14,27,3
2020-07-15,26,3
2020-07-16,25,3
2020-07-17,32,3
2020-07-20,21,3
2020-07-21,28,3
2020-07-22,23,3
2020-07-23,27,3
2020-07-24,42,3
2020-07-27,22,3
2020-07-28,21,3
2020-07-29,28,3
2020-07-30,31,3
2020-07-31,49,3
2020-08-04,26,3
2020-08-05,29,3
2020-08-06,29,3
2020-08-07,28,2
2020-08-10,23,3
2020-08-11,23,3
2020-08-12,38,3
2020-08-13,39,3
2020-08-14,41,2
2020-08-17,31,3
2020-08-18,29,3
2020-08-19,38,3
2020-08-20,42,3
2020-08-21,49,3
2020-08-24,35,3
2020-08-25,36,3
2020-08-26,41,3
2020-08-27,54,3
2020-08-28,60,3
2020-08-31,38,3
2020-09-01,41,3
2020-09-02,39,3
2020-09-03,49,3
2020-09-04,52,3
2020-09-05,210,12
2020-09-06,176,12
2020-09-07,152,12
2020-09-08,135,11
2020-09-09,179,11
2020-09-10,147,11
2020-09-11,195,11
2020-09-12,178,12
2020-09-13,146,12
2020-09-14,114,10
2020-09-15,140,11
2020-09-16,146,11
2020-09-17,142,11
2020-09-18,160,11
2020-09-19,178,12
2020-09-20,136,12
2020-09-21,118,11
2020-09-22,127,11
2020-09-23,143,11
2020-09-24,134,11
2020-09-25,159,11
2020-09-26,184,12
2020-09-27,130,12
2020-09-28,111,11
2020-09-29,128,11
2020-09-30,121,11
2020-10-01,123,11
2020-10-02,139,11
2020-10-03,137,12
2020-10-04,84,12
2020-10-05,113,11
2020-10-06,112,11
2020-10-07,113,11
2020-10-08,125,11
2020-10-09,134,11
2020-10-10,137,12
2020-10-11,113,12
2020-10-12,110,12
2020-10-13,136,11
2020-10-14,104,10
2020-10-15,117,11
2020-10-16,119,8
2020-10-19,101,11
2020-10-20,106,11
2020-10-21,88,11
2020-10-22,106,11
2020-10-23,136,11
2020-10-24,115,12
2020-10-25,105,12
2020-10-26,98,11
2020-10-27,110,11
2020-10-28,117,11
2020-10-29,108,11
2020-10-30,129,11
2020-10-31,118,12
2020-11-01,90,12
2020-11-02,106,11
2020-11-03,98,11
2020-11-04,108,11
2020-11-05,113,11
2020-11-06,138,11
2020-11-07,150,12
2020-11-08,138,12
2020-11-09,103,10
2020-11-10,120,11
2020-11-11,117,11
2020-11-12,112,11
2020-11-13,141,11
2020-11-14,136,12
2020-11-15,84,12
2020-11-16,104,11
2020-11-17,101,11
2020-11-18,110,11
2020-11-19,99,9
2020-11-20,128,11
2020-11-21,116,12
2020-11-22,80,12
2020-11-23,78,9
