date,ridership Stouffville OLD ELM GO AM Peak,total_train_trips Stouffville OLD ELM GO AM Peak
2019-01-02,2853,5
2019-01-03,2893,5
2019-01-04,2639,5
2019-01-07,4097,5
2019-01-08,4144,5
2019-01-09,4019,5
2019-01-10,4030,5
2019-01-11,3661,5
2019-01-14,4191,5
2019-01-15,4246,5
2019-01-16,4154,5
2019-01-17,4069,5
2019-01-18,3477,5
2019-01-21,3172,4
2019-01-22,3970,5
2019-01-23,3727,5
2019-01-24,3960,5
2019-01-25,3550,5
2019-01-28,3968,5
2019-01-29,2764,5
2019-01-30,3735,5
2019-01-31,4071,5
2019-02-01,3538,5
2019-02-04,3956,5
2019-02-05,4046,5
2019-02-06,3977,5
2019-02-07,3962,5
2019-02-08,3577,5
2019-02-11,4040,5
2019-02-12,3067,5
2019-02-13,3490,5
2019-02-14,4040,5
2019-02-15,3365,5
2019-02-19,3981,5
2019-02-20,4016,5
2019-02-21,3866,5
2019-02-22,3593,5
2019-02-25,4012,5
2019-02-26,3114,5
2019-02-27,3922,5
2019-02-28,3982,5
2019-03-01,3599,5
2019-03-04,4114,5
2019-03-05,4229,5
2019-03-06,4149,5
2019-03-07,4034,5
2019-03-08,3581,5
2019-03-11,3618,5
2019-03-12,3645,5
2019-03-13,3606,5
2019-03-14,3519,5
2019-03-15,2990,5
2019-03-18,4139,5
2019-03-19,4303,5
2019-03-20,4012,5
2019-03-21,3916,5
2019-03-22,3402,5
2019-03-25,4127,5
2019-03-26,4291,5
2019-03-27,4108,5
2019-03-28,4016,5
2019-03-29,3506,5
2019-04-01,4034,5
2019-04-02,4147,5
2019-04-03,4137,5
2019-04-04,4010,5
2019-04-05,3531,5
2019-04-08,3987,5
2019-04-09,4062,5
2019-04-10,4102,5
2019-04-11,4108,5
2019-04-12,3524,5
2019-04-15,4056,5
2019-04-16,4195,5
2019-04-17,4119,5
2019-04-18,3722,5
2019-04-22,2938,5
2019-04-23,4055,5
2019-04-24,4082,5
2019-04-25,4026,5
2019-04-26,3343,5
2019-04-29,4005,5
2019-04-30,4056,5
2019-05-01,3824,5
2019-05-02,3880,5
2019-05-03,3387,5
2019-05-06,4128,5
2019-05-07,4119,5
2019-05-08,4094,5
2019-05-09,4078,5
2019-05-10,3529,5
2019-05-13,3960,5
2019-05-14,4217,5
2019-05-15,4141,5
2019-05-16,4034,5
2019-05-17,3240,5
2019-05-21,4080,5
2019-05-22,4108,5
2019-05-23,4082,5
2019-05-24,3539,5
2019-05-27,4071,5
2019-05-28,4094,5
2019-05-29,4203,5
2019-05-30,4117,5
2019-05-31,3514,5
2019-06-03,4024,5
2019-06-04,4214,5
2019-06-05,3994,5
2019-06-06,4024,5
2019-06-07,3564,5
2019-06-10,3970,5
2019-06-11,4007,5
2019-06-12,4138,5
2019-06-13,3950,5
2019-06-14,3143,5
2019-06-17,5267,5
2019-06-18,4215,5
2019-06-19,4143,5
2019-06-20,3966,5
2019-06-21,3446,5
2019-06-24,4032,5
2019-06-25,4092,5
2019-06-26,4143,5
2019-06-27,3836,5
2019-06-28,2936,5
2019-07-02,3752,5
2019-07-03,4000,5
2019-07-04,3879,5
2019-07-05,3354,5
2019-07-08,4042,5
2019-07-09,4199,5
2019-07-10,4082,5
2019-07-11,3996,5
2019-07-12,3438,5
2019-07-15,3995,5
2019-07-16,4092,5
2019-07-17,3982,5
2019-07-18,4037,5
2019-07-19,3372,5
2019-07-22,3929,5
2019-07-23,4081,5
2019-07-24,3999,5
2019-07-25,3975,5
2019-07-26,3258,5
2019-07-29,3914,5
2019-07-30,3933,5
2019-07-31,3916,5
2019-08-01,3825,5
2019-08-02,2793,5
2019-08-06,3768,5
2019-08-07,3765,5
2019-08-08,3852,5
2019-08-09,3195,5
2019-08-12,3754,5
2019-08-13,4179,5
2019-08-14,3844,5
2019-08-15,3836,5
2019-08-16,3120,5
2019-08-19,3753,5
2019-08-20,3868,5
2019-08-21,3824,5
2019-08-22,3686,5
2019-08-23,3041,5
2019-08-26,3486,5
2019-08-27,3675,5
2019-08-28,3634,5
2019-08-29,3409,5
2019-08-30,2594,5
2019-09-03,3646,5
2019-09-04,4229,5
2019-09-05,4274,5
2019-09-06,3686,5
2019-09-09,4228,5
