date,ridership Stouffville OLD ELM GO,total_train_trips Stouffville OLD ELM GO
2019-01-02,4414,9
2019-01-03,4622,9
2019-01-04,4156,9
2019-01-07,6080,8
2019-01-08,6209,9
2019-01-09,6153,9
2019-01-10,6141,9
2019-01-11,5565,9
2019-01-14,6263,9
2019-01-15,6390,9
2019-01-16,6272,9
2019-01-17,6242,9
2019-01-18,5374,9
2019-01-21,5020,7
2019-01-22,6369,9
2019-01-23,6200,9
2019-01-24,6273,9
2019-01-25,5598,9
2019-01-28,6158,9
2019-01-29,4687,9
2019-01-30,6170,9
2019-01-31,6560,9
2019-02-01,5451,9
2019-02-04,6030,9
2019-02-05,6301,9
2019-02-06,5865,9
2019-02-07,6156,9
2019-02-08,5634,9
2019-02-11,6236,9
2019-02-12,4140,9
2019-02-13,5707,9
2019-02-14,6384,9
2019-02-15,5350,9
2019-02-19,6149,9
2019-02-20,6020,9
2019-02-21,5968,9
2019-02-22,5454,9
2019-02-25,5980,9
2019-02-26,5234,9
2019-02-27,5845,9
2019-02-28,6241,9
2019-03-01,5539,9
2019-03-04,6208,8
2019-03-05,6348,9
2019-03-06,6211,9
2019-03-07,6172,9
2019-03-08,5482,9
2019-03-11,5889,9
2019-03-12,5744,9
2019-03-13,5656,9
2019-03-14,5631,9
2019-03-15,4839,9
2019-03-18,6101,8
2019-03-19,6338,9
2019-03-20,6127,9
2019-03-21,6126,9
2019-03-22,5406,9
2019-03-25,6263,9
2019-03-26,6441,9
2019-03-27,6247,9
2019-03-28,6137,9
2019-03-29,5476,9
2019-04-01,6176,9
2019-04-02,6270,9
2019-04-03,6214,9
2019-04-04,6109,9
2019-04-05,5388,9
2019-04-08,6048,9
2019-04-09,6140,9
2019-04-10,6050,9
2019-04-11,6072,9
2019-04-12,5260,9
2019-04-15,6026,9
2019-04-16,6153,9
2019-04-17,6047,9
2019-04-18,5717,9
2019-04-22,4499,9
2019-04-23,6112,9
2019-04-24,6016,9
2019-04-25,5928,9
2019-04-26,5080,9
2019-04-29,5879,9
2019-04-30,5925,9
2019-05-01,5665,9
2019-05-02,5758,9
2019-05-03,5124,9
2019-05-06,5998,9
2019-05-07,6080,9
2019-05-08,5970,9
2019-05-09,5996,9
2019-05-10,5294,9
2019-05-13,5891,9
2019-05-14,6122,9
2019-05-15,6039,9
2019-05-16,5884,9
2019-05-17,4746,9
2019-05-21,5993,9
2019-05-22,6097,9
2019-05-23,6106,9
2019-05-24,5306,9
2019-05-27,5967,9
2019-05-28,6024,9
2019-05-29,6116,9
2019-05-30,6044,9
2019-05-31,5235,9
2019-06-03,5908,9
2019-06-04,6039,7
2019-06-05,5914,9
2019-06-06,5997,9
2019-06-07,5287,9
2019-06-10,5915,9
2019-06-11,5965,9
2019-06-12,6123,9
2019-06-13,5919,9
2019-06-14,4951,9
2019-06-17,8853,9
2019-06-18,6178,9
2019-06-19,6123,9
2019-06-20,6032,9
2019-06-21,5283,9
2019-06-24,5914,9
2019-06-25,6061,9
2019-06-26,6063,9
2019-06-27,5734,9
2019-06-28,4402,9
2019-07-02,5624,9
2019-07-03,5904,9
2019-07-04,5819,9
2019-07-05,5133,9
2019-07-08,6043,9
2019-07-09,6177,9
2019-07-10,6069,9
2019-07-11,5958,9
2019-07-12,5212,9
2019-07-15,5960,9
2019-07-16,6085,9
2019-07-17,5938,9
2019-07-18,6018,9
2019-07-19,5076,9
2019-07-22,5919,9
2019-07-23,6063,9
2019-07-24,6019,9
2019-07-25,5984,9
2019-07-26,5008,9
2019-07-29,5857,9
2019-07-30,5926,9
2019-07-31,5889,9
2019-08-01,5803,9
2019-08-02,4313,9
2019-08-03,62,1
2019-08-06,5672,9
2019-08-07,5762,9
2019-08-08,5728,9
2019-08-09,4982,9
2019-08-12,5707,9
2019-08-13,6160,9
2019-08-14,5918,9
2019-08-15,5776,9
2019-08-16,4950,9
2019-08-19,5688,9
2019-08-20,5848,9
2019-08-21,5782,9
2019-08-22,5704,9
2019-08-23,4889,9
2019-08-26,5463,9
2019-08-27,5528,9
2019-08-28,5621,9
2019-08-29,5413,9
2019-08-30,4176,9
2019-08-31,148,1
2019-09-01,100,1
2019-09-02,69,1
2019-09-03,5657,9
2019-09-04,6297,9
2019-09-05,6432,9
2019-09-06,5622,9
2019-09-09,6426,9
2019-09-10,6607,9
2019-09-11,6287,9
2019-09-12,6371,9
2019-09-13,5529,9
2019-09-16,6469,9
2019-09-17,6564,9
2019-09-18,6433,9
2019-09-19,6534,9
2019-09-20,5513,9
2019-09-23,6233,9
2019-09-24,6518,9
2019-09-25,6413,9
2019-09-26,6328,9
2019-09-27,5669,9
2019-09-30,6379,9
2019-10-01,6526,9
2019-10-02,6384,9
2019-10-03,6180,8
2019-10-04,5550,9
2019-10-07,6375,9
2019-10-08,6501,9
2019-10-09,6352,9
2019-10-10,6380,9
2019-10-11,4960,9
2019-10-15,6155,9
2019-10-16,6101,9
2019-10-17,6131,9
2019-10-18,5363,9
2019-10-21,6070,9
2019-10-22,6361,9
2019-10-23,6311,9
2019-10-24,6265,9
