date,ridership Stouffville UNION STATION,total_train_trips Stouffville UNION STATION
2019-01-02,4499,14
2019-01-03,4783,15
2019-01-04,4234,15
2019-01-07,6189,13
2019-01-08,6213,14
2019-01-09,6225,14
2019-01-10,6116,14
2019-01-11,5412,14
2019-01-14,6214,14
2019-01-15,6397,14
2019-01-16,6244,14
2019-01-17,6094,14
2019-01-18,5340,14
2019-01-21,5077,14
2019-01-22,6265,14
2019-01-23,6140,14
2019-01-24,6132,14
2019-01-25,5442,14
2019-01-28,6222,13
2019-01-29,4282,14
2019-01-30,6089,14
2019-01-31,6052,14
2019-02-01,5343,14
2019-02-04,6094,13
2019-02-05,5986,13
2019-02-06,5817,14
2019-02-07,5980,14
2019-02-08,5496,14
2019-02-11,6206,14
2019-02-12,4027,14
2019-02-13,5649,14
2019-02-14,6261,14
2019-02-15,5294,14
2019-02-19,6055,14
2019-02-20,6084,14
2019-02-21,5837,14
2019-02-22,5248,14
2019-02-25,5840,14
2019-02-26,6159,14
2019-02-27,5970,14
2019-02-28,5996,14
2019-03-01,5449,14
2019-03-04,5782,11
2019-03-05,6252,14
2019-03-06,6151,14
2019-03-07,5975,14
2019-03-08,5392,14
2019-03-11,5674,14
2019-03-12,5671,14
2019-03-13,5554,14
2019-03-14,5443,14
2019-03-15,4897,14
2019-03-18,6010,14
2019-03-19,6224,14
2019-03-20,6021,14
2019-03-21,5931,13
2019-03-22,5279,14
2019-03-25,6173,14
2019-03-26,6251,14
2019-03-27,6058,14
2019-03-28,6021,14
2019-03-29,5352,14
2019-04-01,6147,14
2019-04-02,6200,14
2019-04-03,6135,14
2019-04-04,6001,14
2019-04-05,5331,14
2019-04-08,6067,14
2019-04-09,6132,12
2019-04-10,6022,14
2019-04-11,5977,14
2019-04-12,5124,14
2019-04-15,6020,14
2019-04-16,6061,14
2019-04-17,5942,14
2019-04-18,5499,14
2019-04-22,4487,14
2019-04-23,5909,11
2019-04-24,6011,14
2019-04-25,5803,14
2019-04-26,5065,14
2019-04-29,5877,14
2019-04-30,5924,14
2019-05-01,5698,14
2019-05-02,5744,14
2019-05-03,4991,14
2019-05-06,6001,14
2019-05-07,6094,14
2019-05-08,6038,14
2019-05-09,6028,14
2019-05-10,5215,14
2019-05-13,5931,14
2019-05-14,6146,14
2019-05-15,6000,14
2019-05-16,5913,14
2019-05-17,4639,14
2019-05-21,5945,14
2019-05-22,6041,14
2019-05-23,6035,14
2019-05-24,5146,14
2019-05-27,5984,14
2019-05-28,6146,14
2019-05-29,5997,14
2019-05-30,5970,14
2019-05-31,5295,14
2019-06-03,5994,14
2019-06-04,6012,12
2019-06-05,6306,14
2019-06-06,5984,14
2019-06-07,5275,14
2019-06-10,5783,14
2019-06-11,6075,14
2019-06-12,6139,14
2019-06-13,5868,14
2019-06-14,5050,14
2019-06-17,7918,14
2019-06-18,6173,14
2019-06-19,6121,14
2019-06-20,5974,14
2019-06-21,5065,14
2019-06-24,6022,14
2019-06-25,6032,14
2019-06-26,5980,14
2019-06-27,5617,14
