date,ridership Stouffville UNION STATION Evening,total_train_trips Stouffville UNION STATION Evening
2019-01-02,906,5
2019-01-03,1051,5
2019-01-04,944,5
2019-01-07,1223,4
2019-01-08,1311,4
2019-01-09,1366,4
2019-01-10,1318,4
2019-01-11,1109,4
2019-01-14,1389,4
2019-01-15,1426,4
2019-01-16,1440,4
2019-01-17,1403,4
2019-01-18,1081,4
2019-01-21,1199,4
2019-01-22,1452,4
2019-01-23,1414,4
2019-01-24,1457,4
2019-01-25,1144,4
2019-01-28,785,3
2019-01-29,1050,4
2019-01-30,1489,4
2019-01-31,1453,4
2019-02-01,1191,4
2019-02-04,1235,3
2019-02-05,1389,4
2019-02-06,1094,4
2019-02-07,1405,4
2019-02-08,1153,4
2019-02-11,1397,4
2019-02-12,510,4
2019-02-13,1302,4
2019-02-14,1318,4
2019-02-15,1024,4
2019-02-19,1372,4
2019-02-20,1388,4
2019-02-21,1316,4
2019-02-22,1097,4
2019-02-25,1303,4
2019-02-26,1407,4
2019-02-27,1101,4
2019-02-28,1510,4
2019-03-01,1215,4
2019-03-04,1466,3
2019-03-05,1455,4
2019-03-06,1438,4
2019-03-07,1440,4
2019-03-08,1166,4
2019-03-11,1297,4
2019-03-12,1392,4
2019-03-13,1358,4
2019-03-14,1356,4
2019-03-15,1221,4
2019-03-18,1310,4
2019-03-19,1394,4
2019-03-20,1360,4
2019-03-21,1423,4
2019-03-22,1125,4
2019-03-25,1386,4
2019-03-26,1385,4
2019-03-27,1361,4
2019-03-28,1490,4
2019-03-29,1177,4
2019-04-01,1340,4
2019-04-02,1385,4
2019-04-03,1486,4
2019-04-04,1359,4
2019-04-05,1118,4
2019-04-08,1341,4
2019-04-09,1399,4
2019-04-10,1370,4
2019-04-11,1366,4
2019-04-12,1036,4
2019-04-15,1249,4
2019-04-16,1283,4
2019-04-17,1352,4
2019-04-18,1061,4
2019-04-22,996,4
2019-04-23,1242,4
2019-04-24,1352,4
2019-04-25,1278,4
2019-04-26,1007,4
2019-04-29,1242,4
2019-04-30,1320,4
2019-05-01,1271,4
2019-05-02,1281,4
2019-05-03,1014,4
2019-05-06,1171,4
2019-05-07,1257,4
2019-05-08,1319,4
2019-05-09,1385,4
2019-05-10,1018,4
