date,ridership Stouffville UNION STATION PM Peak,total_train_trips Stouffville UNION STATION PM Peak
2019-01-02,3487,4
2019-01-03,3629,5
2019-01-04,3174,5
2019-01-07,4824,5
2019-01-08,4762,5
2019-01-09,4690,5
2019-01-10,4635,5
2019-01-11,4104,5
2019-01-14,4663,5
2019-01-15,4807,5
2019-01-16,4626,5
2019-01-17,4508,5
2019-01-18,4023,5
2019-01-21,3741,5
2019-01-22,4670,5
2019-01-23,4565,5
2019-01-24,4506,5
2019-01-25,4121,5
2019-01-28,5118,5
2019-01-29,3104,5
2019-01-30,4443,5
2019-01-31,4443,5
2019-02-01,3963,5
2019-02-04,4710,5
2019-02-05,4449,5
2019-02-06,4315,5
2019-02-07,4421,5
2019-02-08,4142,5
2019-02-11,4642,5
2019-02-12,2923,5
2019-02-13,4164,5
2019-02-14,4767,5
2019-02-15,3983,5
2019-02-19,4538,5
2019-02-20,4545,5
2019-02-21,4380,5
2019-02-22,3993,5
2019-02-25,4401,5
2019-02-26,4598,5
2019-02-27,4573,5
2019-02-28,4329,5
2019-03-01,4063,5
2019-03-04,4156,4
2019-03-05,4626,5
2019-03-06,4523,5
2019-03-07,4357,5
2019-03-08,4021,5
2019-03-11,4210,5
2019-03-12,4110,5
2019-03-13,4022,5
2019-03-14,3925,5
2019-03-15,3469,5
2019-03-18,4526,5
2019-03-19,4663,5
2019-03-20,4492,5
2019-03-21,4321,4
2019-03-22,3947,5
2019-03-25,4612,5
2019-03-26,4697,5
2019-03-27,4519,5
2019-03-28,4338,5
2019-03-29,3964,5
2019-04-01,4642,5
2019-04-02,4654,5
2019-04-03,4455,5
2019-04-04,4455,5
2019-04-05,3998,5
2019-04-08,4524,5
2019-04-09,4589,5
2019-04-10,4424,5
2019-04-11,4367,5
2019-04-12,3870,5
2019-04-15,4552,5
2019-04-16,4565,5
2019-04-17,4371,5
2019-04-18,4093,5
2019-04-22,3283,5
2019-04-23,4616,5
2019-04-24,4446,5
2019-04-25,4321,5
2019-04-26,3853,5
2019-04-29,4438,5
2019-04-30,4439,5
2019-05-01,4279,5
2019-05-02,4289,5
2019-05-03,3794,5
2019-05-06,4645,5
2019-05-07,4652,5
2019-05-08,4535,5
2019-05-09,4458,5
2019-05-10,3977,5
2019-05-13,4604,5
2019-05-14,4689,5
2019-05-15,4569,5
2019-05-16,4486,5
2019-05-17,3463,5
2019-05-21,4543,5
2019-05-22,4603,5
2019-05-23,4569,5
2019-05-24,3946,5
2019-05-27,4672,5
2019-05-28,4722,5
2019-05-29,4540,5
2019-05-30,4569,5
2019-05-31,4048,5
2019-06-03,4626,5
2019-06-04,4584,5
2019-06-05,4825,5
2019-06-06,4497,5
2019-06-07,4015,5
2019-06-10,4539,5
2019-06-11,4630,5
2019-06-12,4598,5
2019-06-13,4495,5
2019-06-14,3783,5
2019-06-17,5673,5
2019-06-18,4697,5
2019-06-19,4623,5
2019-06-20,4494,5
2019-06-21,3826,5
2019-06-24,4594,5
2019-06-25,4616,5
2019-06-26,4438,5
2019-06-27,4133,5
2019-06-28,3237,5
2019-07-02,4294,5
2019-07-03,4457,5
2019-07-04,4335,5
2019-07-05,3753,5
2019-07-08,4645,5
2019-07-09,4629,5
2019-07-10,4562,5
2019-07-11,4403,5
2019-07-12,3900,5
2019-07-15,4633,5
2019-07-16,4719,5
2019-07-17,4435,5
2019-07-18,4426,5
2019-07-19,3814,5
2019-07-22,4577,5
2019-07-23,4628,5
2019-07-24,4543,5
2019-07-25,4428,5
2019-07-26,3773,5
2019-07-29,4575,5
2019-07-30,4564,5
2019-07-31,4453,5
2019-08-01,4387,5
2019-08-02,3128,5
2019-08-06,4387,5
2019-08-07,4354,5
2019-08-08,4298,5
2019-08-09,3702,5
2019-08-12,4455,5
2019-08-13,4554,5
