date,ridership Barrie,ridership Kitchener,ridership Lakeshore East,ridership Lakeshore West,ridership Milton,ridership Richmond Hill,ridership Stouffville,total_train_trips Barrie,total_train_trips Kitchener,total_train_trips Lakeshore East,total_train_trips Lakeshore West,total_train_trips Milton,total_train_trips Richmond Hill,total_train_trips Stouffville
2019-01-01,1149.0,,5408.0,7056.0,,,,25.0,,72.0,72.0,,,
2019-01-02,10297.0,12586.0,25057.0,29978.0,14600.0,5940.0,9087.0,36.0,31.0,118.0,107.0,20.0,12.0,29.0
2019-01-03,11395.0,13476.0,27819.0,34463.0,15327.0,6139.0,9671.0,36.0,31.0,119.0,108.0,20.0,12.0,30.0
2019-01-04,9762.0,11701.0,25222.0,30343.0,13328.0,5396.0,8636.0,36.0,31.0,112.0,102.0,20.0,12.0,30.0
2019-01-05,1549.0,,7751.0,11118.0,,,,25.0,,69.0,69.0,,,
2019-01-06,1069.0,,5418.0,7836.0,,,,25.0,,69.0,69.0,,,
2019-01-07,14903.0,17366.0,32815.0,42187.0,20580.0,8417.0,12448.0,34.0,30.0,98.0,90.0,20.0,12.0,26.0
2019-01-08,14964.0,17455.0,32736.0,42896.0,20777.0,8401.0,12580.0,36.0,31.0,118.0,106.0,20.0,12.0,28.0
2019-01-09,14815.0,16927.0,32772.0,41465.0,20593.0,8295.0,12537.0,34.0,29.0,115.0,105.0,20.0,12.0,28.0
2019-01-10,14835.0,16992.0,31791.0,40761.0,20543.0,8209.0,12391.0,36.0,31.0,117.0,106.0,20.0,12.0,28.0
2019-01-11,13334.0,14319.0,30902.0,41271.0,18081.0,7166.0,11168.0,36.0,29.0,114.0,104.0,20.0,12.0,28.0
2019-01-12,1554.0,,7646.0,11577.0,,,,25.0,,69.0,69.0,,,
2019-01-13,996.0,,4381.0,5926.0,,,,25.0,,72.0,72.0,,,
2019-01-14,15389.0,18027.0,33253.0,42713.0,21091.0,8524.0,12666.0,36.0,31.0,118.0,105.0,20.0,12.0,28.0
2019-01-15,15829.0,18302.0,32874.0,41707.0,21290.0,8479.0,12962.0,36.0,31.0,117.0,106.0,20.0,12.0,28.0
2019-01-16,15423.0,17735.0,32829.0,41405.0,20721.0,8219.0,12702.0,36.0,30.0,116.0,106.0,20.0,12.0,28.0
2019-01-17,15124.0,17471.0,33581.0,42655.0,20464.0,8184.0,12520.0,36.0,30.0,116.0,104.0,20.0,12.0,28.0
2019-01-18,13051.0,15893.0,30682.0,39972.0,17877.0,6928.0,10880.0,36.0,31.0,117.0,106.0,20.0,12.0,28.0
2019-01-19,1717.0,,9556.0,14370.0,,,,25.0,,60.0,60.0,,,
2019-01-20,1274.0,,6531.0,9199.0,,,,24.0,,63.0,63.0,,,
2019-01-21,13444.0,15393.0,26886.0,35471.0,18508.0,6739.0,10287.0,28.0,30.0,99.0,84.0,20.0,11.0,26.0
2019-01-22,15422.0,17915.0,32788.0,42574.0,20681.0,8295.0,12791.0,36.0,31.0,105.0,91.0,18.0,12.0,28.0
2019-01-23,15174.0,16992.0,33387.0,42879.0,20281.0,7629.0,12534.0,34.0,31.0,113.0,101.0,20.0,12.0,28.0
2019-01-24,15383.0,17842.0,32840.0,41582.0,20611.0,8234.0,12587.0,36.0,31.0,113.0,103.0,20.0,12.0,28.0
2019-01-25,13486.0,15972.0,30949.0,38931.0,17840.0,7227.0,11228.0,36.0,31.0,118.0,107.0,20.0,12.0,28.0
2019-01-26,1465.0,,8275.0,11005.0,,,,25.0,,57.0,56.0,,,
2019-01-27,1199.0,,5897.0,7187.0,,,,25.0,,58.0,58.0,,,
2019-01-28,15130.0,17257.0,31456.0,39264.0,17735.0,8031.0,12573.0,36.0,31.0,106.0,95.0,18.0,12.0,27.0
2019-01-29,10782.0,10487.0,22502.0,27793.0,11806.0,5248.0,9140.0,36.0,31.0,113.0,101.0,20.0,12.0,28.0
2019-01-30,15438.0,17382.0,31691.0,39718.0,19758.0,8155.0,12422.0,36.0,31.0,90.0,84.0,20.0,12.0,27.0
2019-01-31,14838.0,15081.0,29274.0,40225.0,19319.0,6766.0,12801.0,35.0,29.0,89.0,87.0,20.0,12.0,28.0
2019-02-01,12863.0,15064.0,30566.0,38114.0,17495.0,6839.0,10970.0,36.0,30.0,118.0,106.0,20.0,12.0,28.0
2019-02-02,1575.0,,8030.0,11554.0,,,,25.0,,68.0,69.0,,,
2019-02-03,1357.0,,5535.0,8198.0,,,,25.0,,71.0,71.0,,,
2019-02-04,15212.0,14741.0,33286.0,42072.0,20812.0,8162.0,12330.0,36.0,25.0,116.0,105.0,20.0,12.0,27.0
2019-02-05,15370.0,18049.0,29475.0,40818.0,20761.0,8007.0,12475.0,34.0,31.0,67.0,72.0,20.0,12.0,26.0
2019-02-06,14145.0,15217.0,31782.0,36154.0,17001.0,7432.0,11841.0,36.0,31.0,116.0,106.0,20.0,12.0,28.0
